number,ea,symbol,side,open_time,close_time,net_profit,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
39,LVN XAGUSD optimized,XAGUSD,Short,2026-04-29T03:00:00,2026-04-29T03:13:24,-102.73,2026-04-29 03:00:00+00:00,2026-04-29 03:13:24+00:00,1.0107784431137725,0.9493813273340832,0.8499496475327291,0.8940677966101694,LVN,LVN XAGUSD optimized
40,LVN XAGUSD optimized,XAGUSD,Short,2026-05-01T01:00:00,2026-05-01T07:51:29,181.9,2026-05-01 01:00:00+00:00,2026-05-01 07:51:29+00:00,0.8538011695906432,0.7010804321728692,0.6389496717724289,1.020979020979021,LVN,LVN XAGUSD optimized
41,LVN XAGUSD optimized,XAGUSD,Short,2026-05-08T01:45:00,2026-05-08T01:49:14,-90.13,2026-05-08 01:45:00+00:00,2026-05-08 01:49:14+00:00,1.1318136769078295,1.1284584980237153,0.9991251093613298,1.0938697318007662,LVN,LVN XAGUSD optimized
42,LVN XAGUSD optimized,XAGUSD,Short,2026-05-12T02:30:00,2026-05-12T06:51:42,107.42,2026-05-12 02:30:00+00:00,2026-05-12 06:51:42+00:00,1.6358024691358024,1.743421052631579,1.5588235294117647,0.6074498567335244,LVN,LVN XAGUSD optimized
43,LVN XAGUSD optimized,XAGUSD,Long,2026-05-15T01:00:00,2026-05-15T01:04:42,-75.35,2026-05-15 01:00:00+00:00,2026-05-15 01:04:42+00:00,2.267080745341615,2.744360902255639,2.383025027203482,1.7367168913560667,LVN,LVN XAGUSD optimized
44,LVN XAGUSD optimized,XAGUSD,Long,2026-05-15T07:15:00,2026-05-15T09:16:38,-87.38,2026-05-15 07:15:00+00:00,2026-05-15 09:16:38+00:00,1.7298524404086266,1.8472727272727272,1.7598152424942264,0.5517740767559739,LVN,LVN XAGUSD optimized
45,LVN XAGUSD optimized,XAGUSD,Short,2026-06-05T01:45:00,2026-06-05T13:30:54,102.22,2026-06-05 01:45:00+00:00,2026-06-05 13:30:54+00:00,0.9769658459094519,0.8855291576673866,1.0148514851485149,1.1669829222011385,LVN,LVN XAGUSD optimized
46,LVN XAGUSD optimized,XAGUSD,Short,2026-06-08T01:15:00,2026-06-08T11:58:37,-52.08,2026-06-08 01:15:00+00:00,2026-06-08 11:58:37+00:00,1.6759388038942977,1.437947494033413,1.6736111111111112,2.353515625,LVN,LVN XAGUSD optimized
47,LVN XAGUSD optimized,XAGUSD,Long,2026-06-24T01:30:00,2026-06-24T10:16:35,-56.13,2026-06-24 01:30:00+00:00,2026-06-24 10:16:35+00:00,1.4781954887218045,1.4022824536376606,1.413371675053918,1.8922040423484119,LVN,LVN XAGUSD optimized
48,LVN XAGUSD optimized,XAGUSD,Long,2026-07-14T02:00:00,2026-07-14T12:30:16,171.22,2026-07-14 02:00:00+00:00,2026-07-14 12:30:16+00:00,0.8813559322033898,0.7172413793103448,0.609375,0.7563636363636363,LVN,LVN XAGUSD optimized
49,LVN XAGUSD optimized,XAGUSD,Long,2026-07-21T00:15:00,2026-07-21T00:59:13,185.8,2026-07-21 00:15:00+00:00,2026-07-21 00:59:13+00:00,1.0871632329635499,0.9581005586592178,0.7967479674796748,2.5313653136531364,LVN,LVN XAGUSD optimized
50,LVN XAGUSD optimized,XAGUSD,Long,2026-08-11T01:15:00,2026-08-11T04:49:05,-97.58,2026-08-11 01:15:00+00:00,2026-08-11 04:49:05+00:00,1.2778489116517286,1.1755005889281507,1.03205791106515,2.0161616161616163,LVN,LVN XAGUSD optimized
51,LVN XAGUSD optimized,XAGUSD,Short,2026-08-11T06:15:00,2026-08-12T03:06:34,-90.55,2026-08-11 06:15:00+00:00,2026-08-12 03:06:34+00:00,1.5350553505535056,1.432013769363167,1.3061224489795917,1.3312,LVN,LVN XAGUSD optimized
52,LVN XAGUSD optimized,XAGUSD,Long,2026-08-19T00:15:00,2026-08-19T01:01:31,-97.05,2026-08-19 00:15:00+00:00,2026-08-19 01:01:31+00:00,1.256,1.2265625,1.0771869639794167,1.739612188365651,LVN,LVN XAGUSD optimized
53,LVN XAGUSD optimized,XAGUSD,Long,2026-08-19T01:15:00,2026-08-19T01:18:39,-84.7,2026-08-19 01:15:00+00:00,2026-08-19 01:18:39+00:00,1.150174621653085,1.1637220259128387,1.0893054024255788,1.657718120805369,LVN,LVN XAGUSD optimized
54,LVN XAGUSD optimized,XAGUSD,Long,2026-08-21T01:15:00,2026-08-21T08:21:57,155.92,2026-08-21 01:15:00+00:00,2026-08-21 08:21:57+00:00,0.9364908503767492,1.0023041474654377,0.9592061742006616,1.831578947368421,LVN,LVN XAGUSD optimized
55,LVN XAGUSD optimized,XAGUSD,Long,2026-08-31T01:45:00,2026-08-31T02:02:39,-97.88,2026-08-31 01:45:00+00:00,2026-08-31 02:02:39+00:00,1.4378238341968912,1.4701986754966887,1.5205479452054795,1.4122137404580153,LVN,LVN XAGUSD optimized
