number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
14,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.24,2024-03-22T14:25:00,2024-03-22T16:48:14,2172.831,2162.631,243.48,Win,Precomputed native MT5 deals,ORB RV 1.05 BV 1.18,tp 2162.656,orb-volume-profile-volume-confirmed,standard,3y,102.0,pips,0.1,2.4,101.42,1.0,True,2024-03-22 14:25:00+00:00,2024-03-22 16:48:14+00:00,1.0577716643741404,1.246353322528363,1.3201716738197424,1.1839876828329485,ORB,orb-volume-profile-volume-confirmed
15,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.17,2024-03-28T13:55:00,2024-03-28T14:40:28,2204.621,2210.637,-103.21,Loss,Precomputed native MT5 deals,ORB RV 1.21 BV 1.30,sl 2210.616,orb-volume-profile-volume-confirmed,standard,3y,-60.16,pips,0.1,-0.99,103.85,1.0,True,2024-03-28 13:55:00+00:00,2024-03-28 14:40:28+00:00,1.842531272994849,1.6517150395778364,1.9654631083202512,1.299429164504411,ORB,orb-volume-profile-volume-confirmed
16,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.11,2024-04-17T15:30:00,2024-04-17T16:45:39,2385.074,2362.654,246.01,Win,Precomputed native MT5 deals,ORB RV 1.30 BV 1.28,tp 2362.657,orb-volume-profile-volume-confirmed,standard,3y,224.2,pips,0.1,2.39,102.82,1.0,True,2024-04-17 15:30:00+00:00,2024-04-17 16:45:39+00:00,1.327403642524354,2.114709851551957,2.6970740103270225,1.2839000409668169,ORB,orb-volume-profile-volume-confirmed
17,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.12,2024-04-19T14:00:00,2024-04-19T14:16:13,2378.664,2387.388,-105.35,Loss,Precomputed native MT5 deals,ORB RV 1.04 BV 1.36,sl 2387.382,orb-volume-profile-volume-confirmed,standard,3y,-87.24,pips,0.1,-1.0,105.28,1.0,True,2024-04-19 14:00:00+00:00,2024-04-19 14:16:13+00:00,0.8892900120336944,1.2746873652436395,1.7460129946839928,1.3559633027522935,ORB,orb-volume-profile-volume-confirmed
18,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.14,2024-05-02T13:50:00,2024-05-02T14:19:32,2288.961,2296.289,-103.37,Loss,Precomputed native MT5 deals,ORB RV 0.81 BV 1.43,sl 2296.284,orb-volume-profile-volume-confirmed,standard,3y,-73.28,pips,0.1,-0.99,104.23,1.0,True,2024-05-02 13:50:00+00:00,2024-05-02 14:19:32+00:00,0.7953063885267275,0.8270065075921909,1.026936026936027,1.429240862230553,ORB,orb-volume-profile-volume-confirmed
19,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.14,2024-05-10T14:25:00,2024-05-10T16:53:36,2362.311,2369.588,-102.65,Loss,Precomputed native MT5 deals,ORB RV 0.93 BV 1.22,sl 2369.574,orb-volume-profile-volume-confirmed,standard,3y,-72.77,pips,0.1,-0.99,103.19,1.0,True,2024-05-10 14:25:00+00:00,2024-05-10 16:53:36+00:00,1.2857142857142858,1.0826086956521739,1.2475991649269311,1.2215862632869992,ORB,orb-volume-profile-volume-confirmed
20,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.11,2024-06-26T15:20:00,2024-06-26T19:55:00,2303.478,2298.884,-51.15,Loss,Precomputed native MT5 deals,ORB RV 1.08 BV 1.15,,orb-volume-profile-volume-confirmed,standard,3y,-45.94,pips,0.1,-0.5,102.17,1.0,True,2024-06-26 15:20:00+00:00,2024-06-26 19:55:00+00:00,1.216595485051861,1.1486175115207373,1.1784869976359338,1.1532677848467323,ORB,orb-volume-profile-volume-confirmed
21,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.18,2024-09-05T13:50:00,2024-09-05T14:14:38,2514.27,2514.272,-1.03,Loss,Precomputed native MT5 deals,ORB RV 0.98 BV 1.36,sl 2514.270,orb-volume-profile-volume-confirmed,standard,3y,-0.02,pips,0.1,-0.01,101.66,1.0,True,2024-09-05 13:50:00+00:00,2024-09-05 14:14:38+00:00,1.3050086355785837,1.1564126109580655,1.2460422163588392,1.3629148629148629,ORB,orb-volume-profile-volume-confirmed
22,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.07,2024-09-06T15:15:00,2024-09-06T16:03:39,2514.358,2501.329,-91.6,Loss,Precomputed native MT5 deals,ORB RV 1.91 BV 1.33,sl 2501.333,orb-volume-profile-volume-confirmed,standard,3y,-130.29,pips,0.1,-0.9,101.65,1.0,True,2024-09-06 15:15:00+00:00,2024-09-06 16:03:39+00:00,3.1884200196270855,3.224813895781638,3.224813895781638,1.3282910874897793,ORB,orb-volume-profile-volume-confirmed
23,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.18,2024-09-17T13:50:00,2024-09-17T14:42:31,2578.053,2572.708,-97.2,Loss,Precomputed native MT5 deals,ORB RV 1.08 BV 1.35,sl 2572.708,orb-volume-profile-volume-confirmed,standard,3y,-53.45,pips,0.1,-0.96,100.73,1.0,True,2024-09-17 13:50:00+00:00,2024-09-17 14:42:31+00:00,0.982648401826484,1.0147752279157498,0.9880624426078971,1.3500627352572145,ORB,orb-volume-profile-volume-confirmed
