number,ea,symbol,side,open_time,close_time,net_profit,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
54,LVN GBPJPY optimized,GBPJPY,Long,2024-10-29T07:30:00,2024-10-29T08:26:35,107.22,2024-10-29 07:30:00+00:00,2024-10-29 08:26:35+00:00,0.9014084507042254,0.8012519561815337,0.745269286754003,1.0987124463519313,LVN,LVN GBPJPY optimized
55,LVN GBPJPY optimized,GBPJPY,Short,2024-10-31T15:30:00,2024-10-31T15:52:27,109.27,2024-10-31 15:30:00+00:00,2024-10-31 15:52:27+00:00,2.4878892733564015,2.462328767123288,2.2574568288854002,1.0442992011619463,LVN,LVN GBPJPY optimized
56,LVN GBPJPY optimized,GBPJPY,Short,2024-11-19T00:30:00,2024-11-19T01:06:38,108.19,2024-11-19 00:30:00+00:00,2024-11-19 01:06:38+00:00,1.2085769980506822,1.4351851851851851,1.2627291242362526,2.6050420168067228,LVN,LVN GBPJPY optimized
57,LVN GBPJPY optimized,GBPJPY,Long,2024-11-20T02:45:00,2024-11-20T05:45:40,109.47,2024-11-20 02:45:00+00:00,2024-11-20 05:45:40+00:00,0.72,0.7842323651452282,0.7974683544303798,0.7605633802816901,LVN,LVN GBPJPY optimized
58,LVN GBPJPY optimized,GBPJPY,Short,2024-11-21T01:15:00,2024-11-21T02:25:05,-116.55,2024-11-21 01:15:00+00:00,2024-11-21 02:25:05+00:00,1.0380116959064327,1.3271028037383177,1.2956204379562044,1.2979890310786106,LVN,LVN GBPJPY optimized
59,LVN GBPJPY optimized,GBPJPY,Short,2024-11-26T00:45:00,2024-11-26T01:02:55,110.29,2024-11-26 00:45:00+00:00,2024-11-26 01:02:55+00:00,2.140625,2.1789264413518885,2.2551440329218106,1.8607809847198642,LVN,LVN GBPJPY optimized
60,LVN GBPJPY optimized,GBPJPY,Long,2024-11-26T14:45:00,2024-11-26T15:00:39,-115.61,2024-11-26 14:45:00+00:00,2024-11-26 15:00:39+00:00,0.9848156182212582,1.010011123470523,1.0509259259259258,1.103280680437424,LVN,LVN GBPJPY optimized
61,LVN GBPJPY optimized,GBPJPY,Short,2024-12-03T14:00:00,2024-12-03T14:38:38,109.68,2024-12-03 14:00:00+00:00,2024-12-03 14:38:38+00:00,1.3853427895981087,1.3853427895981087,1.5103092783505154,1.896440129449838,LVN,LVN GBPJPY optimized
62,LVN GBPJPY optimized,GBPJPY,Long,2024-12-10T14:15:00,2024-12-10T15:57:57,110.79,2024-12-10 14:15:00+00:00,2024-12-10 15:57:57+00:00,0.7137254901960784,0.6859296482412061,0.7309236947791165,0.9039735099337748,LVN,LVN GBPJPY optimized
63,LVN GBPJPY optimized,GBPJPY,Long,2024-12-11T09:30:00,2024-12-11T13:30:05,115.1,2024-12-11 09:30:00+00:00,2024-12-11 13:30:05+00:00,2.8256,2.6596385542168677,2.772370486656201,2.7003058103975537,LVN,LVN GBPJPY optimized
