date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2026-03-11,2026-03-11 23:15:00,2026-03-12 01:00:00,USDCAD,BUY,loss,-1.0937,1.74,1.13,14.91,0.0154,0.01,False,-1.23,7.56,6.33,1
2026-03-12,2026-03-12 23:15:00,2026-03-13 06:00:00,USDCAD,BUY,timeout,0.5313,1.46,1.13,17.81,0.0129,0.01,False,0.6,6.33,6.93,1
2026-03-17,2026-03-17 23:45:00,2026-03-18 06:00:00,USDCAD,SELL,timeout,-0.9437,1.59,1.13,16.27,0.0141,0.01,False,-1.06,6.93,5.87,1
2026-03-18,2026-03-18 23:15:00,2026-03-19 06:00:00,USDCAD,SELL,timeout,0.4937,1.35,1.13,19.22,0.012,0.01,False,0.56,5.87,6.42,1
2026-03-24,2026-03-24 23:15:00,2026-03-25 05:45:00,USDCAD,SELL,loss,-1.0937,1.48,1.13,17.56,0.0131,0.01,False,-1.23,6.42,5.19,1
2026-03-26,2026-03-26 23:15:00,2026-03-27 06:00:00,USDCAD,SELL,timeout,0.0063,1.19,1.13,21.73,0.0106,0.01,False,0.01,5.19,5.2,1
2026-03-31,2026-03-31 23:15:00,2026-04-01 06:00:00,USDCAD,SELL,timeout,0.0375,1.2,1.13,21.7,0.0106,0.01,False,0.04,5.2,5.24,1
2026-04-01,2026-04-01 23:15:00,2026-04-02 01:30:00,USDCAD,BUY,win,1.1625,1.2,1.13,21.52,0.0107,0.01,False,1.31,5.24,6.55,1
2026-04-07,2026-04-07 23:15:00,2026-04-08 01:15:00,USDCAD,SELL,win,1.1625,1.51,1.13,17.22,0.0134,0.01,False,1.31,6.55,7.86,1
2026-04-08,2026-04-08 23:15:00,2026-04-09 06:00:00,USDCAD,BUY,timeout,0.1687,1.81,1.13,14.34,0.016,0.01,False,0.19,7.86,8.05,1
2026-04-09,2026-04-09 23:15:00,2026-04-10 06:00:00,USDCAD,BUY,timeout,0.4625,1.85,1.13,14.01,0.0164,0.01,False,0.52,8.05,8.57,1
2026-04-14,2026-04-14 23:15:00,2026-04-15 06:00:00,USDCAD,SELL,timeout,-0.425,1.97,1.13,13.15,0.0175,0.01,False,-0.48,8.57,8.09,1
2026-04-15,2026-04-15 23:15:00,2026-04-16 03:00:00,USDCAD,BUY,loss,-1.0875,1.86,1.13,13.93,0.0165,0.01,False,-1.23,8.09,6.87,1
2026-04-16,2026-04-16 23:15:00,2026-04-17 06:00:00,USDCAD,SELL,timeout,0.9312,1.58,1.13,16.42,0.014,0.01,False,1.05,6.87,7.92,1
2026-04-21,2026-04-21 23:15:00,2026-04-22 06:00:00,USDCAD,SELL,timeout,0.0312,1.82,1.13,14.24,0.0161,0.01,False,0.04,7.92,7.95,1
2026-04-22,2026-04-22 23:15:00,2026-04-23 06:00:00,USDCAD,SELL,timeout,-0.1,1.83,1.13,14.18,0.0162,0.01,False,-0.11,7.95,7.84,1
2026-04-23,2026-04-23 23:15:00,2026-04-24 06:00:00,USDCAD,BUY,timeout,0.6687,1.8,1.13,14.38,0.016,0.01,False,0.75,7.84,8.59,1
