date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2026-03-17,2026-03-17 23:45:00,2026-03-18 06:00:00,EURUSD,BUY,timeout,0.3,7.04,6.4,20.92,0.044,0.04,False,1.92,30.6,32.52,2
2026-03-18,2026-03-18 23:15:00,2026-03-19 01:30:00,EURUSD,BUY,win,1.2,7.48,6.4,19.68,0.0467,0.04,False,7.68,32.52,40.2,3
2026-03-19,2026-03-19 23:15:00,2026-03-20 03:30:00,EURUSD,SELL,win,1.2,9.25,8.0,19.9,0.0578,0.05,False,9.6,40.2,49.8,4
2026-03-24,2026-03-24 23:15:00,2026-03-25 04:00:00,EURUSD,BUY,loss,-1.05,11.45,11.2,22.49,0.0716,0.07,False,-11.76,49.8,38.04,3
2026-03-26,2026-03-26 23:15:00,2026-03-27 06:00:00,EURUSD,SELL,timeout,-0.4312,8.75,8.0,21.03,0.0547,0.05,False,-3.45,38.04,34.59,3
2026-03-31,2026-03-31 23:15:00,2026-04-01 06:00:00,EURUSD,BUY,timeout,0.3125,7.96,6.4,18.5,0.0497,0.04,False,2.0,34.59,36.59,3
2026-04-01,2026-04-01 23:15:00,2026-04-02 01:15:00,EURUSD,SELL,win,1.2,8.42,8.0,21.86,0.0526,0.05,False,9.6,36.59,46.19,4
2026-04-07,2026-04-07 23:15:00,2026-04-08 00:00:00,EURUSD,BUY,win,1.2,10.62,9.6,20.78,0.0664,0.06,False,11.52,46.19,57.71,5
2026-04-08,2026-04-08 23:15:00,2026-04-09 06:00:00,EURUSD,SELL,timeout,0.0313,13.27,12.8,22.18,0.083,0.08,False,0.4,57.71,58.11,5
2026-04-09,2026-04-09 23:15:00,2026-04-10 06:00:00,EURUSD,SELL,timeout,0.2812,13.37,12.8,22.03,0.0835,0.08,False,3.6,58.11,61.71,5
2026-04-14,2026-04-14 23:15:00,2026-04-15 02:30:00,EURUSD,BUY,loss,-1.05,14.19,12.8,20.74,0.0887,0.08,False,-13.44,61.71,48.27,4
2026-04-15,2026-04-15 23:15:00,2026-04-16 06:00:00,EURUSD,BUY,timeout,-0.2437,11.1,9.6,19.89,0.0694,0.06,False,-2.34,48.27,45.93,4
2026-04-16,2026-04-16 23:15:00,2026-04-17 06:00:00,EURUSD,BUY,timeout,-0.5188,10.56,9.6,20.9,0.066,0.06,False,-4.98,45.93,40.95,3
2026-04-21,2026-04-21 23:15:00,2026-04-22 05:15:00,EURUSD,BUY,win,1.2,9.42,8.0,19.54,0.0589,0.05,False,9.6,40.95,50.55,4
