stage,name,group,return_pct,profit_factor,win_rate,equity_dd_pct,trades,sharpe_ratio,recovery_factor,history_quality_pct,score,elapsed_seconds
development,adaptive-base1-strong3-body0.5,adaptive-rr,23.1526,1.08,40.51,24.5,506,1.33,0.93,98.0,-16.7674,11.53
development,adaptive-base1-strong4-body0.5,adaptive-rr,24.364499999999996,1.08,40.2,25.41,505,1.28,0.94,98.0,-17.223000000000006,12.27
development,short-only,direction,7.097200000000001,1.06,55.42,15.76,249,1.23,0.44,98.0,-17.9178,11.45
development,adaptive-base1-strong3-body1,adaptive-rr,22.632399999999997,1.08,42.72,26.35,508,1.49,0.85,98.0,-20.285100000000007,11.49
development,atr4-start1,management,27.5816,1.11,43.14,30.27,510,1.72,0.9,98.0,-21.490899999999996,13.0
development,dynamic-only-6020,management,26.9154,1.12,53.16,31.68,506,1.62,0.84,98.0,-24.654599999999995,13.48
development,adaptive-base1-strong3-body1.5,adaptive-rr,22.4642,1.08,45.19,28.91,509,1.62,0.77,98.0,-24.7383,12.08
development,fixed-rr1.5,reward-risk,20.7654,1.08,45.1,28.1,510,1.64,0.73,98.0,-24.989600000000003,12.56
development,atr-stop4-rr15,stop,20.7654,1.08,45.1,28.1,510,1.64,0.73,98.0,-24.989600000000003,12.51
development,dynamic-only-5020,management,22.055600000000002,1.1,55.93,31.18,506,1.48,0.7,98.0,-29.089399999999998,14.55
development,adaptive-base1-strong2-body0.5,adaptive-rr,13.727300000000001,1.05,42.72,26.15,508,0.99,0.52,98.0,-29.950199999999995,11.26
development,adaptive-base1-strong4-body1,adaptive-rr,15.708699999999997,1.06,42.41,28.48,507,0.98,0.54,98.0,-31.941300000000012,11.79
development,adaptive-base1-strong4-body1.5,adaptive-rr,18.151,1.07,44.79,30.49,509,1.26,0.59,98.0,-32.47649999999999,11.38
development,max-body-150atr,signal-filter,5.784299999999999,1.04,53.4,23.06,294,0.83,0.24,98.0,-32.8457,10.89
development,fixed-rr2-dynamic5020,reward-risk,18.0791,1.07,46.76,32.57,509,1.33,0.55,98.0,-36.083400000000005,13.74
development,breakeven-only-100-000,management,21.897399999999998,1.1,50.2,34.9,500,1.17,0.62,98.0,-36.22259999999999,12.78
development,ema-distance-max100atr,signal-filter,-4.1856,0.95,55.24,18.72,210,-0.92,-0.22,98.0,-38.9256,10.93
development,dynamic-only-7525,management,20.5154,1.09,49.7,36.15,505,1.17,0.56,98.0,-39.912099999999995,12.95
development,adaptive-base1-strong2-body1,adaptive-rr,9.4999,1.04,44.6,30.45,509,0.79,0.31,98.0,-42.12259999999999,11.79
development,adaptive-base1-strong2-body1.5,adaptive-rr,8.792300000000001,1.04,46.47,31.12,510,0.79,0.28,98.0,-44.00269999999999,11.41
development,breakeven-only-075-010,management,-2.042,0.99,56.44,26.49,505,-0.15,-0.08,98.0,-48.744499999999995,12.71
development,fixed-rr1.5-dynamic5020,reward-risk,1.9888999999999997,1.01,49.61,30.25,510,0.2,0.06,98.0,-50.528600000000004,12.82
development,fixed-rr0.5,reward-risk,-9.5602,0.94,66.08,20.78,513,-2.98,-0.45,98.0,-51.1152,12.22
development,fixed-rr0.75,reward-risk,-14.639000000000003,0.92,56.25,24.57,512,-2.72,-0.59,98.0,-62.676500000000004,12.5
development,fixed-rr1.25,reward-risk,-6.464099999999999,0.97,46.27,32.04,510,-0.67,-0.2,98.0,-63.899100000000004,12.65
development,timeframe-m15,timeframe,-10.7511,0.94,54.79,31.84,511,-0.87,-0.33,98.0,-68.4961,12.16
development,fixed-rr1-dynamic5020,reward-risk,-14.4235,0.92,56.05,28.78,512,-2.46,-0.49,98.0,-69.43849999999999,13.49
development,fixed-rr1,reward-risk,-12.642500000000002,0.94,50.29,33.58,511,-1.69,-0.37,98.0,-74.6625,12.61
development,timeframe-m1,timeframe,-3.083,0.99,39.18,42.1,513,-0.39,-0.07,98.0,-77.463,12.0
development,signal-stop0.5-rr15,stop,-11.7137,0.95,40.94,36.91,513,-1.64,-0.31,98.0,-79.36619999999999,11.19
development,atr-stop2-rr15,stop,-23.0556,0.91,39.38,43.62,513,-4.73,-0.51,98.0,-107.56559999999999,11.05
development,atr-stop3-rr15,stop,-25.546999999999997,0.89,39.77,44.79,513,-3.37,-0.56,98.0,-110.30449999999999,11.68
development,signal-stop0.25-rr15,stop,-26.319399999999998,0.89,39.38,43.71,513,-4.2,-0.59,98.0,-110.4319,11.8
development,atr-stop1.5-rr15,stop,-26.320100000000004,0.89,38.99,45.06,513,-5.0,-0.57,98.0,-113.99510000000001,11.47
development,signal-stop0.1-rr15,stop,-30.702600000000004,0.86,38.82,49.04,510,-5.0,-0.61,98.0,-125.7026,11.68
development,signal-stop0-rr15,stop,-33.2513,0.85,38.58,49.48,508,-5.0,-0.66,98.0,-129.1413,11.04
development,atr-stop2.5-rr15,stop,-39.4013,0.83,37.62,49.92,513,-5.0,-0.77,98.0,-136.3013,13.48
development,london-0300,session-anchor,-39.8611,0.77,56.12,51.42,515,-4.66,-0.69,98.0,-139.5961,12.5
development,atr-stop1-rr15,stop,-57.313500000000005,0.73,35.16,60.26,512,-5.0,-0.92,98.0,-173.50850000000003,10.97
development,current-safe,safe,5.6905,1.08,49.33,18.66,150,1.56,0.3,98.0,-9850.0,11.78
development,fixed-rr2.5-safe,safe-finalist,8.5673,1.1,38.93,17.55,149,1.97,0.48,98.0,-9851.0,10.74
full,fixed-rr2.5,reward-risk,100.0675,1.17,40.29,16.26,762,2.89,3.83,98.0,77.9875,77.99
full,atr-stop5-rr15,stop,91.7741,1.2,48.17,20.3,764,3.35,4.31,98.0,63.6741,90.2
full,overlap-0800,session-anchor,99.0599,1.17,53.63,31.81,772,3.16,1.89,98.0,50.1724,81.15
full,ema-distance-020atr,signal-filter,90.8216,1.23,55.44,28.24,698,3.73,3.18,98.0,49.756600000000006,90.75
full,no-management-eod,management,79.08890000000001,1.15,38.72,20.73,749,1.89,2.54,98.0,47.446400000000004,84.37
full,current-dynamic5020-atr6,baseline,64.29690000000001,1.16,54.94,32.4,770,2.68,1.96,98.0,13.53690000000001,108.19
full,fixed-rr2.5-safe,safe-finalist,21.145100000000003,1.18,40.74,19.12,189,3.59,1.09,98.0,-4.769899999999998,42.54
locked,atr-stop5-rr15,stop,51.3525,1.36,50.97,9.53,257,6.33,3.58,100.0,48.489999999999995,45.44
locked,ema-distance-020atr,signal-filter,44.957600000000006,1.33,55.83,12.01,240,6.09,2.41,100.0,37.03510000000001,49.38
locked,fixed-rr2.5,reward-risk,38.118,1.21,41.41,12.12,256,4.01,2.17,100.0,25.443000000000005,47.2
locked,current-dynamic5020-atr6,baseline,34.9786,1.25,55.04,11.92,258,4.73,2.02,100.0,24.2136,52.22
locked,no-management-eod,management,36.3663,1.2,39.29,14.32,252,2.93,1.72,100.0,18.1013,48.39
locked,overlap-0800,session-anchor,27.464199999999998,1.21,56.59,11.13,258,3.47,1.78,100.0,15.711699999999995,42.69
locked,fixed-rr2.5-safe,safe-finalist,13.462499999999999,1.58,47.5,8.95,40,10.39,1.21,100.0,-9960.0,25.51
