time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.04.22 04:15:00,entry,158,1,2371.566,2364.049,2384.015,aoi_target|risk=127.7900|volume=0.1700|PD=2024.04.22 00:00:00|PW=2024.04.21 00:00:00,0.19186071428571594,0.0,0.0,0.0,0.0,0.0,,12561.07,12558.95,PD.VAL=2384.015;PD.POC=2386.062;PD.VAH=2387.269
2024.04.22 06:15:00,entry,160,1,2365.788,2360.406,2384.015,aoi_target|risk=129.1700|volume=0.2400|PD=2024.04.22 00:00:00|PW=2024.04.21 00:00:00,0.21093214285714665,0.0,0.0,0.0,0.0,0.0,,12431.93,12428.93,PD.VAL=2384.015;PD.POC=2386.062;PD.VAH=2387.269
2024.04.24 13:00:00,entry,162,1,2323.287,2313.896,2351.46,fallback_3R|risk=131.4800|volume=0.1400|PD=2024.04.24 00:00:00|PW=2024.04.21 00:00:00,0.1690928571428588,0.0,0.0,0.0,0.0,0.0,,12301.99,12300.24,PD.VAL=2296.067;PD.POC=2307.168;PD.VAH=2322.978
2024.04.25 00:00:00,entry,164,1,2316.386,2315.179,2322.333,aoi_target|risk=121.9100|volume=1.0100|PD=2024.04.25 00:00:00|PW=2024.04.21 00:00:00,0.09896071428570882,0.0,0.0,0.0,0.0,0.0,,12164.62,12151.99,PD.VAL=2315.735;PD.POC=2322.333;PD.VAH=2326.132
2024.04.25 07:00:00,entry,166,1,2322.768,2317.462,2326.132,aoi_target|risk=122.0300|volume=0.2300|PD=2024.04.25 00:00:00|PW=2024.04.21 00:00:00,0.13248214285714863,0.0,0.0,0.0,0.0,0.0,,12038.41,12035.56,PD.VAL=2315.735;PD.POC=2322.333;PD.VAH=2326.132
2024.04.25 08:00:00,entry,168,1,2325.81,2321.122,2326.132,aoi_target|risk=121.8900|volume=0.2600|PD=2024.04.25 00:00:00|PW=2024.04.21 00:00:00,0.13483214285714504,0.0,0.0,0.0,0.0,0.0,,12114.75,12111.53,PD.VAL=2315.735;PD.POC=2322.333;PD.VAH=2326.132
2024.04.25 09:45:00,entry,170,1,2326.583,2324.039,2334.215,fallback_3R|risk=122.1100|volume=0.4800|PD=2024.04.25 00:00:00|PW=2024.04.21 00:00:00,0.1367821428571444,0.0,0.0,0.0,0.0,0.0,,12120.77,12114.77,PD.VAL=2315.735;PD.POC=2322.333;PD.VAH=2326.132
2024.04.25 12:45:00,entry,172,1,2329.787,2322.917,2350.397,fallback_3R|risk=123.6600|volume=0.1800|PD=2024.04.25 00:00:00|PW=2024.04.21 00:00:00,0.15552499999999847,0.0,0.0,0.0,0.0,0.0,,11997.24,11994.99,PD.VAL=2315.735;PD.POC=2322.333;PD.VAH=2326.132
2024.04.26 02:00:00,entry,174,1,2332.233,2328.851,2334.9,aoi_target|risk=121.7500|volume=0.3600|PD=2024.04.26 00:00:00|PW=2024.04.21 00:00:00,0.08873928571429296,0.0,0.0,0.0,0.0,0.0,,11871.13,11866.63,PD.VAL=2319.260;PD.POC=2331.459;PD.VAH=2334.900
2024.04.26 02:15:00,entry,176,1,2335.123,2330.41,2349.262,fallback_3R|risk=122.5400|volume=0.2600|PD=2024.04.26 00:00:00|PW=2024.04.21 00:00:00,0.0997642857142913,0.0,0.0,0.0,0.0,0.0,,11965.96,11962.73,PD.VAL=2319.260;PD.POC=2331.459;PD.VAH=2334.900
2024.04.26 15:15:00,entry,178,1,2334.231,2328.045,2334.9,aoi_target|risk=123.7200|volume=0.2000|PD=2024.04.26 00:00:00|PW=2024.04.21 00:00:00,0.27661428571428814,0.0,0.0,0.0,0.0,0.0,,12332.65,12330.15,PD.VAL=2319.260;PD.POC=2331.459;PD.VAH=2334.900
2024.04.29 02:00:00,entry,180,1,2331.139,2319.361,2334.348,aoi_target|risk=129.5600|volume=0.1100|PD=2024.04.29 00:00:00|PW=2024.04.28 00:00:00,0.17158571428571545,0.0,0.0,0.0,0.0,0.0,,12345.74,12344.38,PD.VAL=2334.348;PD.POC=2335.606;PD.VAH=2336.183
2024.04.29 05:15:00,entry,182,1,2334.569,2331.13,2335.606,aoi_target|risk=127.2400|volume=0.3700|PD=2024.04.29 00:00:00|PW=2024.04.28 00:00:00,0.16381071428571173,0.0,0.0,0.0,0.0,0.0,,12379.19,12374.61,PD.VAL=2334.348;PD.POC=2335.606;PD.VAH=2336.183
2024.04.29 07:15:00,entry,184,1,2332.211,2327.14,2334.348,aoi_target|risk=126.7800|volume=0.2500|PD=2024.04.29 00:00:00|PW=2024.04.28 00:00:00,0.14901071428571253,0.0,0.0,0.0,0.0,0.0,,12250.05,12246.92,PD.VAL=2334.348;PD.POC=2335.606;PD.VAH=2336.183
2024.04.29 07:45:00,entry,186,1,2336.212,2330.791,2352.475,fallback_3R|risk=124.6900|volume=0.2300|PD=2024.04.29 00:00:00|PW=2024.04.28 00:00:00,0.15127142857142775,0.0,0.0,0.0,0.0,0.0,,12302.35,12299.47,PD.VAL=2334.348;PD.POC=2335.606;PD.VAH=2336.183
2024.05.02 06:15:00,entry,188,1,2316.439,2312.336,2328.748,fallback_3R|risk=123.0900|volume=0.3000|PD=2024.05.02 00:00:00|PW=2024.04.28 00:00:00,0.1160214285714265,0.0,0.0,0.0,0.0,0.0,,12175.78,12172.03,PD.VAL=2283.055;PD.POC=2287.801;PD.VAH=2311.529
2024.05.02 13:30:00,entry,190,1,2290.458,2285.471,2311.529,aoi_target|risk=124.6700|volume=0.2500|PD=2024.05.02 00:00:00|PW=2024.04.28 00:00:00,0.24528571428571208,0.0,0.0,0.0,0.0,0.0,,12050.95,12047.83,PD.VAL=2283.055;PD.POC=2287.801;PD.VAH=2311.529
2024.05.03 01:00:00,entry,192,1,2304.062,2300.871,2311.129,aoi_target|risk=121.2600|volume=0.3800|PD=2024.05.03 00:00:00|PW=2024.04.28 00:00:00,0.08340714285714707,0.0,0.0,0.0,0.0,0.0,,11923.91,11919.16,PD.VAL=2289.952;PD.POC=2301.824;PD.VAH=2311.129
2024.05.06 13:15:00,entry,194,1,2324.946,2321.179,2336.247,fallback_3R|risk=120.5400|volume=0.3200|PD=2024.05.06 00:00:00|PW=2024.05.05 00:00:00,0.1917749999999988,0.0,0.0,0.0,0.0,0.0,,11800.58,11796.61,PD.VAL=2297.841;PD.POC=2301.994;PD.VAH=2303.326
2024.05.06 23:30:00,entry,196,1,2325.096,2321.96,2334.504,fallback_3R|risk=119.1700|volume=0.3800|PD=2024.05.06 00:00:00|PW=2024.05.05 00:00:00,0.10944642857143178,0.0,0.0,0.0,0.0,0.0,,11677.88,11673.13,PD.VAL=2297.841;PD.POC=2301.994;PD.VAH=2303.326
2024.05.07 03:15:00,entry,198,1,2322.884,2320.774,2324.883,aoi_target|risk=116.0500|volume=0.5500|PD=2024.05.07 00:00:00|PW=2024.05.05 00:00:00,0.12566428571427812,0.0,0.0,0.0,0.0,0.0,,11535.2,11528.33,PD.VAL=2312.598;PD.POC=2324.883;PD.VAH=2328.349
2024.05.07 06:00:00,entry,200,1,2321.662,2320.054,2324.883,aoi_target|risk=117.3900|volume=0.7300|PD=2024.05.07 00:00:00|PW=2024.05.05 00:00:00,0.10209642857142692,0.0,0.0,0.0,0.0,0.0,,11641.73,11632.6,PD.VAL=2312.598;PD.POC=2324.883;PD.VAH=2328.349
2024.05.07 07:45:00,entry,202,1,2321.7,2317.452,2324.883,aoi_target|risk=118.9400|volume=0.2800|PD=2024.05.07 00:00:00|PW=2024.05.05 00:00:00,0.11134285714285852,0.0,0.0,0.0,0.0,0.0,,11520.39,11516.89,PD.VAL=2312.598;PD.POC=2324.883;PD.VAH=2328.349
2024.05.13 00:15:00,entry,204,1,2361.918,2359.549,2362.176,aoi_target|risk=116.0800|volume=0.4900|PD=2024.05.13 00:00:00|PW=2024.05.12 00:00:00,0.08481428571428101,0.0,0.0,0.0,0.0,0.0,,11397.91,11391.79,PD.VAL=2360.596;PD.POC=2361.307;PD.VAH=2362.176
2024.05.13 00:30:00,entry,206,1,2362.286,2359.704,2370.032,fallback_3R|risk=116.1900|volume=0.4500|PD=2024.05.13 00:00:00|PW=2024.05.12 00:00:00,0.0841607142857096,0.0,0.0,0.0,0.0,0.0,,11409.25,11403.63,PD.VAL=2360.596;PD.POC=2361.307;PD.VAH=2362.176
2024.05.15 01:30:00,entry,208,1,2356.796,2354.759,2362.907,fallback_3R|risk=114.0800|volume=0.5600|PD=2024.05.15 00:00:00|PW=2024.05.12 00:00:00,0.06312142857142687,0.0,0.0,0.0,0.0,0.0,,11288.63,11281.63,PD.VAL=2342.151;PD.POC=2343.899;PD.VAH=2356.524
2024.05.15 14:15:00,entry,210,1,2362.139,2351.021,2395.493,fallback_3R|risk=122.3000|volume=0.1100|PD=2024.05.15 00:00:00|PW=2024.05.12 00:00:00,0.3177607142857174,0.0,0.0,0.0,0.0,0.0,,11630.68,11629.3,PD.VAL=2342.151;PD.POC=2343.899;PD.VAH=2356.524
2024.05.16 13:15:00,entry,212,1,2379.828,2376.369,2390.205,fallback_3R|risk=121.0600|volume=0.3500|PD=2024.05.16 00:00:00|PW=2024.05.12 00:00:00,0.17274642857142908,0.0,0.0,0.0,0.0,0.0,,11978.29,11973.92,PD.VAL=2353.667;PD.POC=2358.373;PD.VAH=2376.887
