time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2025.09.29 02:15:00,trail,30,1,3772.913,3770.375,0.0,done,0.3192499999999996,3779.439,3770.695,3786.126,3778.637,3767.16,2025.09.29 02:00:00,10964.22,11229.68,PW.VAL=3732.486;PW.POC=3745.063;PD.VAL=3767.406;PD.POC=3767.764;PD.VAH=3770.695;PW.VAH=3779.439
2025.09.30 00:00:00,ladder_refresh,30,1,3772.913,3770.375,0.0,PD=2025.09.30 00:00:00|PW=2025.09.28 00:00:00,0.3192499999999996,0.0,0.0,0.0,0.0,0.0,,10964.22,12154.66,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3805.630;PD.POC=3828.081;PD.VAH=3833.010
2025.09.30 00:15:00,trail,30,1,3772.913,3827.761,0.0,done,0.3192499999999996,3833.01,3828.081,3838.638,3832.915,3770.375,2025.09.30 00:00:00,10964.22,12267.36,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3805.630;PD.POC=3828.081;PD.VAH=3833.010
2025.09.30 09:00:00,entry,32,1,3816.483,3806.503,0.0,no_tp|risk=129.7400|volume=0.1300|PD=2025.09.30 00:00:00|PW=2025.09.28 00:00:00,0.4768678571428576,0.0,0.0,0.0,0.0,0.0,,12049.48,12049.0,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3805.630;PD.POC=3828.081;PD.VAH=3833.010
2025.09.30 13:45:00,entry,34,1,3824.943,3808.376,0.0,no_tp|risk=132.5300|volume=0.0800|PD=2025.09.30 00:00:00|PW=2025.09.28 00:00:00,0.3721214285714268,0.0,0.0,0.0,0.0,0.0,,11918.97,11918.68,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3805.630;PD.POC=3828.081;PD.VAH=3833.010
2025.09.30 14:15:00,trail,34,1,3824.943,3827.708,0.0,done,0.3721214285714268,3833.01,3828.081,3843.798,3824.243,3808.376,2025.09.30 14:00:00,11918.97,12070.64,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3805.630;PD.POC=3828.081;PD.VAH=3833.010
2025.10.01 00:00:00,ladder_refresh,34,1,3824.943,3827.708,0.0,PD=2025.10.01 00:00:00|PW=2025.09.28 00:00:00,0.3721214285714268,0.0,0.0,0.0,0.0,0.0,,11918.97,12219.31,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3820.186;PD.POC=3846.596;PD.VAH=3870.550
2025.10.01 08:00:00,trail,34,1,3824.943,3846.223,0.0,done,0.3721214285714268,3870.55,3846.596,3879.316,3869.043,3827.708,2025.10.01 07:45:00,11918.97,12349.69,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3820.186;PD.POC=3846.596;PD.VAH=3870.550
2025.10.02 00:00:00,ladder_refresh,34,1,3824.943,3846.223,0.0,PD=2025.10.02 00:00:00|PW=2025.09.28 00:00:00,0.3721214285714268,0.0,0.0,0.0,0.0,0.0,,11918.97,12210.75,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3858.678;PD.POC=3864.260;PD.VAH=3875.097
2025.10.02 02:00:00,trail,34,1,3824.943,3858.305,0.0,done,0.3721214285714268,3864.26,3858.678,3865.121,3863.284,3846.223,2025.10.02 01:45:00,11918.97,12223.59,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3858.678;PD.POC=3864.260;PD.VAH=3875.097
2025.10.02 09:15:00,trail,34,1,3824.943,3863.887,0.0,done,0.3721214285714268,3875.097,3864.26,3875.64,3874.714,3858.305,2025.10.02 09:00:00,11918.97,12307.93,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3858.678;PD.POC=3864.260;PD.VAH=3875.097
2025.10.02 15:00:00,entry,36,1,3839.947,3808.031,0.0,no_tp|risk=127.6700|volume=0.0400|PD=2025.10.02 00:00:00|PW=2025.09.28 00:00:00,0.5157035714285745,0.0,0.0,0.0,0.0,0.0,,12213.03,12212.88,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3858.678;PD.POC=3864.260;PD.VAH=3875.097
2025.10.03 00:00:00,ladder_refresh,36,1,3839.947,3808.031,0.0,PD=2025.10.03 00:00:00|PW=2025.09.28 00:00:00,0.5157035714285745,0.0,0.0,0.0,0.0,0.0,,12213.03,12300.88,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3843.730;PD.POC=3865.010;PD.VAH=3892.370
2025.10.03 10:45:00,trail,36,1,3839.947,3843.214,0.0,done,0.5157035714285745,3865.01,3843.73,3865.629,3863.421,3808.031,2025.10.03 10:30:00,12213.03,12313.77,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3843.730;PD.POC=3865.010;PD.VAH=3892.370
2025.10.05 22:05:00,ladder_refresh,36,1,3839.947,3843.214,0.0,PD=2025.10.05 00:00:00|PW=2025.09.28 00:00:00,0.5157035714285745,0.0,0.0,0.0,0.0,0.0,,12213.03,12403.78,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3859.882;PD.POC=3884.597;PD.VAH=3890.042
2025.10.05 22:30:00,trail,36,1,3839.947,3884.081,0.0,done,0.5157035714285745,3890.042,3884.597,3893.79,3890.416,3843.214,2025.10.05 22:15:00,12213.03,12423.99,PW.VAL=3732.486;PW.POC=3745.063;PW.VAH=3779.439;PD.VAL=3859.882;PD.POC=3884.597;PD.VAH=3890.042
2025.10.06 00:00:00,ladder_refresh,36,1,3839.947,3884.081,0.0,PD=2025.10.06 00:00:00|PW=2025.10.05 00:00:00,0.5157035714285745,0.0,0.0,0.0,0.0,0.0,,12213.03,12487.23,PW.VAL=3828.227;PW.POC=3864.822;PW.VAH=3890.961;PD.VAL=3897.973;PD.POC=3908.076;PD.VAH=3918.179
2025.10.06 01:45:00,trail,36,1,3839.947,3897.457,0.0,done,0.5157035714285745,3908.076,3897.973,3910.407,3903.05,3884.081,2025.10.06 01:30:00,12213.03,12490.29,PW.VAL=3828.227;PW.POC=3864.822;PW.VAH=3890.961;PD.VAL=3897.973;PD.POC=3908.076;PD.VAH=3918.179
2025.10.06 02:15:00,trail,36,1,3839.947,3907.56,0.0,done,0.5157035714285745,3918.179,3908.076,3923.897,3917.962,3897.457,2025.10.06 02:00:00,12213.03,12544.69,PW.VAL=3828.227;PW.POC=3864.822;PW.VAH=3890.961;PD.VAL=3897.973;PD.POC=3908.076;PD.VAH=3918.179
