time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.05.13 00:15:00,entry,172,1,2361.918,2359.549,2369.025,fallback_3R|risk=149.2400|volume=0.6300|PD=2024.05.13 00:00:00|PW=2024.05.12 00:00:00,0.08481428571428101,0.0,0.0,0.0,0.0,0.0,,14724.54,14716.67,PW.VAL=2306.709;PW.POC=2314.160;PW.VAH=2333.805
2024.05.15 01:30:00,entry,174,1,2356.796,2354.759,2362.907,fallback_3R|risk=146.6600|volume=0.7200|PD=2024.05.15 00:00:00|PW=2024.05.12 00:00:00,0.06312142857142687,0.0,0.0,0.0,0.0,0.0,,14570.52,14561.52,PW.VAL=2306.709;PW.POC=2314.160;PW.VAH=2333.805
2024.05.15 14:15:00,entry,176,1,2362.139,2351.021,2395.493,fallback_3R|risk=155.6600|volume=0.1400|PD=2024.05.15 00:00:00|PW=2024.05.12 00:00:00,0.3177607142857174,0.0,0.0,0.0,0.0,0.0,,15010.32,15008.57,PW.VAL=2306.709;PW.POC=2314.160;PW.VAH=2333.805
2024.05.16 13:15:00,entry,178,1,2379.828,2376.369,2390.205,fallback_3R|risk=155.6500|volume=0.4500|PD=2024.05.16 00:00:00|PW=2024.05.12 00:00:00,0.17274642857142908,0.0,0.0,0.0,0.0,0.0,,15452.7,15447.08,PW.VAL=2306.709;PW.POC=2314.160;PW.VAH=2333.805
2024.05.17 02:30:00,entry,180,1,2381.05,2376.776,2393.872,fallback_3R|risk=153.8600|volume=0.3600|PD=2024.05.17 00:00:00|PW=2024.05.12 00:00:00,0.08013928571428357,0.0,0.0,0.0,0.0,0.0,,15294.66,15290.16,PW.VAL=2306.709;PW.POC=2314.160;PW.VAH=2333.805
2024.05.17 03:15:00,entry,182,1,2376.246,2373.732,2383.788,fallback_3R|risk=153.3600|volume=0.6100|PD=2024.05.17 00:00:00|PW=2024.05.12 00:00:00,0.09947499999999537,0.0,0.0,0.0,0.0,0.0,,15136.72,15129.09,PW.VAL=2306.709;PW.POC=2314.160;PW.VAH=2333.805
2024.05.20 01:00:00,entry,184,1,2425.482,2420.253,2441.169,fallback_3R|risk=156.8700|volume=0.3000|PD=2024.05.20 00:00:00|PW=2024.05.19 00:00:00,0.21422857142856955,0.0,0.0,0.0,0.0,0.0,,15596.65,15592.9,PW.VAL=2334.937;PW.POC=2344.146;PW.VAH=2384.524
2024.05.20 13:30:00,entry,186,1,2418.804,2412.368,2438.112,fallback_3R|risk=160.9000|volume=0.2500|PD=2024.05.20 00:00:00|PW=2024.05.19 00:00:00,0.3300464285714319,0.0,0.0,0.0,0.0,0.0,,16065.91,16062.79,PW.VAL=2334.937;PW.POC=2344.146;PW.VAH=2384.524
2024.05.20 14:00:00,entry,188,1,2420.355,2409.504,2452.908,fallback_3R|risk=162.7700|volume=0.1500|PD=2024.05.20 00:00:00|PW=2024.05.19 00:00:00,0.3711464285714328,0.0,0.0,0.0,0.0,0.0,,15903.86,15901.98,PW.VAL=2334.937;PW.POC=2344.146;PW.VAH=2384.524
2024.05.21 07:15:00,entry,190,1,2414.117,2405.327,2440.487,fallback_3R|risk=158.2200|volume=0.1800|PD=2024.05.21 00:00:00|PW=2024.05.19 00:00:00,0.18531428571428868,0.0,0.0,0.0,0.0,0.0,,15731.78,15729.53,PW.VAL=2334.937;PW.POC=2344.146;PW.VAH=2384.524
2024.07.18 01:15:00,entry,192,1,2462.656,2457.376,2478.496,fallback_3R|risk=158.4000|volume=0.3000|PD=2024.07.18 00:00:00|PW=2024.07.14 00:00:00,0.09744642857142806,0.0,0.0,0.0,0.0,0.0,,15561.84,15558.48,PW.VAL=2350.557;PW.POC=2373.467;PW.VAH=2402.252
2024.08.02 00:30:00,entry,194,1,2449.602,2443.659,2467.431,fallback_3R|risk=154.5200|volume=0.2600|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.11533214285714005,0.0,0.0,0.0,0.0,0.0,,15401.62,15398.71,PW.VAL=2360.514;PW.POC=2373.453;PW.VAH=2406.109
2024.08.02 01:30:00,entry,196,1,2443.221,2434.46,2469.504,fallback_3R|risk=157.7000|volume=0.1800|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.1859071428571383,0.0,0.0,0.0,0.0,0.0,,15245.54,15243.52,PW.VAL=2360.514;PW.POC=2373.453;PW.VAH=2406.109
2024.08.02 16:15:00,entry,198,1,2437.661,2412.876,2512.016,fallback_3R|risk=173.5000|volume=0.0700|PD=2024.08.02 00:00:00|PW=2024.07.28 00:00:00,0.642924999999996,0.0,0.0,0.0,0.0,0.0,,15718.33,15717.54,PW.VAL=2360.514;PW.POC=2373.453;PW.VAH=2406.109
2024.08.13 02:00:00,entry,200,1,2466.459,2462.271,2479.023,fallback_3R|risk=159.1400|volume=0.3800|PD=2024.08.13 00:00:00|PW=2024.08.11 00:00:00,0.15753928571428855,0.0,0.0,0.0,0.0,0.0,,15538.97,15534.98,PW.VAL=2382.032;PW.POC=2393.114;PW.VAH=2423.406
