CaseId,EaId,Label,Symbol,Period,Variant,SessionValue,Dynamic,Stage,From,To,Model,Report,session,period_text,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report
ema3-xau__all,ema3-xau,AAA Final EMA3,XAUUSD,H4,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__all.htm,all,H4 (2024.09.01 - 2025.08.31),99.0,1588,1401337,10000.0,9859.82,-140.18,-1.4018000000000002,2326.17,-2466.35,0.94,1093.47,10.12,989.97,9.23,49,21,28,42.86,-6.729999999999998,-184.72000000000003,-14.423052422308523,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__all.htm
ema3-xau__asia,ema3-xau,AAA Final EMA3,XAUUSD,H4,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__asia.htm,asia,H4 (2024.09.01 - 2025.08.31),99.0,1588,1401337,10000.0,10194.06,194.06,1.9405999999999999,1601.48,-1407.42,1.14,692.51,6.67,616.32,5.96,31,14,17,45.16,-3.7600000000000002,-78.99000000000001,-5.610730425561576,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__asia.htm
ema3-xau__london,ema3-xau,AAA Final EMA3,XAUUSD,H4,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__london.htm,london,H4 (2024.09.01 - 2025.08.31),99.0,1588,1401337,10000.0,10483.31,483.31,4.8331,1276.65,-793.34,1.61,398.55,3.69,384.51,3.56,19,10,9,52.63,-2.4099999999999997,-85.23,3.0780050739782303,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__london.htm
ema3-xau__new-york,ema3-xau,AAA Final EMA3,XAUUSD,H4,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__new-york.htm,new-york,H4 (2024.09.01 - 2025.08.31),99.0,1588,1401337,10000.0,9899.55,-100.45,-1.0045,1689.98,-1790.43,0.94,946.18,8.84,842.68,7.93,36,16,20,44.44,-4.990000000000001,-185.76000000000002,-12.425752422308527,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__new-york.htm
ema3-xau__overlap,ema3-xau,AAA Final EMA3,XAUUSD,H4,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__overlap.htm,overlap,H4 (2024.09.01 - 2025.08.31),99.0,1588,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\ema3-xau__overlap.htm
engineered-btc__all,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__all.htm,all,M30 (2024.09.01 - 2025.08.31),100.0,17409,2087111,10000.0,11768.0,1768.0,17.68,9757.06,-7989.06,1.22,1899.66,14.44,1595.36,12.32,100,28,72,28.0,-135.89,-74.01000000000002,0.82310515247099,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__all.htm
engineered-btc__asia,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__asia.htm,asia,M30 (2024.09.01 - 2025.08.31),100.0,17409,2087111,10000.0,8922.31,-1077.69,-10.776900000000001,2515.39,-3593.08,0.7,1661.17,15.89,1610.29,15.4,45,7,38,15.56,-55.349999999999994,0.0,-32.7794496636324,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__asia.htm
engineered-btc__london,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__london.htm,london,M30 (2024.09.01 - 2025.08.31),100.0,17409,2087111,10000.0,12354.92,2354.92,23.5492,3739.93,-1385.01,2.7,1013.26,7.9,617.15,4.93,21,9,12,42.86,-29.549999999999997,-3.56,19.6337106380617,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__london.htm
engineered-btc__new-york,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__new-york.htm,new-york,M30 (2024.09.01 - 2025.08.31),100.0,17409,2087111,10000.0,9756.27,-243.73,-2.4373,1489.43,-1733.16,0.86,971.73,9.06,908.86,8.52,25,8,17,32.0,-25.309999999999995,-36.53,-14.667237338407503,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__new-york.htm
engineered-btc__overlap,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__overlap.htm,overlap,M30 (2024.09.01 - 2025.08.31),100.0,17409,2087111,10000.0,10148.66,148.66,1.4866,647.29,-498.63,1.3,358.36,3.55,200.75,2.01,9,4,5,44.44,-10.02,-0.77,-1.3767144131950535,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-btc__overlap.htm
engineered-xau__all,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__all.htm,all,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,11982.119999999999,1982.12,19.8212,7806.18,-5824.06,1.34,1172.2,9.26,929.94,7.44,75,24,51,32.0,-81.99999999999994,-238.67000000000002,10.002217683776923,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__all.htm
engineered-xau__asia,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__asia.htm,asia,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,9134.99,-865.01,-8.6501,1075.71,-1940.72,0.55,1062.27,10.42,1026.65,10.1,26,5,21,19.23,-24.699999999999996,-10.309999999999999,-25.262122004533722,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__asia.htm
engineered-xau__london,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__london.htm,london,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,12289.82,2289.82,22.898200000000003,3265.89,-976.07,3.35,510.15,4.4,327.32,2.86,18,9,9,50.0,-20.67,-18.04,24.651962075021853,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__london.htm
engineered-xau__new-york,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__new-york.htm,new-york,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,9987.43,-12.57,-0.1257,2243.1,-2255.67,0.99,768.59,7.15,630.79,5.94,31,9,22,29.03,-28.429999999999996,-168.57000000000005,-9.123502015121009,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__new-york.htm
engineered-xau__overlap,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__overlap.htm,overlap,H1 (2024.09.01 - 2025.08.31),99.0,5868,1401337,10000.0,9574.5,-425.5,-4.255,636.85,-1062.35,0.6,542.76,5.39,483.91,4.81,15,4,11,26.67,-11.64,-27.84,-14.057453742595944,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\engineered-xau__overlap.htm
fabio-ustec__all,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__all.htm,all,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10662.05,662.05,6.6205,5716.19,-5054.14,1.13,645.08,6.42,577.8,5.77,169,95,74,56.21,-93.71000000000002,-49.69,-0.6711942036545059,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__all.htm
fabio-ustec__asia,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__asia.htm,asia,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__asia.htm
fabio-ustec__london,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__london.htm,london,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__london.htm
fabio-ustec__new-york,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__new-york.htm,new-york,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10662.05,662.05,6.6205,5716.19,-5054.14,1.13,645.08,6.42,577.8,5.77,169,95,74,56.21,-93.71000000000002,-49.69,-0.6711942036545059,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__new-york.htm
fabio-ustec__overlap,fabio-ustec,US100 Fabio ORB 1R,USTEC,M5,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__overlap.htm,overlap,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10595.94,595.94,5.9594000000000005,4952.04,-4356.1,1.14,675.0,6.72,607.72,6.07,133,76,57,57.14,-74.03000000000003,-49.230000000000004,-1.6544304255615758,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\fabio-ustec__overlap.htm
lta-xau__all,lta-xau,LTA Volume Profile,XAUUSD,M15,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__all.htm,all,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,9755.31,-244.69,-2.4469000000000003,18618.36,-18863.05,0.99,2460.39,20.6,2435.3,20.41,237,61,176,25.74,-293.51000000000033,-262.93999999999994,-28.25720201512101,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__all.htm
lta-xau__asia,lta-xau,LTA Volume Profile,XAUUSD,M15,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__asia.htm,asia,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,6812.030000000001,-3187.97,-31.8797,8886.02,-12073.99,0.74,3836.0,36.58,3618.41,35.22,179,36,143,20.11,-208.1500000000002,-34.03,-79.41133055670352,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__asia.htm
lta-xau__london,lta-xau,LTA Volume Profile,XAUUSD,M15,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__london.htm,london,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,9976.76,-23.24,-0.23239999999999997,7153.63,-7176.87,1.0,1394.03,13.0,1190.11,11.26,97,25,72,25.77,-115.24999999999993,-60.33,-16.4824,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__london.htm
lta-xau__new-york,lta-xau,LTA Volume Profile,XAUUSD,M15,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__new-york.htm,new-york,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,10420.91,420.91,4.2091,8239.33,-7818.42,1.05,1483.0,13.41,1308.25,11.92,108,29,79,26.85,-90.00999999999992,-257.26,-12.260659014983407,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__new-york.htm
lta-xau__overlap,lta-xau,LTA Volume Profile,XAUUSD,M15,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__overlap.htm,overlap,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,10505.83,505.83,5.0583,7671.22,-7165.39,1.07,1209.87,11.16,1042.63,9.69,99,27,72,27.27,-85.47999999999992,-226.82999999999998,-8.485748109157111,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\lta-xau__overlap.htm
markov-xau__all,markov-xau,XAU Markov Regime,XAUUSD,D1,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__all.htm,all,Daily (2024.09.01 - 2025.08.31),99.0,310,1401337,10000.0,9947.43,-52.57,-0.5257000000000001,35.31,-87.88,0.4,130.27,1.29,87.82,0.88,3,1,2,33.33,-0.18,-15.55,-7.63594439124493,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__all.htm
