rule_id,frequency,p,q,band_pct,delay,hold
80,M10,2,12,0.05,2,infinity
81,M10,2,12,0.05,3,6
82,M10,2,12,0.05,3,12
83,M10,2,12,0.05,3,infinity
84,M10,2,12,0.05,4,6
85,M10,2,12,0.05,4,12
86,M10,2,12,0.05,4,infinity
87,M10,2,12,0.05,5,6
88,M10,2,12,0.05,5,12
89,M10,2,12,0.05,5,infinity
90,M10,2,18,0.0,0,6
91,M10,2,18,0.0,0,12
92,M10,2,18,0.0,0,infinity
93,M10,2,18,0.0,2,6
94,M10,2,18,0.0,2,12
95,M10,2,18,0.0,2,infinity
96,M10,2,18,0.0,3,6
97,M10,2,18,0.0,3,12
98,M10,2,18,0.0,3,infinity
99,M10,2,18,0.0,4,6
100,M10,2,18,0.0,4,12
101,M10,2,18,0.0,4,infinity
102,M10,2,18,0.0,5,6
103,M10,2,18,0.0,5,12
104,M10,2,18,0.0,5,infinity
105,M10,2,18,0.01,0,6
106,M10,2,18,0.01,0,12
107,M10,2,18,0.01,0,infinity
108,M10,2,18,0.01,2,6
109,M10,2,18,0.01,2,12
110,M10,2,18,0.01,2,infinity
111,M10,2,18,0.01,3,6
112,M10,2,18,0.01,3,12
113,M10,2,18,0.01,3,infinity
114,M10,2,18,0.01,4,6
115,M10,2,18,0.01,4,12
116,M10,2,18,0.01,4,infinity
117,M10,2,18,0.01,5,6
118,M10,2,18,0.01,5,12
119,M10,2,18,0.01,5,infinity
120,M10,2,18,0.05,0,6
121,M10,2,18,0.05,0,12
122,M10,2,18,0.05,0,infinity
123,M10,2,18,0.05,2,6
124,M10,2,18,0.05,2,12
125,M10,2,18,0.05,2,infinity
126,M10,2,18,0.05,3,6
127,M10,2,18,0.05,3,12
128,M10,2,18,0.05,3,infinity
129,M10,2,18,0.05,4,6
130,M10,2,18,0.05,4,12
131,M10,2,18,0.05,4,infinity
132,M10,2,18,0.05,5,6
133,M10,2,18,0.05,5,12
134,M10,2,18,0.05,5,infinity
135,M10,2,24,0.0,0,6
136,M10,2,24,0.0,0,12
137,M10,2,24,0.0,0,infinity
138,M10,2,24,0.0,2,6
139,M10,2,24,0.0,2,12
140,M10,2,24,0.0,2,infinity
141,M10,2,24,0.0,3,6
142,M10,2,24,0.0,3,12
143,M10,2,24,0.0,3,infinity
144,M10,2,24,0.0,4,6
145,M10,2,24,0.0,4,12
146,M10,2,24,0.0,4,infinity
147,M10,2,24,0.0,5,6
148,M10,2,24,0.0,5,12
149,M10,2,24,0.0,5,infinity
150,M10,2,24,0.01,0,6
151,M10,2,24,0.01,0,12
152,M10,2,24,0.01,0,infinity
153,M10,2,24,0.01,2,6
154,M10,2,24,0.01,2,12
155,M10,2,24,0.01,2,infinity
156,M10,2,24,0.01,3,6
157,M10,2,24,0.01,3,12
158,M10,2,24,0.01,3,infinity
159,M10,2,24,0.01,4,6
160,M10,2,24,0.01,4,12
161,M10,2,24,0.01,4,infinity
162,M10,2,24,0.01,5,6
163,M10,2,24,0.01,5,12
164,M10,2,24,0.01,5,infinity
165,M10,2,24,0.05,0,6
166,M10,2,24,0.05,0,12
167,M10,2,24,0.05,0,infinity
168,M10,2,24,0.05,2,6
169,M10,2,24,0.05,2,12
170,M10,2,24,0.05,2,infinity
171,M10,2,24,0.05,3,6
172,M10,2,24,0.05,3,12
173,M10,2,24,0.05,3,infinity
174,M10,2,24,0.05,4,6
175,M10,2,24,0.05,4,12
176,M10,2,24,0.05,4,infinity
177,M10,2,24,0.05,5,6
178,M10,2,24,0.05,5,12
179,M10,2,24,0.05,5,infinity
180,M10,2,30,0.0,0,6
181,M10,2,30,0.0,0,12
182,M10,2,30,0.0,0,infinity
183,M10,2,30,0.0,2,6
184,M10,2,30,0.0,2,12
185,M10,2,30,0.0,2,infinity
186,M10,2,30,0.0,3,6
187,M10,2,30,0.0,3,12
188,M10,2,30,0.0,3,infinity
189,M10,2,30,0.0,4,6
190,M10,2,30,0.0,4,12
191,M10,2,30,0.0,4,infinity
192,M10,2,30,0.0,5,6
193,M10,2,30,0.0,5,12
194,M10,2,30,0.0,5,infinity
195,M10,2,30,0.01,0,6
196,M10,2,30,0.01,0,12
197,M10,2,30,0.01,0,infinity
198,M10,2,30,0.01,2,6
199,M10,2,30,0.01,2,12
200,M10,2,30,0.01,2,infinity
201,M10,2,30,0.01,3,6
202,M10,2,30,0.01,3,12
203,M10,2,30,0.01,3,infinity
204,M10,2,30,0.01,4,6
205,M10,2,30,0.01,4,12
206,M10,2,30,0.01,4,infinity
207,M10,2,30,0.01,5,6
208,M10,2,30,0.01,5,12
209,M10,2,30,0.01,5,infinity
210,M10,2,30,0.05,0,6
211,M10,2,30,0.05,0,12
212,M10,2,30,0.05,0,infinity
213,M10,2,30,0.05,2,6
214,M10,2,30,0.05,2,12
215,M10,2,30,0.05,2,infinity
216,M10,2,30,0.05,3,6
217,M10,2,30,0.05,3,12
218,M10,2,30,0.05,3,infinity
219,M10,2,30,0.05,4,6
220,M10,2,30,0.05,4,12
221,M10,2,30,0.05,4,infinity
222,M10,2,30,0.05,5,6
223,M10,2,30,0.05,5,12
224,M10,2,30,0.05,5,infinity
225,M10,2,48,0.0,0,6
226,M10,2,48,0.0,0,12
227,M10,2,48,0.0,0,infinity
228,M10,2,48,0.0,2,6
229,M10,2,48,0.0,2,12
230,M10,2,48,0.0,2,infinity
231,M10,2,48,0.0,3,6
232,M10,2,48,0.0,3,12
233,M10,2,48,0.0,3,infinity
234,M10,2,48,0.0,4,6
235,M10,2,48,0.0,4,12
236,M10,2,48,0.0,4,infinity
237,M10,2,48,0.0,5,6
238,M10,2,48,0.0,5,12
239,M10,2,48,0.0,5,infinity
240,M10,2,48,0.01,0,6
241,M10,2,48,0.01,0,12
242,M10,2,48,0.01,0,infinity
243,M10,2,48,0.01,2,6
244,M10,2,48,0.01,2,12
245,M10,2,48,0.01,2,infinity
246,M10,2,48,0.01,3,6
247,M10,2,48,0.01,3,12
248,M10,2,48,0.01,3,infinity
249,M10,2,48,0.01,4,6
250,M10,2,48,0.01,4,12
251,M10,2,48,0.01,4,infinity
252,M10,2,48,0.01,5,6
253,M10,2,48,0.01,5,12
254,M10,2,48,0.01,5,infinity
255,M10,2,48,0.05,0,6
256,M10,2,48,0.05,0,12
257,M10,2,48,0.05,0,infinity
258,M10,2,48,0.05,2,6
259,M10,2,48,0.05,2,12
260,M10,2,48,0.05,2,infinity
261,M10,2,48,0.05,3,6
262,M10,2,48,0.05,3,12
263,M10,2,48,0.05,3,infinity
264,M10,2,48,0.05,4,6
265,M10,2,48,0.05,4,12
266,M10,2,48,0.05,4,infinity
267,M10,2,48,0.05,5,6
268,M10,2,48,0.05,5,12
269,M10,2,48,0.05,5,infinity
270,M10,2,96,0.0,0,6
271,M10,2,96,0.0,0,12
272,M10,2,96,0.0,0,infinity
273,M10,2,96,0.0,2,6
274,M10,2,96,0.0,2,12
275,M10,2,96,0.0,2,infinity
276,M10,2,96,0.0,3,6
277,M10,2,96,0.0,3,12
278,M10,2,96,0.0,3,infinity
279,M10,2,96,0.0,4,6
280,M10,2,96,0.0,4,12
281,M10,2,96,0.0,4,infinity
282,M10,2,96,0.0,5,6
283,M10,2,96,0.0,5,12
284,M10,2,96,0.0,5,infinity
285,M10,2,96,0.01,0,6
286,M10,2,96,0.01,0,12
287,M10,2,96,0.01,0,infinity
288,M10,2,96,0.01,2,6
289,M10,2,96,0.01,2,12
290,M10,2,96,0.01,2,infinity
291,M10,2,96,0.01,3,6
292,M10,2,96,0.01,3,12
293,M10,2,96,0.01,3,infinity
294,M10,2,96,0.01,4,6
295,M10,2,96,0.01,4,12
296,M10,2,96,0.01,4,infinity
297,M10,2,96,0.01,5,6
298,M10,2,96,0.01,5,12
299,M10,2,96,0.01,5,infinity
300,M10,2,96,0.05,0,6
301,M10,2,96,0.05,0,12
302,M10,2,96,0.05,0,infinity
303,M10,2,96,0.05,2,6
304,M10,2,96,0.05,2,12
305,M10,2,96,0.05,2,infinity
306,M10,2,96,0.05,3,6
307,M10,2,96,0.05,3,12
308,M10,2,96,0.05,3,infinity
309,M10,2,96,0.05,4,6
310,M10,2,96,0.05,4,12
311,M10,2,96,0.05,4,infinity
312,M10,2,96,0.05,5,6
313,M10,2,96,0.05,5,12
314,M10,2,96,0.05,5,infinity
315,M10,2,144,0.0,0,6
316,M10,2,144,0.0,0,12
317,M10,2,144,0.0,0,infinity
318,M10,2,144,0.0,2,6
319,M10,2,144,0.0,2,12
320,M10,2,144,0.0,2,infinity
321,M10,2,144,0.0,3,6
322,M10,2,144,0.0,3,12
323,M10,2,144,0.0,3,infinity
324,M10,2,144,0.0,4,6
325,M10,2,144,0.0,4,12
326,M10,2,144,0.0,4,infinity
327,M10,2,144,0.0,5,6
328,M10,2,144,0.0,5,12
329,M10,2,144,0.0,5,infinity
330,M10,2,144,0.01,0,6
331,M10,2,144,0.01,0,12
332,M10,2,144,0.01,0,infinity
333,M10,2,144,0.01,2,6
334,M10,2,144,0.01,2,12
335,M10,2,144,0.01,2,infinity
336,M10,2,144,0.01,3,6
337,M10,2,144,0.01,3,12
338,M10,2,144,0.01,3,infinity
339,M10,2,144,0.01,4,6
340,M10,2,144,0.01,4,12
341,M10,2,144,0.01,4,infinity
342,M10,2,144,0.01,5,6
343,M10,2,144,0.01,5,12
344,M10,2,144,0.01,5,infinity
345,M10,2,144,0.05,0,6
346,M10,2,144,0.05,0,12
347,M10,2,144,0.05,0,infinity
348,M10,2,144,0.05,2,6
349,M10,2,144,0.05,2,12
350,M10,2,144,0.05,2,infinity
351,M10,2,144,0.05,3,6
352,M10,2,144,0.05,3,12
353,M10,2,144,0.05,3,infinity
354,M10,2,144,0.05,4,6
355,M10,2,144,0.05,4,12
356,M10,2,144,0.05,4,infinity
357,M10,2,144,0.05,5,6
358,M10,2,144,0.05,5,12
359,M10,2,144,0.05,5,infinity
360,M10,2,168,0.0,0,6
361,M10,2,168,0.0,0,12
362,M10,2,168,0.0,0,infinity
363,M10,2,168,0.0,2,6
364,M10,2,168,0.0,2,12
365,M10,2,168,0.0,2,infinity
366,M10,2,168,0.0,3,6
367,M10,2,168,0.0,3,12
368,M10,2,168,0.0,3,infinity
369,M10,2,168,0.0,4,6
370,M10,2,168,0.0,4,12
371,M10,2,168,0.0,4,infinity
372,M10,2,168,0.0,5,6
373,M10,2,168,0.0,5,12
374,M10,2,168,0.0,5,infinity
375,M10,2,168,0.01,0,6
376,M10,2,168,0.01,0,12
377,M10,2,168,0.01,0,infinity
378,M10,2,168,0.01,2,6
379,M10,2,168,0.01,2,12
380,M10,2,168,0.01,2,infinity
381,M10,2,168,0.01,3,6
382,M10,2,168,0.01,3,12
383,M10,2,168,0.01,3,infinity
384,M10,2,168,0.01,4,6
385,M10,2,168,0.01,4,12
386,M10,2,168,0.01,4,infinity
387,M10,2,168,0.01,5,6
388,M10,2,168,0.01,5,12
389,M10,2,168,0.01,5,infinity
390,M10,2,168,0.05,0,6
391,M10,2,168,0.05,0,12
392,M10,2,168,0.05,0,infinity
393,M10,2,168,0.05,2,6
394,M10,2,168,0.05,2,12
395,M10,2,168,0.05,2,infinity
396,M10,2,168,0.05,3,6
397,M10,2,168,0.05,3,12
398,M10,2,168,0.05,3,infinity
399,M10,2,168,0.05,4,6
400,M10,2,168,0.05,4,12
401,M10,2,168,0.05,4,infinity
402,M10,2,168,0.05,5,6
403,M10,2,168,0.05,5,12
404,M10,2,168,0.05,5,infinity
405,M10,2,192,0.0,0,6
406,M10,2,192,0.0,0,12
407,M10,2,192,0.0,0,infinity
408,M10,2,192,0.0,2,6
409,M10,2,192,0.0,2,12
410,M10,2,192,0.0,2,infinity
411,M10,2,192,0.0,3,6
412,M10,2,192,0.0,3,12
413,M10,2,192,0.0,3,infinity
414,M10,2,192,0.0,4,6
415,M10,2,192,0.0,4,12
416,M10,2,192,0.0,4,infinity
417,M10,2,192,0.0,5,6
418,M10,2,192,0.0,5,12
419,M10,2,192,0.0,5,infinity
420,M10,2,192,0.01,0,6
421,M10,2,192,0.01,0,12
422,M10,2,192,0.01,0,infinity
423,M10,2,192,0.01,2,6
424,M10,2,192,0.01,2,12
425,M10,2,192,0.01,2,infinity
426,M10,2,192,0.01,3,6
427,M10,2,192,0.01,3,12
428,M10,2,192,0.01,3,infinity
429,M10,2,192,0.01,4,6
430,M10,2,192,0.01,4,12
431,M10,2,192,0.01,4,infinity
432,M10,2,192,0.01,5,6
433,M10,2,192,0.01,5,12
434,M10,2,192,0.01,5,infinity
435,M10,2,192,0.05,0,6
436,M10,2,192,0.05,0,12
437,M10,2,192,0.05,0,infinity
438,M10,2,192,0.05,2,6
439,M10,2,192,0.05,2,12
440,M10,2,192,0.05,2,infinity
441,M10,2,192,0.05,3,6
442,M10,2,192,0.05,3,12
443,M10,2,192,0.05,3,infinity
444,M10,2,192,0.05,4,6
445,M10,2,192,0.05,4,12
446,M10,2,192,0.05,4,infinity
447,M10,2,192,0.05,5,6
448,M10,2,192,0.05,5,12
449,M10,2,192,0.05,5,infinity
450,M10,6,12,0.0,0,6
451,M10,6,12,0.0,0,12
452,M10,6,12,0.0,0,infinity
453,M10,6,12,0.0,2,6
454,M10,6,12,0.0,2,12
455,M10,6,12,0.0,2,infinity
456,M10,6,12,0.0,3,6
457,M10,6,12,0.0,3,12
458,M10,6,12,0.0,3,infinity
459,M10,6,12,0.0,4,6
460,M10,6,12,0.0,4,12
461,M10,6,12,0.0,4,infinity
462,M10,6,12,0.0,5,6
463,M10,6,12,0.0,5,12
464,M10,6,12,0.0,5,infinity
465,M10,6,12,0.01,0,6
466,M10,6,12,0.01,0,12
467,M10,6,12,0.01,0,infinity
468,M10,6,12,0.01,2,6
469,M10,6,12,0.01,2,12
470,M10,6,12,0.01,2,infinity
471,M10,6,12,0.01,3,6
472,M10,6,12,0.01,3,12
473,M10,6,12,0.01,3,infinity
474,M10,6,12,0.01,4,6
475,M10,6,12,0.01,4,12
476,M10,6,12,0.01,4,infinity
477,M10,6,12,0.01,5,6
478,M10,6,12,0.01,5,12
479,M10,6,12,0.01,5,infinity
480,M10,6,12,0.05,0,6
481,M10,6,12,0.05,0,12
482,M10,6,12,0.05,0,infinity
483,M10,6,12,0.05,2,6
484,M10,6,12,0.05,2,12
485,M10,6,12,0.05,2,infinity
486,M10,6,12,0.05,3,6
487,M10,6,12,0.05,3,12
488,M10,6,12,0.05,3,infinity
489,M10,6,12,0.05,4,6
490,M10,6,12,0.05,4,12
491,M10,6,12,0.05,4,infinity
492,M10,6,12,0.05,5,6
493,M10,6,12,0.05,5,12
494,M10,6,12,0.05,5,infinity
495,M10,6,18,0.0,0,6
496,M10,6,18,0.0,0,12
497,M10,6,18,0.0,0,infinity
498,M10,6,18,0.0,2,6
499,M10,6,18,0.0,2,12
500,M10,6,18,0.0,2,infinity
501,M10,6,18,0.0,3,6
502,M10,6,18,0.0,3,12
503,M10,6,18,0.0,3,infinity
504,M10,6,18,0.0,4,6
505,M10,6,18,0.0,4,12
506,M10,6,18,0.0,4,infinity
507,M10,6,18,0.0,5,6
508,M10,6,18,0.0,5,12
509,M10,6,18,0.0,5,infinity
510,M10,6,18,0.01,0,6
511,M10,6,18,0.01,0,12
512,M10,6,18,0.01,0,infinity
513,M10,6,18,0.01,2,6
514,M10,6,18,0.01,2,12
515,M10,6,18,0.01,2,infinity
516,M10,6,18,0.01,3,6
517,M10,6,18,0.01,3,12
518,M10,6,18,0.01,3,infinity
519,M10,6,18,0.01,4,6
520,M10,6,18,0.01,4,12
521,M10,6,18,0.01,4,infinity
522,M10,6,18,0.01,5,6
523,M10,6,18,0.01,5,12
524,M10,6,18,0.01,5,infinity
525,M10,6,18,0.05,0,6
526,M10,6,18,0.05,0,12
527,M10,6,18,0.05,0,infinity
528,M10,6,18,0.05,2,6
529,M10,6,18,0.05,2,12
530,M10,6,18,0.05,2,infinity
531,M10,6,18,0.05,3,6
532,M10,6,18,0.05,3,12
533,M10,6,18,0.05,3,infinity
534,M10,6,18,0.05,4,6
535,M10,6,18,0.05,4,12
536,M10,6,18,0.05,4,infinity
537,M10,6,18,0.05,5,6
538,M10,6,18,0.05,5,12
539,M10,6,18,0.05,5,infinity
540,M10,6,24,0.0,0,6
541,M10,6,24,0.0,0,12
542,M10,6,24,0.0,0,infinity
543,M10,6,24,0.0,2,6
544,M10,6,24,0.0,2,12
545,M10,6,24,0.0,2,infinity
546,M10,6,24,0.0,3,6
547,M10,6,24,0.0,3,12
548,M10,6,24,0.0,3,infinity
549,M10,6,24,0.0,4,6
550,M10,6,24,0.0,4,12
551,M10,6,24,0.0,4,infinity
552,M10,6,24,0.0,5,6
553,M10,6,24,0.0,5,12
554,M10,6,24,0.0,5,infinity
555,M10,6,24,0.01,0,6
556,M10,6,24,0.01,0,12
557,M10,6,24,0.01,0,infinity
558,M10,6,24,0.01,2,6
559,M10,6,24,0.01,2,12
560,M10,6,24,0.01,2,infinity
561,M10,6,24,0.01,3,6
562,M10,6,24,0.01,3,12
563,M10,6,24,0.01,3,infinity
564,M10,6,24,0.01,4,6
565,M10,6,24,0.01,4,12
566,M10,6,24,0.01,4,infinity
567,M10,6,24,0.01,5,6
568,M10,6,24,0.01,5,12
569,M10,6,24,0.01,5,infinity
570,M10,6,24,0.05,0,6
571,M10,6,24,0.05,0,12
572,M10,6,24,0.05,0,infinity
573,M10,6,24,0.05,2,6
574,M10,6,24,0.05,2,12
575,M10,6,24,0.05,2,infinity
576,M10,6,24,0.05,3,6
577,M10,6,24,0.05,3,12
578,M10,6,24,0.05,3,infinity
579,M10,6,24,0.05,4,6
580,M10,6,24,0.05,4,12
581,M10,6,24,0.05,4,infinity
582,M10,6,24,0.05,5,6
583,M10,6,24,0.05,5,12
584,M10,6,24,0.05,5,infinity
585,M10,6,30,0.0,0,6
586,M10,6,30,0.0,0,12
587,M10,6,30,0.0,0,infinity
588,M10,6,30,0.0,2,6
589,M10,6,30,0.0,2,12
590,M10,6,30,0.0,2,infinity
591,M10,6,30,0.0,3,6
592,M10,6,30,0.0,3,12
593,M10,6,30,0.0,3,infinity
594,M10,6,30,0.0,4,6
595,M10,6,30,0.0,4,12
596,M10,6,30,0.0,4,infinity
597,M10,6,30,0.0,5,6
598,M10,6,30,0.0,5,12
599,M10,6,30,0.0,5,infinity
600,M10,6,30,0.01,0,6
601,M10,6,30,0.01,0,12
602,M10,6,30,0.01,0,infinity
603,M10,6,30,0.01,2,6
604,M10,6,30,0.01,2,12
605,M10,6,30,0.01,2,infinity
606,M10,6,30,0.01,3,6
607,M10,6,30,0.01,3,12
608,M10,6,30,0.01,3,infinity
609,M10,6,30,0.01,4,6
610,M10,6,30,0.01,4,12
611,M10,6,30,0.01,4,infinity
612,M10,6,30,0.01,5,6
613,M10,6,30,0.01,5,12
614,M10,6,30,0.01,5,infinity
615,M10,6,30,0.05,0,6
616,M10,6,30,0.05,0,12
617,M10,6,30,0.05,0,infinity
618,M10,6,30,0.05,2,6
619,M10,6,30,0.05,2,12
620,M10,6,30,0.05,2,infinity
621,M10,6,30,0.05,3,6
622,M10,6,30,0.05,3,12
623,M10,6,30,0.05,3,infinity
624,M10,6,30,0.05,4,6
625,M10,6,30,0.05,4,12
626,M10,6,30,0.05,4,infinity
627,M10,6,30,0.05,5,6
628,M10,6,30,0.05,5,12
629,M10,6,30,0.05,5,infinity
630,M10,6,48,0.0,0,6
631,M10,6,48,0.0,0,12
632,M10,6,48,0.0,0,infinity
633,M10,6,48,0.0,2,6
634,M10,6,48,0.0,2,12
635,M10,6,48,0.0,2,infinity
636,M10,6,48,0.0,3,6
637,M10,6,48,0.0,3,12
638,M10,6,48,0.0,3,infinity
639,M10,6,48,0.0,4,6
640,M10,6,48,0.0,4,12
641,M10,6,48,0.0,4,infinity
642,M10,6,48,0.0,5,6
643,M10,6,48,0.0,5,12
644,M10,6,48,0.0,5,infinity
645,M10,6,48,0.01,0,6
646,M10,6,48,0.01,0,12
647,M10,6,48,0.01,0,infinity
648,M10,6,48,0.01,2,6
649,M10,6,48,0.01,2,12
650,M10,6,48,0.01,2,infinity
651,M10,6,48,0.01,3,6
652,M10,6,48,0.01,3,12
653,M10,6,48,0.01,3,infinity
654,M10,6,48,0.01,4,6
655,M10,6,48,0.01,4,12
656,M10,6,48,0.01,4,infinity
657,M10,6,48,0.01,5,6
658,M10,6,48,0.01,5,12
659,M10,6,48,0.01,5,infinity
660,M10,6,48,0.05,0,6
661,M10,6,48,0.05,0,12
662,M10,6,48,0.05,0,infinity
663,M10,6,48,0.05,2,6
664,M10,6,48,0.05,2,12
665,M10,6,48,0.05,2,infinity
666,M10,6,48,0.05,3,6
667,M10,6,48,0.05,3,12
668,M10,6,48,0.05,3,infinity
669,M10,6,48,0.05,4,6
670,M10,6,48,0.05,4,12
671,M10,6,48,0.05,4,infinity
672,M10,6,48,0.05,5,6
673,M10,6,48,0.05,5,12
674,M10,6,48,0.05,5,infinity
675,M10,6,96,0.0,0,6
676,M10,6,96,0.0,0,12
677,M10,6,96,0.0,0,infinity
678,M10,6,96,0.0,2,6
679,M10,6,96,0.0,2,12
680,M10,6,96,0.0,2,infinity
681,M10,6,96,0.0,3,6
682,M10,6,96,0.0,3,12
683,M10,6,96,0.0,3,infinity
684,M10,6,96,0.0,4,6
685,M10,6,96,0.0,4,12
686,M10,6,96,0.0,4,infinity
687,M10,6,96,0.0,5,6
688,M10,6,96,0.0,5,12
689,M10,6,96,0.0,5,infinity
690,M10,6,96,0.01,0,6
691,M10,6,96,0.01,0,12
692,M10,6,96,0.01,0,infinity
693,M10,6,96,0.01,2,6
694,M10,6,96,0.01,2,12
695,M10,6,96,0.01,2,infinity
696,M10,6,96,0.01,3,6
697,M10,6,96,0.01,3,12
698,M10,6,96,0.01,3,infinity
699,M10,6,96,0.01,4,6
700,M10,6,96,0.01,4,12
701,M10,6,96,0.01,4,infinity
702,M10,6,96,0.01,5,6
703,M10,6,96,0.01,5,12
704,M10,6,96,0.01,5,infinity
705,M10,6,96,0.05,0,6
706,M10,6,96,0.05,0,12
707,M10,6,96,0.05,0,infinity
708,M10,6,96,0.05,2,6
709,M10,6,96,0.05,2,12
710,M10,6,96,0.05,2,infinity
711,M10,6,96,0.05,3,6
712,M10,6,96,0.05,3,12
713,M10,6,96,0.05,3,infinity
714,M10,6,96,0.05,4,6
715,M10,6,96,0.05,4,12
716,M10,6,96,0.05,4,infinity
717,M10,6,96,0.05,5,6
718,M10,6,96,0.05,5,12
719,M10,6,96,0.05,5,infinity
720,M10,6,144,0.0,0,6
721,M10,6,144,0.0,0,12
722,M10,6,144,0.0,0,infinity
723,M10,6,144,0.0,2,6
724,M10,6,144,0.0,2,12
725,M10,6,144,0.0,2,infinity
726,M10,6,144,0.0,3,6
727,M10,6,144,0.0,3,12
728,M10,6,144,0.0,3,infinity
729,M10,6,144,0.0,4,6
730,M10,6,144,0.0,4,12
731,M10,6,144,0.0,4,infinity
732,M10,6,144,0.0,5,6
733,M10,6,144,0.0,5,12
734,M10,6,144,0.0,5,infinity
735,M10,6,144,0.01,0,6
736,M10,6,144,0.01,0,12
737,M10,6,144,0.01,0,infinity
738,M10,6,144,0.01,2,6
739,M10,6,144,0.01,2,12
740,M10,6,144,0.01,2,infinity
741,M10,6,144,0.01,3,6
742,M10,6,144,0.01,3,12
743,M10,6,144,0.01,3,infinity
744,M10,6,144,0.01,4,6
745,M10,6,144,0.01,4,12
746,M10,6,144,0.01,4,infinity
747,M10,6,144,0.01,5,6
748,M10,6,144,0.01,5,12
749,M10,6,144,0.01,5,infinity
750,M10,6,144,0.05,0,6
751,M10,6,144,0.05,0,12
752,M10,6,144,0.05,0,infinity
753,M10,6,144,0.05,2,6
754,M10,6,144,0.05,2,12
755,M10,6,144,0.05,2,infinity
756,M10,6,144,0.05,3,6
757,M10,6,144,0.05,3,12
758,M10,6,144,0.05,3,infinity
759,M10,6,144,0.05,4,6
760,M10,6,144,0.05,4,12
761,M10,6,144,0.05,4,infinity
762,M10,6,144,0.05,5,6
763,M10,6,144,0.05,5,12
764,M10,6,144,0.05,5,infinity
765,M10,6,168,0.0,0,6
766,M10,6,168,0.0,0,12
767,M10,6,168,0.0,0,infinity
768,M10,6,168,0.0,2,6
769,M10,6,168,0.0,2,12
770,M10,6,168,0.0,2,infinity
771,M10,6,168,0.0,3,6
772,M10,6,168,0.0,3,12
773,M10,6,168,0.0,3,infinity
774,M10,6,168,0.0,4,6
775,M10,6,168,0.0,4,12
776,M10,6,168,0.0,4,infinity
777,M10,6,168,0.0,5,6
778,M10,6,168,0.0,5,12
779,M10,6,168,0.0,5,infinity
780,M10,6,168,0.01,0,6
781,M10,6,168,0.01,0,12
782,M10,6,168,0.01,0,infinity
783,M10,6,168,0.01,2,6
784,M10,6,168,0.01,2,12
785,M10,6,168,0.01,2,infinity
786,M10,6,168,0.01,3,6
787,M10,6,168,0.01,3,12
788,M10,6,168,0.01,3,infinity
