kind,fast,slow,signal,sl,tp,is_gross_log_return,is_gross_return_pct,is_gross_profit_factor,is_gross_win_rate_pct,is_gross_max_drawdown_pct,is_gross_trades,is_gross_sharpe,is_gross_expected_trade_pct,is_gross_average_win_pct,is_gross_average_loss_pct,is_gross_max_win_streak,is_gross_max_loss_streak,is_gross_long_win_rate_pct,is_gross_short_win_rate_pct,is_net_log_return,is_net_return_pct,is_net_profit_factor,is_net_win_rate_pct,is_net_max_drawdown_pct,is_net_trades,is_net_sharpe,is_net_expected_trade_pct,is_net_average_win_pct,is_net_average_loss_pct,is_net_max_win_streak,is_net_max_loss_streak,is_net_long_win_rate_pct,is_net_short_win_rate_pct,oos_gross_log_return,oos_gross_return_pct,oos_gross_profit_factor,oos_gross_win_rate_pct,oos_gross_max_drawdown_pct,oos_gross_trades,oos_gross_sharpe,oos_gross_expected_trade_pct,oos_gross_average_win_pct,oos_gross_average_loss_pct,oos_gross_max_win_streak,oos_gross_max_loss_streak,oos_gross_long_win_rate_pct,oos_gross_short_win_rate_pct,oos_net_log_return,oos_net_return_pct,oos_net_profit_factor,oos_net_win_rate_pct,oos_net_max_drawdown_pct,oos_net_trades,oos_net_sharpe,oos_net_expected_trade_pct,oos_net_average_win_pct,oos_net_average_loss_pct,oos_net_max_win_streak,oos_net_max_loss_streak,oos_net_long_win_rate_pct,oos_net_short_win_rate_pct
baseline,15,21,16,,,0.07416336355936393,7.698273085821847,1.266593864216708,28.571428571428573,11.799951582196238,35,0.33709241978884186,0.2611297126532789,4.342217420272694,-1.371305370394487,3,6,41.1764705882353,16.666666666666668,0.07030970850578586,7.284039760293481,1.253313535292903,28.571428571428573,11.857484943421673,35,0.32288036536541787,0.25009026529923606,4.330780428441537,-1.3821857999576843,3,6,41.1764705882353,16.666666666666668,0.10942706528183489,11.563869917367228,1.5350057768067333,43.333333333333336,9.425344777961023,30,0.5584120676099306,0.4018214235514195,2.6604955273463444,-1.3253999499388174,3,4,53.333333333333336,33.333333333333336,0.10640464550419036,11.227186126633473,1.5177457646920869,43.333333333333336,9.507526350159964,30,0.5444929425706303,0.391693122559584,2.649758678867218,-1.3350628910874296,3,4,53.333333333333336,33.333333333333336
baseline,15,21,17,,,0.08100070524795024,8.437166131738213,1.289208510927928,29.72972972972973,11.799951582196238,37,0.3630618874299662,0.2653440820429263,3.9786023926509677,-1.3056498185989374,3,6,38.888888888888886,21.05263157894737,0.07692741175288599,7.996368087679655,1.2748856102202488,29.72972972972973,11.857484943421673,37,0.34800028797467214,0.25430577111692126,3.96720340690965,-1.3165355363338485,3,6,38.888888888888886,21.05263157894737,0.1322399186517293,14.138212528094222,1.738953063813417,42.857142857142854,9.425344777961026,28,0.6924699484625657,0.5087226677072573,2.7933726758093873,-1.2047648383693406,3,4,50.0,35.714285714285715,0.12944034066313898,13.81912057046453,1.7186092157525292,42.857142857142854,9.507526350159965,28,0.6789855575683197,0.49865840416935026,2.7826865056010095,-1.214362671904394,3,4,50.0,35.714285714285715
baseline,15,21,18,,,0.13326423332248621,14.255185872209383,1.498988980181447,27.272727272727273,10.134783935914285,33,0.5466573622152866,0.4586900587366919,5.052406016572195,-1.2639534254516216,3,6,37.5,17.647058823529413,0.12962339677494322,13.8399577632547,1.4827646804392793,27.272727272727273,10.193465858281671,33,0.5335113539527202,0.4476064646888817,5.040858702769763,-1.2748631245914492,3,6,37.5,17.647058823529413,0.11598147326792652,12.297506688233934,1.631418434786713,42.857142857142854,11.724550129964838,28,0.597809124919633,0.4525562818097159,2.728333722790373,-1.254276798925777,3,4,50.0,35.714285714285715,0.11318191892790407,11.98356337174261,1.6126985124932274,42.857142857142854,11.824170877364022,28,0.5847002646529186,0.44249772044521524,2.717654119140538,-1.2638695785762764,3,4,50.0,35.714285714285715
baseline,15,21,19,,,0.17887385234430325,19.586987847071917,1.7182149350817217,32.25806451612903,7.643352638214934,31,0.7154133090262548,0.635483723782432,4.712910401603178,-1.3061480275607809,3,4,40.0,25.0,0.17545277328440836,19.178570319773293,1.699811994944902,32.25806451612903,7.7037570613527935,31,0.7029927047380184,0.6243778620815782,4.701416179964779,-1.3170689559580415,3,4,40.0,25.0,0.11239789104109128,11.895799544334269,1.7023000774119892,46.15384615384615,9.544659852784566,26,0.6529259138852789,0.4639849142397092,2.436740967480537,-1.2269488456809998,2,3,61.53846153846154,30.76923076923077,0.10981602314103563,11.60727200161814,1.6819292663791872,46.15384615384615,9.626744716645165,26,0.639096900802124,0.4539926800593146,2.426103646542087,-1.2363881483544896,2,3,61.53846153846154,30.76923076923077
baseline,15,21,20,,,0.15760973483472548,17.07092185158725,1.6182105427625484,32.25806451612903,7.643352638214935,31,0.6324140533565983,0.5676922966637652,4.6065237447165845,-1.355560773837577,3,4,40.0,25.0,0.15418957183370666,16.67120415565443,1.601286581708214,32.25806451612903,7.703757061352799,31,0.6201270815336545,0.5565966275052444,4.595045504591301,-1.3664742663452583,3,4,40.0,25.0,0.04806701199218785,4.924096469598806,1.2537103760742307,34.61538461538461,11.967799165864994,26,0.29586682474201964,0.21815252488317202,3.1142256223042883,-1.315062644339772,2,6,46.15384615384615,23.076923076923077,0.04548769512451092,4.653812701337281,1.2403629763632738,34.61538461538461,12.047586117543474,26,0.2824521605927643,0.20819699371456094,3.103748438310071,-1.3247420063654147,2,6,46.15384615384615,23.076923076923077
baseline,15,21,21,,,0.1446694200071318,15.565746987597926,1.605152816202222,34.48275862068966,7.25850448118206,29,0.5940975281389042,0.5597165881299321,4.305439613939992,-1.4117165833490466,2,3,50.0,20.0,0.14146546088438405,15.196071586933414,1.5885863672267144,34.48275862068966,7.299107768324656,29,0.5823740303720272,0.5486063525162186,4.293974514554266,-1.422640048556438,2,3,50.0,20.0,0.06955757825251668,7.203378525976634,1.3779543521900421,37.5,10.024742638987075,24,0.40576093946902314,0.326514217335259,3.174434049840438,-1.3822376821678484,2,4,50.0,25.0,0.06720101320362813,6.951044228888197,1.3640319998374262,37.5,10.08630059446222,24,0.3936259611104252,0.3166474469815501,3.163950792183471,-1.3917345601396025,2,4,50.0,25.0
baseline,15,21,22,,,0.15578603636455016,16.857614353902623,1.6553940618080416,37.93103448275862,7.258504481182057,29,0.631423210111316,0.5991184689863494,3.989485687318834,-1.4727726088835023,2,3,50.0,26.666666666666668,0.15256700896618736,16.48205128978964,1.6384341172080141,37.93103448275862,7.299107768324668,29,0.6197322970352149,0.5879505360399276,3.9779470588343213,-1.4837140056677578,2,3,50.0,26.666666666666668,0.07882747762619811,8.201763371615455,1.4355184985305862,46.15384615384615,7.977039724028109,26,0.47406460094983166,0.3339246681581139,2.384749640700943,-1.4239253083071683,2,3,61.53846153846154,30.76923076923077,0.07624715432962087,7.922927738605695,1.4197483105482913,46.15384615384615,8.029754584852821,26,0.4600595753487198,0.3239539173214116,2.3740930768541215,-1.433308219420911,2,3,61.53846153846154,30.76923076923077
baseline,15,21,23,,,0.16656066442293,18.123519264814984,1.7029395003451102,41.37931034482759,7.258504481182057,29,0.667775017438554,0.6371711320875957,3.730388932782388,-1.546276727226375,3,3,50.0,33.333333333333336,0.1633412956082025,17.743847570135166,1.6857551119346783,41.37931034482759,7.299107768324668,29,0.6561483403102361,0.6259978818934985,3.7189046815933215,-1.557230447306377,3,3,50.0,33.333333333333336,0.06358367162789015,6.564864662832141,1.3556405739256376,41.666666666666664,8.868340152620464,24,0.3898149763014215,0.2981122606453668,2.7272461405939996,-1.4369833678893709,2,3,58.333333333333336,25.0,0.061227423746973327,6.314067013039283,1.341646267513504,41.666666666666664,8.930689278633547,24,0.3770410008654689,0.28825133386350593,2.7167139556247064,-1.4463648245373517,2,3,58.333333333333336,25.0
baseline,15,21,24,,,0.23566713152940302,26.575291079991782,2.110062428936079,44.827586206896555,5.000900788560001,29,0.8733962409896124,0.8843714779042448,3.750051862853755,-1.4439938348672325,3,3,57.142857142857146,33.333333333333336,0.23245943041832415,26.1699258709536,2.0878064520675363,44.827586206896555,5.042801919370371,29,0.8624751984231057,0.8732126137861087,3.7386365818397134,-1.454944360257445,3,3,57.142857142857146,33.333333333333336,0.07631323665985033,7.930059772803974,1.4328424157918054,41.666666666666664,8.128596003082416,24,0.4587463137156138,0.351424376509219,2.79197639178391,-1.3918270629727034,2,3,58.333333333333336,25.0,0.07395698877893347,7.6760491716676,1.417873554331705,41.666666666666664,8.191451236427156,24,0.4460053637154255,0.34155892038228314,2.781438674561563,-1.4012123326029167,2,3,58.333333333333336,25.0
baseline,15,21,25,,,0.2345287354767259,26.43128025449002,2.0686088095093274,44.827586206896555,5.000900788559994,29,0.8664316894185485,0.881020094223577,3.804521819496921,-1.4943250575610147,3,3,57.142857142857146,33.333333333333336,0.23132137868838581,26.026419642794217,2.047405978222233,44.827586206896555,5.042801919370374,29,0.8555572050623599,0.8698628888490606,3.793100652094649,-1.5052677937879804,3,3,57.142857142857146,33.333333333333336,0.06740990831260507,6.9733881126103485,1.336486875098552,38.46153846153846,8.128596003082425,26,0.36857133098255485,0.2997305317387742,3.0952868405533662,-1.447492161270346,1,3,53.84615384615385,23.076923076923077,0.0648295366535415,6.697712838943317,1.3231597814538296,38.46153846153846,8.191451236427179,26,0.35640755876834046,0.28976437330776633,3.0847027564779066,-1.4570721161735711,1,3,53.84615384615385,23.076923076923077
