stage,score,threshold_bps,session_mask,weekdays,trend_days,stop_atr,target_r,management,train_return_pct,train_cagr_pct,train_profit_factor,train_win_rate_pct,train_max_drawdown_pct,train_sharpe,train_recovery,train_trades,train_expectancy_r,train_average_risk_pct,train_max_win_streak,train_max_loss_streak,train_stop_pct,train_target_pct,train_time_exit_pct,validation_return_pct,validation_cagr_pct,validation_profit_factor,validation_win_rate_pct,validation_max_drawdown_pct,validation_sharpe,validation_recovery,validation_trades,validation_expectancy_r,validation_average_risk_pct,validation_max_win_streak,validation_max_loss_streak,validation_stop_pct,validation_target_pct,validation_time_exit_pct
signal,-9666.0,0.0,2,tue-thu,0,3.0,0.0,none,-11.166944539038415,-3.92904739255594,0.8866097688735093,42.21311475409836,28.846818392008167,-0.2926027844079876,-0.3871118258966177,244,-0.04255774811740519,1.0,7,11,40.57377049180328,0.0,59.42622950819673,18.930801201536585,19.001630070912046,1.586398101819993,55.55555555555556,9.043183853509507,1.5762567043982074,2.0933778974525503,90,0.1975148782445997,0.9999999999999999,9,4,24.444444444444443,0.0,75.55555555555556
signal,-9791.0,0.0,2,tue-thu,20,3.0,0.0,none,1.4683144655952107,0.504484403954808,1.0220034569252467,45.27027027027027,12.330883991030827,0.08482733237582833,0.11907617220819088,148,0.016229240531499732,1.0,6,6,39.86486486486486,0.0,60.13513513513513,13.208436658419354,13.256677345510393,1.6452149744302567,54.09836065573771,6.213298966238378,1.3506673862416887,2.125833108979775,61,0.20837482605045812,1.0000000000000002,6,6,22.950819672131146,0.0,77.04918032786885
signal,-9784.0,0.0,2,tue-thu,50,3.0,0.0,none,4.63391586189561,1.6417695609541871,1.071250764445139,47.26027397260274,17.248931856553106,0.1988224730244228,0.2686494387265564,146,0.03734486917601802,1.0,7,5,39.04109589041096,0.0,60.95890410958904,11.06763136270008,11.107675226819303,1.436437888729553,52.85714285714286,7.795225092873603,1.0794491012381209,1.4197962510175763,70,0.1549063944503087,1.0,6,6,25.71428571428571,0.0,74.28571428571429
signal,-9758.0,0.0,2,tue-thu,100,3.0,0.0,none,14.913259369855659,5.562014691553174,1.2178986114714931,48.68421052631579,18.6845412968216,0.5361831511393789,0.7981603151473958,152,0.09823282212800977,1.0,7,5,38.15789473684211,0.0,61.8421052631579,18.930801201536585,19.001630070912046,1.586398101819993,55.55555555555556,9.043183853509507,1.5762567043982074,2.0933778974525503,90,0.1975148782445997,0.9999999999999999,9,4,24.444444444444443,0.0,75.55555555555556
signal,-9769.0,0.0,2,tue-thu,200,3.0,0.0,none,-1.6730994302149194,-0.9843201157775927,0.9731557482207255,41.843971631205676,21.242472445772787,-0.0345730685434572,-0.07876199131179117,141,-0.005310407448790994,1.0,6,11,42.5531914893617,0.0,57.446808510638306,18.930801201536585,19.001630070912046,1.586398101819993,55.55555555555556,9.043183853509507,1.5762567043982074,2.0933778974525503,90,0.1975148782445997,0.9999999999999999,9,4,24.444444444444443,0.0,75.55555555555556
signal,-50.158699503051295,0.0,3,all,0,3.0,0.0,none,-1.6433094296881667,-0.55218000525602,0.9930379067224095,45.28832630098453,29.89640181507218,0.03127514741249061,-0.054966796333988835,711,0.0022132243246527645,0.9998242703957242,8,10,28.973277074542896,0.0,71.0267229254571,33.471183662836836,33.6035816635494,1.2935858526464559,52.96296296296297,12.845620293349658,1.575082412246387,2.605649466391693,270,0.11115226523157579,1.0,9,5,25.925925925925924,0.0,74.07407407407408
signal,-3.485823964675351,0.0,3,all,20,3.0,0.0,none,6.134309972312968,2.066713509085849,1.038400643628049,45.07042253521127,19.486450762754405,0.19053824400454672,0.3147987310258589,426,0.01855251274264322,0.9997067048153989,6,7,27.230046948356808,0.0,72.76995305164318,26.921496033184876,27.025446211696426,1.3476784797209493,52.23880597014925,10.762063120672527,1.481401071023245,2.5015181319158195,201,0.1228413887467065,0.9999999999999999,9,6,24.378109452736318,0.0,75.62189054726367
signal,-4.671800302449807,0.0,3,all,50,3.0,0.0,none,7.551074236237154,2.6383786342826676,1.0512590835875169,47.11538461538461,25.324643386557135,0.23823672135096605,0.29817099972453814,416,0.021710579756805324,0.9996996544503846,8,9,26.682692307692307,0.0,73.3173076923077,26.022051666485634,26.12218492558458,1.2842552917643244,52.21238938053098,11.453045225131353,1.3755543471924883,2.27206399302306,226,0.10663718750946438,0.9999999999999999,9,5,26.10619469026549,0.0,73.89380530973452
signal,0.04833495815884614,0.0,3,all,100,3.0,0.0,none,20.261007665263485,7.3912471621139675,1.1232276914717971,47.5,24.98148545016384,0.5198319960405369,0.811040948933267,440,0.04655073276295359,0.9999999999999999,8,7,27.500000000000004,0.0,72.5,33.471183662836836,33.6035816635494,1.2935858526464559,52.96296296296297,12.845620293349658,1.575082412246387,2.605649466391693,270,0.11115226523157579,1.0,9,5,25.925925925925924,0.0,74.07407407407408
signal,-50.41848778465,0.0,3,all,200,3.0,0.0,none,-1.8636409904682072,-1.0547646733984783,0.9863450949326061,44.76885644768856,26.819843823590993,0.0011227728470711287,-0.06948739160177102,411,-0.0002502034712316329,0.9996960006115811,8,7,29.44038929440389,0.0,70.55961070559611,33.471183662836836,33.6035816635494,1.2935858526464559,52.96296296296297,12.845620293349658,1.575082412246387,2.605649466391693,270,0.11115226523157579,1.0,9,5,25.925925925925924,0.0,74.07407407407408
signal,-3.902367375906495,0.0,3,no-monday,0,3.0,0.0,none,7.85555097952817,2.564050503259274,1.0363913309041788,45.852895148669795,21.930380233754498,0.20394379925437123,0.3582040482561799,639,0.016540635709485937,0.9998044698769326,8,15,29.107981220657276,0.0,70.89201877934272,31.00029062250036,31.121823349972132,1.3044516915849618,54.09836065573771,13.284036585537784,1.5531957639512033,2.3336498979722857,244,0.11480013830800655,1.0,10,6,25.40983606557377,0.0,74.59016393442623
signal,-0.029933828971516085,0.0,3,no-monday,20,3.0,0.0,none,13.648740208774669,4.494196956518826,1.0944102565550498,46.23376623376623,17.55399512799721,0.36195421577836573,0.7775289960634674,385,0.037932408869054315,0.9996754707827531,6,10,27.01298701298701,0.0,72.98701298701299,21.830498432051048,21.91313879487158,1.30929478614012,52.48618784530387,12.616566674441964,1.3024636344020992,1.7303042099618293,181,0.11321561607346904,0.9999999999999999,10,5,24.30939226519337,0.0,75.69060773480662
signal,-0.6700534714509283,0.0,3,no-monday,50,3.0,0.0,none,15.230934265894703,5.202381357630936,1.1113553522827304,48.01061007957559,21.904241770283917,0.4332216110549274,0.6953417710426086,377,0.04190232913132918,0.9996685842211139,8,10,26.25994694960212,0.0,73.74005305039788,22.950495465409638,23.037761997677862,1.2751125560498222,53.170731707317074,13.124923597901994,1.2971268770130184,1.7486193572264492,205,0.1049893381769313,0.9999999999999999,10,5,25.853658536585368,0.0,74.14634146341463
signal,5.452388302725894,0.0,3,no-monday,100,3.0,0.0,none,30.285558295351713,10.766472036603524,1.1982825948096867,48.62155388471178,20.01687845442135,0.7452200551711616,1.5130010587970677,399,0.07105244759154593,0.9999999999999999,8,10,27.06766917293233,0.0,72.93233082706767,31.00029062250036,31.121823349972132,1.3044516915849618,54.09836065573771,13.284036585537784,1.5531957639512033,2.3336498979722857,244,0.11480013830800655,1.0,10,6,25.40983606557377,0.0,74.59016393442623
signal,0.01608029487093443,0.0,3,no-monday,200,3.0,0.0,none,10.429780761675222,5.751335682408265,1.0811352334829316,46.36118598382749,18.56905267534109,0.38486159965432987,0.5616754362232773,371,0.031149125292048885,0.9996632243971966,8,10,28.57142857142857,0.0,71.42857142857143,31.00029062250036,31.121823349972132,1.3044516915849618,54.09836065573771,13.284036585537784,1.5531957639512033,2.3336498979722857,244,0.11480013830800655,1.0,10,6,25.40983606557377,0.0,74.59016393442623
signal,-72.87569691247484,0.0,3,no-friday,0,3.0,0.0,none,-23.38479870663821,-8.516811248649624,0.865264328567714,43.875685557586834,37.4563303040382,-0.5357934516052121,-0.6243216705112481,547,-0.04455030985570928,0.999771583640512,7,8,29.798903107861058,0.0,70.20109689213893,25.460329292543893,25.558090023555245,1.3053459836889822,51.9607843137255,14.986863301284947,1.3940419472535543,1.6988430988331609,204,0.11556891165479838,0.9999999999999999,9,5,26.47058823529412,0.0,73.52941176470588
signal,-50.458096543860854,0.0,3,no-friday,20,3.0,0.0,none,-4.855094108731528,-1.6955434209956488,0.9604766128531097,44.47852760736196,18.0582688652802,-0.09789443519944184,-0.26885711719943395,326,-0.010958041381606767,0.9996167369673616,6,7,28.22085889570552,0.0,71.77914110429448,19.328339746098045,19.400773643194036,1.3377997865059836,50.0,12.270478200781831,1.241996445018193,1.5751904228855982,148,0.12396762530660894,1.0,9,8,25.675675675675674,0.0,74.32432432432432
signal,-49.0777374821978,0.0,3,no-friday,50,3.0,0.0,none,-2.4061756894731556,-0.8675195579982642,0.9792250213305855,46.25,21.79141776325292,-0.03210033877614052,-0.11041850124734487,320,-0.003394894653191617,0.9996095507855,7,7,27.8125,0.0,72.1875,14.745504114622632,14.799716231747052,1.2215341323446003,49.404761904761905,14.496748604249031,0.9459572253211643,1.0171594001637505,168,0.08630750889027806,0.9999999999999999,9,7,27.380952380952383,0.0,72.61904761904762
signal,-1.8187439661976317,0.0,3,no-friday,100,3.0,0.0,none,11.290873710409954,4.221419877036303,1.0872689518178873,47.0414201183432,21.770677977909237,0.35034244168060485,0.518627565106922,338,0.036414566109668645,0.9999999999999999,7,5,28.402366863905325,0.0,71.59763313609467,25.460329292543893,25.558090023555245,1.3053459836889822,51.9607843137255,14.986863301284947,1.3940419472535543,1.6988430988331609,204,0.11556891165479838,0.9999999999999999,9,5,26.47058823529412,0.0,73.52941176470588
