policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_balanced,ORB,USDCHF,M15,2026-02,2026-02-09 00:15:00,2026-02-09 01:00:00,BUY,0.77591,0.775035,3.0,0.775035,loss,-1.1486,100,0.0007,0.1486,13.0,0.8854,1.2039,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,GBPUSD,M15,2026-02,2026-02-10 00:15:00,2026-02-10 01:30:00,SELL,1.36774,1.36839,5.0,1.36839,loss,-1.1538,100,0.00065,0.1538,10.0,0.0417,1.3208,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,AUDUSD,M15,2026-02,2026-02-10 00:30:00,2026-02-10 01:45:00,SELL,0.70804,0.708653,3.0,0.708653,loss,-1.1469,100,0.00049,0.1469,9.0,0.1146,1.6814,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,NZDUSD,M15,2026-02,2026-02-10 00:30:00,2026-02-10 09:00:00,SELL,0.6047,0.605463,3.0,0.6047,trail_stop,0.2639,100,0.00061,0.2361,18.0,0.1562,1.9234,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,USDCAD,M15,2026-02,2026-02-10 00:30:00,2026-02-10 01:30:00,BUY,1.35649,1.355852,3.0,1.355852,loss,-1.2353,100,0.00051,0.2353,15.0,0.0208,1.4571,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,USDCHF,M15,2026-02,2026-02-10 00:30:00,2026-02-10 01:30:00,BUY,0.76741,0.76686,3.0,0.76686,loss,-1.2364,100,0.00044,0.2364,13.0,0.0521,1.5795,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,AUDUSD,M15,2026-02,2026-02-11 00:15:00,2026-02-11 01:30:00,BUY,0.70757,0.70726,4.0,0.70881,win,2.2097,100,0.00031,0.2903,9.0,0.5,1.1157,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,GBPUSD,M15,2026-02,2026-02-11 00:15:00,2026-02-11 01:00:00,BUY,1.36347,1.3631,4.0,1.36384,trail_stop,0.7297,100,0.000426,0.2703,10.0,0.5,0.8677,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,NZDUSD,M15,2026-02,2026-02-11 00:15:00,2026-02-11 01:30:00,BUY,0.60415,0.60393,4.0,0.60459,trail_stop,0.6818,100,0.000246,0.8182,18.0,0.5,0.8953,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,USDCAD,M15,2026-02,2026-02-11 00:15:00,2026-02-11 01:30:00,SELL,1.35512,1.355393,5.0,1.354299,trail_stop,1.4516,100,0.000391,0.5484,15.0,0.0833,0.6143,"max(structure,0.70ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,USDCHF,M15,2026-02,2026-02-11 00:15:00,2026-02-11 01:30:00,SELL,0.76831,0.76872,5.0,0.7679,trail_stop,0.6829,100,0.00041,0.3171,13.0,0.2292,1.1146,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
