policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_score,ORB,NZDUSD,M15,2025-07,2025-07-30 23:15:00,2025-07-31 00:15:00,BUY,0.59045,0.590155,6.0,0.59045,trail_stop,-0.0763,100,0.000421,0.5763,17.0,0.3229,0.6644,"max(structure,0.70ATR)",score,ORB 15m breakout,105.68,5.28,-0.4,105.28
dynamic_score,ORB,USDCAD,M15,2025-07,2025-07-30 23:15:00,2025-07-31 00:30:00,SELL,1.38273,1.383131,6.0,1.383131,loss,-1.3741,100,0.000573,0.3741,15.0,0.5417,0.611,"max(structure,0.70ATR)",score,ORB 15m breakout,105.28,5.26,-7.23,98.04
dynamic_score,ORB,USDCHF,M15,2025-07,2025-07-30 23:15:00,2025-07-31 00:30:00,SELL,0.81381,0.814199,6.0,0.813421,trail_stop,0.6915,100,0.000556,0.3085,12.0,0.4271,0.5039,"max(structure,0.70ATR)",score,ORB 15m breakout,98.04,4.9,3.39,101.43
dynamic_score,ORB,AUDUSD,M15,2025-07,2025-07-30 23:30:00,2025-07-31 00:00:00,BUY,0.64455,0.64414,6.0,0.64455,trail_stop,0.2805,100,0.000411,0.2195,9.0,0.125,0.9983,"max(structure,0.80ATR)",score,ORB 15m breakout,101.43,5.07,1.42,102.86
dynamic_score,LTA,USDCAD,M15,2025-07,2025-07-31 00:45:00,2025-07-31 01:00:00,SELL,1.38297,1.38334,3.0,1.38334,loss,-1.4054,91,0.000381,0.4054,15.0,0.1667,,"max(structure,0.80ATR)",score,Entry Model 2 - Internal Swing Confirmation,102.86,5.14,-7.23,95.63
dynamic_score,LTA,USDCAD,M15,2025-07,2025-07-31 01:30:00,2025-07-31 04:30:00,SELL,1.38272,1.38365,3.0,1.38365,loss,-1.1613,91,0.000421,0.1613,15.0,0.3854,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,95.63,4.78,-5.55,90.08
dynamic_score,LTA,GBPJPY,M15,2025-07,2025-07-31 05:45:00,2025-07-31 06:30:00,SELL,197.346,197.61504,4.0,197.61504,loss,-1.0818,95,0.173571,0.0818,22.0,0.8854,,"max(structure,1.25ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,90.08,4.5,-4.87,85.2
dynamic_score,ORB,GBPUSD,M15,2025-07,2025-07-31 23:15:00,2025-08-01 00:30:00,SELL,1.32037,1.32115,6.0,1.32115,loss,-1.1282,100,0.00078,0.1282,10.0,0.2396,1.0037,"max(structure,0.80ATR)",score,ORB 15m breakout,85.2,4.26,-4.81,80.4
dynamic_score,ORB,NZDUSD,M15,2025-07,2025-07-31 23:15:00,2025-08-01 12:30:00,SELL,0.58873,0.58948,5.0,0.58648,trail_stop,1.7733,100,0.0006,0.2267,17.0,0.2396,1.5849,"max(structure,1.25ATR)",score,ORB 15m breakout,80.4,4.02,7.13,87.53
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-01 00:00:00,2025-08-01 01:00:00,SELL,0.6425,0.643463,4.0,0.643463,loss,-1.0935,95,0.00077,0.0935,9.0,0.2604,2.0263,"max(structure,1.25ATR)",score,ORB 15m breakout,87.53,4.38,-4.79,82.74
dynamic_score,ORB,USDCAD,M15,2025-08,2025-08-01 00:30:00,2025-08-01 08:45:00,SELL,1.38511,1.387497,4.0,1.387497,loss,-1.0628,95,0.00191,0.0628,15.0,0.7396,2.5564,"max(structure,1.25ATR)",score,ORB 15m breakout,82.74,4.14,-4.4,78.34
dynamic_score,LTA,GBPJPY,M15,2025-08,2025-08-01 01:15:00,2025-08-01 09:15:00,SELL,199.006,199.31491,3.0,198.07927,win,1.9288,92,0.146071,0.0712,22.0,0.2396,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,78.34,3.92,7.56,85.9
dynamic_score,LTA,GBPJPY,M15,2025-08,2025-08-03 23:00:00,2025-08-03 23:15:00,SELL,195.493,195.64121,3.0,195.64121,loss,-1.1484,92,0.161429,0.1484,22.0,0.5104,,"max(structure,0.80ATR)",score,Entry Model 2 - Internal Swing Confirmation,85.9,4.29,-4.93,80.97
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-03 23:15:00,2025-08-03 23:45:00,SELL,0.6464,0.646923,5.0,0.646923,loss,-1.1721,95,0.000747,0.1721,9.0,0.5521,0.3346,"max(structure,0.70ATR)",score,ORB 15m breakout,80.97,4.05,-4.75,76.22
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-03 23:15:00,2025-08-04 00:00:00,BUY,0.59102,0.590503,5.0,0.59102,trail_stop,0.1712,95,0.000739,0.3288,17.0,0.5521,0.3656,"max(structure,0.70ATR)",score,ORB 15m breakout,76.22,3.81,0.65,76.87
dynamic_score,ORB,USDCAD,M15,2025-08,2025-08-03 23:15:00,2025-08-03 23:45:00,BUY,1.37821,1.377547,6.0,1.377547,loss,-1.2261,100,0.000948,0.2261,15.0,0.5521,0.6014,"max(structure,0.70ATR)",score,ORB 15m breakout,76.87,3.84,-4.71,72.16
dynamic_score,ORB,USDCHF,M15,2025-08,2025-08-03 23:15:00,2025-08-04 02:00:00,BUY,0.80434,0.803672,5.0,0.805676,trail_stop,1.3204,95,0.000954,0.1796,12.0,0.5625,0.4192,"max(structure,0.70ATR)",score,ORB 15m breakout,72.16,3.61,4.76,76.93
dynamic_score,LTA,USDCAD,M15,2025-08,2025-08-04 03:00:00,2025-08-05 03:15:00,SELL,1.37729,1.37951,3.0,1.37879,timeout,-0.7432,90,0.000615,0.0676,15.0,0.4792,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,76.93,3.85,-2.86,74.07
