basket,entry_time,exit_time,side,entry_a,entry_b,exit_a,exit_b,lots_a,lots_b,net,return_fraction,R,reason,swap,fees,entry_adaptive_RR,risk_usd,entry_fills,exit_fills
29,1757091600,1757282707,-1,3595.366,40.989,3591.708,40.92,0.05,0.09,-17.32,-0.001723774149757358,-0.1723774149757358,6,0.0,-4.5600000000000005,1.3547286959916185,100.4772,2,2
30,1757381400,1757384748,-1,3644.292,41.268,3653.883,41.406,0.05,0.09,9.579999999999998,0.0009550965066198754,0.09550965066198754,1,0.0,-4.5600000000000005,0.9534040622499904,100.304,2,2
31,1757387700,1757396382,-1,3648.553,41.247,3657.759,41.425,0.05,0.09,29.50999999999999,0.0029392488829659016,0.29392488829659014,1,0.0,-4.5600000000000005,1.226536918720354,100.3998,2,2
32,1757408400,1757420650,-1,3648.587,41.24,3649.551,41.122,0.05,0.09,-62.480000000000004,-0.006204882273084337,-0.6204882273084337,1,0.0,-4.5600000000000005,0.8888499141842026,100.6949,2,2
33,1757421900,1757424291,-1,3647.096,41.053,3655.936,41.191,0.05,0.09,13.339999999999996,0.0013330655210697297,0.13330655210697298,1,0.0,-4.5600000000000005,1.3411565063831714,100.0701,2,2
34,1757425500,1757426453,-1,3664.765,41.258,3672.983,41.368,0.05,0.09,3.8499999999999943,0.0003842181161336674,0.03842181161336674,1,0.0,-4.5600000000000005,1.223397462922545,100.2035,2,2
35,1757427300,1757428466,-1,3651.585,41.049,3642.978,40.94,0.05,0.09,-10.57,-0.001054448235270645,-0.1054448235270645,1,0.0,-4.5600000000000005,1.490489949382338,100.242,2,2
36,1757429100,1757430876,-1,3645.96,40.949,3637.656,40.848,0.05,0.09,-8.490000000000002,-0.0008478443880990213,-0.08478443880990214,1,0.0,-4.5600000000000005,1.6451661470317678,100.13629999999999,2,2
37,1757432700,1757455363,-1,3643.153,40.906,3627.53,40.8,0.05,0.09,25.86,0.002584671478859866,0.25846714788598657,1,0.0,-4.5600000000000005,1.4945670495052934,100.0514,2,2
38,1757520900,1757532232,1,3643.328,41.202,3640.722,41.057,0.05,0.09,47.66,0.004751271059714884,0.47512710597148833,4,0.0,-4.5600000000000005,0.5733314890688327,100.31,2,2
39,1757534400,1757560195,1,3642.416,41.191,3632.586,41.087,0.05,0.09,-6.910000000000004,-0.0006856070152182933,-0.06856070152182933,1,0.0,-4.5600000000000005,0.4864928381420635,100.78659999999999,2,2
40,1757577600,1757582025,1,3629.613,41.112,3620.579,41.003,0.05,0.09,-0.6800000000000068,-0.00006751557574403721,-0.006751557574403722,1,0.0,-4.5600000000000005,0.39470501258526797,100.7175,2,2
41,1757583000,1757588944,1,3617.138,41.003,3621.749,41.104,0.05,0.09,-26.950000000000006,-0.0026759817973661198,-0.26759817973661193,1,0.0,-4.5600000000000005,0.5686990166675142,100.7107,2,2
42,1757590200,1757593844,1,3621.611,41.074,3634.47,41.179,0.05,0.09,12.480000000000004,0.0012425180105375088,0.12425180105375087,1,0.0,-4.5600000000000005,0.5953408996625674,100.44120000000001,2,2
43,1757597400,1757598141,1,3621.485,41.158,3627.801,41.265,0.05,0.09,-21.130000000000003,-0.002101107730246803,-0.21011077302468034,1,0.0,-4.5600000000000005,0.8804198078169566,100.566,2,2
44,1757599200,1757600339,1,3631.13,41.348,3637.313,41.451,0.05,0.09,-19.990000000000002,-0.0019919346079456174,-0.1991934607945617,1,0.0,-4.5600000000000005,1.2613589554317712,100.3547,2,2
45,1757601000,1757603923,1,3635.286,41.379,3636.751,41.489,0.05,0.09,-46.730000000000004,-0.004665777376620992,-0.46657773766209915,1,0.0,-4.5600000000000005,1.1889889994615066,100.1548,2,2
46,1757604600,1757606286,1,3636.809,41.414,3632.047,41.524,0.05,0.09,-77.87,-0.00781141065830721,-0.7811410658307211,1,0.0,-4.5600000000000005,1.1983105952527464,99.6875,2,2
47,1757607300,1757615439,1,3640.764,41.713,3631.026,41.48,0.05,0.09,51.599999999999994,0.005216927108609143,0.5216927108609143,1,0.0,-4.5600000000000005,2.2496783246112364,98.90879999999999,2,2
48,1757641500,1757642281,1,3646.517,41.931,3646.487,42.034,0.05,0.09,-51.06,-0.0051355396239167695,-0.5135539623916769,1,0.0,-4.5600000000000005,1.7315445663076914,99.42479999999999,2,2
49,1757643300,1757652541,1,3647.457,41.998,3655.296,42.112,0.05,0.08,-10.490000000000002,-0.001060515072658931,-0.10605150726589309,1,0.0,-4.08,1.831219782250866,98.9142,2,2
50,1757663100,1757664330,1,3648.325,42.144,3650.792,42.237,0.05,0.09,-34.080000000000005,-0.0034490680533107716,-0.34490680533107715,1,0.0,-4.5600000000000005,1.5793025610612275,98.80930000000001,2,2
51,1757665800,1757666549,1,3645.23,42.246,3644.738,42.349,0.05,0.09,-53.370000000000005,-0.00542000741353834,-0.542000741353834,1,0.0,-4.5600000000000005,2.1461366339366936,98.4685,2,2
52,1757667600,1757667878,1,3641.111,42.25,3643.766,42.364,0.05,0.08,-36.41,-0.003717779583968109,-0.37177795839681094,1,0.0,-4.08,2.0998352368441564,97.9348,2,2
53,1757670300,1757887508,1,3644.639,42.291,3644.651,42.191,0.04,0.07,31.49,0.0032274033085752177,0.32274033085752174,6,0.0,-3.5500000000000003,1.7798164684453195,97.5707,2,2
54,1757955600,1757958092,-1,3679.155,42.5,3681.675,42.638,0.05,0.09,44.94,0.004591073661498729,0.4591073661498729,4,0.0,-4.5600000000000005,0.6008791849979288,97.8856,2,2
55,1757991600,1757997345,-1,3677.396,42.377,3681.485,42.639,0.05,0.09,92.89000000000001,0.009446280571515739,0.9446280571515739,4,0.0,-4.5600000000000005,1.0264721067350686,98.335,2,2
