entry_time_utc,exit_time_utc,direction,entry,stop,initial_target,exit,exit_reason,lot,pnl,balance
2025-06-10 14:12:00+00:00,2025-06-10 15:31:00+00:00,short,6024.437187511291,6033.81530214722,6019.748130193327,6022.756422508039,target,3.2600000000000002,2.219293910602883,3064.6639816732622
2025-06-10 15:32:00+00:00,2025-06-10 15:44:00+00:00,long,6012.397374830112,5991.651607493921,6022.770258498208,6021.0153805864775,target,1.47,11.198468461856791,3075.862450135119
2025-06-10 18:56:00+00:00,2025-06-10 19:55:00+00:00,short,6042.817773960555,6079.852025609695,6024.300648135985,6041.179999999999,time,0.8300000000000001,0.5293523872614243,3076.3918025223807
2025-06-11 18:02:00+00:00,2025-06-11 19:55:00+00:00,long,6023.390956286413,5983.210519818046,6043.481174520596,6025.08,time,0.76,0.5236732223262153,3076.915475744707
2025-06-12 14:17:00+00:00,2025-06-12 19:55:00+00:00,short,6037.436673000335,6070.565214879298,6020.872402060853,6045.6,time,0.92,-8.430260839692274,3068.4852149050143
2025-06-17 14:09:00+00:00,2025-06-17 14:24:00+00:00,short,6024.150706634871,6039.285026806552,6016.583546549031,6017.809919056975,target,2.02,10.788390907351259,3079.2736058123655
2025-06-17 16:57:00+00:00,2025-06-17 18:00:00+00:00,long,6006.024760671297,5984.494949449882,6016.789666282005,5984.244949449882,stop,1.43,-32.57513004662346,3046.698475765742
2025-06-18 18:58:00+00:00,2025-06-18 19:55:00+00:00,long,5980.0787914773855,5927.391266257627,6006.422554087265,5986.58,time,0.5700000000000001,3.1356888578902273,3049.834164623632
2025-06-19 15:35:00+00:00,2025-06-19 15:47:00+00:00,long,5923.341184468682,5909.273293665787,5930.375129870129,5928.819071925754,target,2.16,9.672236907275584,3059.5064015309076
2025-06-23 16:37:00+00:00,2025-06-23 17:05:00+00:00,long,5950.105173471236,5870.551205586618,5989.882157413545,5982.708339617199,target,0.38,12.009203135465887,3071.5156046663733
2025-06-24 16:42:00+00:00,2025-06-24 19:55:00+00:00,short,6099.743961060962,6143.953214893829,6077.639334144528,6100.820000000001,time,0.6900000000000001,-1.432466867936828,3070.0831377984364
2025-06-25 14:14:00+00:00,2025-06-25 14:27:00+00:00,long,6101.6292038524725,6089.091752484633,6107.897929536392,6106.845616002991,target,2.44,10.288045647264918,3080.3711834457013
2025-06-25 15:32:00+00:00,2025-06-25 19:12:00+00:00,long,6093.866581270536,6071.38786660268,6105.1059386044635,6099.41082193128,target,1.37,6.225609705219877,3086.5967931509213
2025-06-26 14:01:00+00:00,2025-06-26 15:02:00+00:00,short,6124.994087258266,6136.577066454552,6119.202597660123,6136.827066454552,stop,2.66,-34.13572466212085,3052.4610684888003
