timeframe_minutes,pivot_bars,minimum_leg_atr,structure_mode,reaction_mode,poc_tolerance_atr,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
60,3,3.5,1,2,0.05,12,0,0.0,2.0,6,0,128,45,83,35.15625,0.5986461308800922,-15.823225861282594,-0.12361895204127027,-14.85457880478056,20.00809392651589,8514.542119521944,58,20,38,34.48275862068966,0.5753244236826472,-7.191750004583156,-0.12399568973419234,-7.035416114605175,9.713571353965369,9296.458388539482,-12.04165201725432
60,3,3.5,1,2,0.05,12,0,0.1,1.5,6,1,128,45,83,35.15625,0.5789896143503104,-16.015592880640693,-0.1251218193800054,-14.991210450747772,19.890068952157694,8500.878954925223,58,20,38,34.48275862068966,0.6406722758444037,-5.956599810304311,-0.10269999672938468,-5.885222954324365,9.590081190151151,9411.477704567564,-12.13985310203881
60,3,3.5,1,2,0.05,12,0,0.1,1.5,6,0,128,45,83,35.15625,0.5789896143503104,-16.015592880640693,-0.1251218193800054,-14.991210450747772,19.890068952157694,8500.878954925223,58,20,38,34.48275862068966,0.6406722758444037,-5.956599810304311,-0.10269999672938468,-5.885222954324365,9.590081190151151,9411.477704567564,-12.13985310203881
60,2,3.5,1,2,0.15,12,0,0.0,2.5,6,0,128,46,82,35.9375,0.5709906036404554,-16.089417012587518,-0.12569857041083998,-15.066289372941954,18.640995706483825,8493.371062705804,45,14,31,31.11111111111111,0.965832818061724,-0.47398533300800433,-0.010533007400177874,-0.6388010371822017,7.37437090782752,9936.11989628178,-12.16347143654321
60,2,3.5,1,2,0.15,12,0,0.0,3.0,6,0,128,46,82,35.9375,0.5709906036404554,-16.089417012587518,-0.12569857041083998,-15.066289372941954,18.640995706483825,8493.371062705804,45,14,31,31.11111111111111,1.0739601573238213,1.0260146669919952,0.02280032593315545,0.8229459484385471,6.922246406332837,10082.294594843854,-12.16347143654321
60,3,3.5,1,2,0.05,12,0,0.1,2.5,6,1,128,45,83,35.15625,0.578252547994326,-16.043631511244175,-0.12534087118159512,-15.017802988878447,19.9905632934447,8498.219701112155,58,20,38,34.48275862068966,0.6017134877004481,-6.602422257245491,-0.1138348665042326,-6.492951389195111,9.590081190151151,9350.704861080489,-12.16926207538697
60,3,3.5,1,2,0.05,12,0,0.1,3.0,6,0,128,45,83,35.15625,0.578252547994326,-16.043631511244175,-0.12534087118159512,-15.017802988878447,19.9905632934447,8498.219701112155,58,20,38,34.48275862068966,0.6318756385582238,-6.102422257245497,-0.10521417684906029,-6.036730847179783,9.590081190151151,9396.326915282021,-12.16926207538697
60,3,3.5,1,2,0.05,12,0,0.1,2.5,6,0,128,45,83,35.15625,0.578252547994326,-16.043631511244175,-0.12534087118159512,-15.017802988878447,19.9905632934447,8498.219701112155,58,20,38,34.48275862068966,0.6017134877004481,-6.602422257245491,-0.1138348665042326,-6.492951389195111,9.590081190151151,9350.704861080489,-12.16926207538697
60,3,3.5,1,2,0.05,12,0,0.1,3.0,6,1,128,45,83,35.15625,0.578252547994326,-16.043631511244175,-0.12534087118159512,-15.017802988878447,19.9905632934447,8498.219701112155,58,20,38,34.48275862068966,0.6318756385582238,-6.102422257245497,-0.10521417684906029,-6.036730847179783,9.590081190151151,9396.326915282021,-12.16926207538697
60,3,3.5,1,2,0.05,12,0,0.1,2.0,6,0,128,45,83,35.15625,0.5762127347258297,-16.121227741585034,-0.12594709173113308,-15.082440897060078,20.051418893857413,8491.755910293992,58,20,38,34.48275862068966,0.5715513368426718,-7.102422257245497,-0.12245555615940512,-6.949171931210419,9.590081190151151,9305.082806878958,-12.246937888668839
60,3,3.5,1,2,0.05,12,0,0.1,2.0,6,1,128,45,83,35.15625,0.5762127347258297,-16.121227741585034,-0.12594709173113308,-15.082440897060078,20.051418893857413,8491.755910293992,58,20,38,34.48275862068966,0.5715513368426718,-7.102422257245497,-0.12245555615940512,-6.949171931210419,9.590081190151151,9305.082806878958,-12.246937888668839
60,3,3.5,1,2,0.05,12,0,0.25,2.5,6,0,129,45,84,34.883720930232556,0.5646306958712345,-16.308061928448907,-0.1264190847166582,-15.232170605710216,19.959078353209573,8476.782939428978,58,20,38,34.48275862068966,0.5973101841744548,-6.480403492098301,-0.11173109469135001,-6.37470282918986,9.422699085110658,9362.529717081014,-12.302438036725352
60,3,3.5,1,2,0.05,12,0,0.25,2.5,6,1,129,45,84,34.883720930232556,0.5646306958712345,-16.308061928448907,-0.1264190847166582,-15.232170605710216,19.959078353209573,8476.782939428978,58,20,38,34.48275862068966,0.5973101841744548,-6.480403492098301,-0.11173109469135001,-6.37470282918986,9.422699085110658,9362.529717081014,-12.302438036725352
60,3,3.5,1,2,0.05,12,0,0.25,3.0,6,1,129,45,84,34.883720930232556,0.5646306958712345,-16.308061928448907,-0.1264190847166582,-15.232170605710216,19.959078353209573,8476.782939428978,58,20,38,34.48275862068966,0.6283799945895431,-5.980403492098305,-0.10311040503617767,-5.917908754465295,9.422699085110658,9408.20912455347,-12.302438036725352
