date,event,source,prior_business_day,prior_day_had_auction
2024-07-03,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-07-02,False
2024-07-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-07-10,True
2024-07-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-07-17,True
2024-07-25,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-07-24,True
2024-08-01,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-07-31,False
2024-08-08,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-08-07,True
2024-08-15,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-08-14,False
2024-08-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-08-21,True
2024-08-29,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-08-28,True
2024-09-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-09-04,False
2024-09-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-09-11,True
2024-09-19,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-09-18,False
2024-09-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-09-25,True
2024-10-03,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-10-02,False
2024-10-10,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-10-09,True
2024-10-17,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-10-16,False
2024-10-24,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-10-23,True
2024-10-31,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-10-30,False
2024-11-07,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-11-06,True
2024-11-14,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-11-13,False
2024-11-21,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-11-20,True
2024-11-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-11-26,True
