bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
NewsPulse,US30,2026-06-03 12:30:00,2026-06-03 12:30:00,-1.1235,strategy_suite,2026-06-03 12:30:00+00:00,2026-06-03 12:30:00+00:00,186.55,9.33,-10.48,176.07
NewsPulse,BTCUSD,2026-06-03 14:00:00,2026-06-03 14:20:00,-1.0886,strategy_suite,2026-06-03 14:00:00+00:00,2026-06-03 14:20:00+00:00,176.07,8.8,-9.58,166.49
NewsPulse,US30,2026-06-03 14:00:00,2026-06-03 14:05:00,-1.0539,strategy_suite,2026-06-03 14:00:00+00:00,2026-06-03 14:05:00+00:00,166.49,8.32,-8.77,157.72
NewsPulse,BTCUSD,2026-06-03 18:00:00,2026-06-03 18:11:00,-1.1243,strategy_suite,2026-06-03 18:00:00+00:00,2026-06-03 18:11:00+00:00,157.72,7.89,-8.87,148.85
NewsPulse,US30,2026-06-03 18:00:00,2026-06-03 18:30:00,-1.0824,strategy_suite,2026-06-03 18:00:00+00:00,2026-06-03 18:30:00+00:00,148.85,7.44,-8.06,140.8
NewsPulse,US30,2026-06-04 12:30:00,2026-06-04 12:30:00,-1.1411,strategy_suite,2026-06-04 12:30:00+00:00,2026-06-04 12:30:00+00:00,140.8,7.04,-8.03,132.76
NewsPulse,BTCUSD,2026-06-04 14:00:00,2026-06-04 14:30:00,-0.4863,strategy_suite,2026-06-04 14:00:00+00:00,2026-06-04 14:30:00+00:00,132.76,6.64,-3.23,129.53
NewsPulse,US30,2026-06-04 14:00:00,2026-06-04 14:12:00,-1.0532,strategy_suite,2026-06-04 14:00:00+00:00,2026-06-04 14:12:00+00:00,129.53,6.48,-6.82,122.71
NewsPulse,XAGUSD,2026-06-04 14:00:00,2026-06-04 14:30:00,1.1379,strategy_suite,2026-06-04 14:00:00+00:00,2026-06-04 14:30:00+00:00,122.71,6.14,6.98,129.69
NewsPulse,US30,2026-06-04 18:00:00,2026-06-04 18:19:00,0.3976,strategy_suite,2026-06-04 18:00:00+00:00,2026-06-04 18:19:00+00:00,129.69,6.48,2.58,132.27
NewsPulse,EURUSD,2026-06-05 14:00:00,2026-06-05 14:02:00,-1.1404,strategy_suite,2026-06-05 14:00:00+00:00,2026-06-05 14:02:00+00:00,132.27,6.61,-7.54,124.73
NewsPulse,US30,2026-06-05 14:00:00,2026-06-05 14:02:00,-1.0517,strategy_suite,2026-06-05 14:00:00+00:00,2026-06-05 14:02:00+00:00,124.73,6.24,-6.56,118.17
NewsPulse,XAGUSD,2026-06-05 14:00:00,2026-06-05 14:30:00,0.7425,strategy_suite,2026-06-05 14:00:00+00:00,2026-06-05 14:30:00+00:00,118.17,5.91,4.39,122.56
NewsPulse,BTCUSD,2026-06-05 18:00:00,2026-06-05 18:00:00,-1.1297,strategy_suite,2026-06-05 18:00:00+00:00,2026-06-05 18:00:00+00:00,122.56,6.13,-6.92,115.64
NewsPulse,US30,2026-06-05 18:00:00,2026-06-05 18:02:00,-1.0824,strategy_suite,2026-06-05 18:00:00+00:00,2026-06-05 18:02:00+00:00,115.64,5.78,-6.26,109.38
NewsPulse,BTCUSD,2026-06-06 12:30:00,2026-06-06 12:34:00,-1.0562,strategy_suite,2026-06-06 12:30:00+00:00,2026-06-06 12:34:00+00:00,109.38,5.47,-5.78,103.6
NewsPulse,BTCUSD,2026-06-06 18:00:00,2026-06-06 18:08:00,-1.0819,strategy_suite,2026-06-06 18:00:00+00:00,2026-06-06 18:08:00+00:00,103.6,5.18,-5.6,98.0
NewsPulse,BTCUSD,2026-06-07 12:30:00,2026-06-07 12:34:00,1.9066,strategy_suite,2026-06-07 12:30:00+00:00,2026-06-07 12:34:00+00:00,98.0,4.9,9.34,107.34
