proximity_threshold,minimum_trend,require_london_agreement,direction_mode,maximum_opening_range,stop_range_multiple,minimum_stop_points,reward_risk,trailing_mode,exit_minute,outcome_index,robust_lcb_score,train_trades,train_pf,train_mean_r,train_win_rate,validation_trades,validation_pf,validation_mean_r,validation_win_rate,positive_preholdout_years,tested_preholdout_years,preholdout_return_pct,preholdout_pf,preholdout_dd_pct,stability_score,yearly_returns_json
200.0,50.0,False,long,400.0,1.25,40.0,4.0,be_1r,960,440,-0.030113860964775085,274,1.1476233005523682,0.0679086372256279,38.32116788321168,83,1.3460204601287842,0.17498543858528137,39.75903614457831,4,5,35.3582815818686,1.1971864329522917,12.973234479400512,-0.01606032992357611,"{""2020"": 11.383359337648912, ""2021"": 1.9666275420732404, ""2022"": 4.952596044788127, ""2023"": -2.2090398128577937, ""2024"": 14.626112811019286}"
200.0,0.0,True,long,200.0,1.0,40.0,4.0,be_1r,960,290,-0.04078878462314606,475,1.2516082525253296,0.11477533727884293,36.84210526315789,109,1.2869290113449097,0.15376506745815277,31.19266055045872,5,5,93.34595598639048,1.259108508355544,12.984655169049187,-0.01675809496124443,"{""2020"": 9.940803270540655, ""2021"": 29.198153875721246, ""2022"": 18.416173564086, ""2023"": 6.3031754994562705, ""2024"": 16.66307957228397}"
200.0,50.0,False,long,200.0,1.0,20.0,3.0,be_1r,960,200,-0.033039532601833344,272,1.1394740343093872,0.07019560784101486,31.61764705882353,82,1.4404261112213135,0.23189839720726013,32.926829268292686,4,5,41.49323381694319,1.2116340104304395,12.368572039450054,-0.01777667668073345,"{""2020"": 6.237204337543689, ""2021"": 7.252573152597797, ""2022"": 9.404735710267587, ""2023"": -5.043441656512481, ""2024"": 19.709477504681082}"
200.0,50.0,False,long,100.0,1.0,40.0,4.0,be_1r,960,290,-0.029127947986125946,224,1.1817959547042847,0.09045188874006271,31.69642857142857,68,1.5347436666488647,0.2743597626686096,30.88235294117647,4,5,43.01774564101948,1.2659421833554216,14.352613908300496,-0.017833175802726937,"{""2020"": 8.822367862436288, ""2021"": 9.133177860715502, ""2022"": 4.453242380271982, ""2023"": -4.678616106588828, ""2024"": 19.33292735682017}"
200.0,50.0,False,long,400.0,1.25,20.0,4.0,be_1r,960,365,-0.03252074122428894,274,1.14634108543396,0.0679524764418602,37.95620437956204,83,1.3405696153640747,0.17264606058597565,38.55421686746988,4,5,35.07174076406565,1.1946104020592065,12.753172121257325,-0.01802708546680359,"{""2020"": 12.521757512559418, ""2021"": 1.9666275420732404, ""2022"": 5.2179869925119915, ""2023"": -2.2090398128577937, ""2024"": 14.403487410688843}"
200.0,50.0,False,long,100.0,1.0,40.0,3.0,be_1r,960,275,-0.033494316041469574,224,1.164036512374878,0.08161570131778717,32.142857142857146,68,1.5307421684265137,0.2723067104816437,32.35294117647059,4,5,40.35205632146028,1.251462722375007,13.335117022779016,-0.020164550087027607,"{""2020"": 6.729306872554575, ""2021"": 8.721355001109131, ""2022"": 4.240095618114115, ""2023"": -3.697993844586267, ""2024"": 19.265482631476694}"
200.0,50.0,False,long,200.0,1.25,40.0,4.0,be_1r,960,440,-0.03496819734573364,272,1.1318485736846924,0.06109803542494774,37.86764705882353,82,1.33724045753479,0.17262515425682068,39.02439024390244,4,5,32.222968744908556,1.183159160262412,12.97323447940047,-0.02091466630453458,"{""2020"": 9.70896612582246, ""2021"": 1.9666275420732404, ""2022"": 4.4698579869558275, ""2023"": -2.2090398128577937, ""2024"": 14.205233890324642}"
200.0,0.0,True,long,400.0,1.0,40.0,4.0,be_1r,960,290,-0.045395731925964355,476,1.2516082525253296,0.11453420668840408,36.76470588235294,111,1.2730216979980469,0.1461356282234192,31.53153153153153,5,5,92.29425862189808,1.2562165455129928,12.984655169049187,-0.021365042264062727,"{""2020"": 9.940803270540655, ""2021"": 29.198153875721246, ""2022"": 18.416173564086, ""2023"": 6.3031754994562705, ""2024"": 16.02849555580541}"
200.0,50.0,False,long,100.0,1.0,20.0,4.0,be_1r,960,215,-0.03439115732908249,224,1.1740831136703491,0.08950968831777573,29.910714285714285,68,1.4987566471099854,0.2615877091884613,29.411764705882355,4,5,41.25563241470132,1.2508488238312379,13.79257046968175,-0.02197629826844599,"{""2020"": 9.518028298332059, ""2021"": 7.92668866336943, ""2022"": 5.117564924382734, ""2023"": -4.678616106588828, ""2024"": 18.29540165127519}"
200.0,50.0,False,long,200.0,1.25,20.0,4.0,be_1r,960,365,-0.03740398585796356,272,1.1307135820388794,0.061142198741436005,37.5,82,1.3318108320236206,0.17025725543498993,37.80487804878049,4,5,31.943065091037415,1.180689845123051,12.753172121257336,-0.022910330100478233,"{""2020"": 10.830251096500465, ""2021"": 1.9666275420732404, ""2022"": 4.73402824728848, ""2023"": -2.2090398128577937, ""2024"": 13.983425915761405}"
200.0,0.0,True,long,200.0,1.0,40.0,3.0,be_1r,960,275,-0.05344057083129883,475,1.2379982471466064,0.1085667759180069,37.05263157894737,109,1.241320252418518,0.12932343780994415,32.11009174311927,5,5,83.4744672205677,1.2387036736658463,11.548422089955151,-0.02653741501120913,"{""2020"": 4.774515326559259, ""2021"": 28.919034735031303, ""2022"": 18.89654879252589, ""2023"": 8.332936679613102, ""2024"": 13.774250627917063}"
200.0,50.0,False,long,100.0,1.25,20.0,4.0,be_1r,960,365,-0.03717769682407379,224,1.148345708847046,0.07030695676803589,37.05357142857143,68,1.4025050401687622,0.2051984965801239,36.76470588235294,4,5,31.236614563047983,1.2109096935662482,14.933757391893437,-0.027045211607860664,"{""2020"": 9.902021426611274, ""2021"": 2.7848961988061305, ""2022"": 2.3411143584417538, ""2023"": -0.5078173998838253, ""2024"": 14.087736768134906}"
200.0,50.0,False,long,400.0,1.25,40.0,3.0,be_1r,960,425,-0.044915661215782166,274,1.1400463581085205,0.06442318856716156,38.32116788321168,83,1.301392674446106,0.15241682529449463,39.75903614457831,4,5,31.736694031656732,1.1803535931258902,12.973234479400485,-0.030862130174583134,"{""2020"": 11.577564782655303, ""2021"": 2.855119516482052, ""2022"": 4.984117769906327, ""2023"": -3.858171045960157, ""2024"": 12.572589703076265}"
200.0,0.0,True,long,400.0,1.0,40.0,3.0,be_1r,960,275,-0.0578378364443779,476,1.2379982471466064,0.10833869129419327,36.97478991596639,111,1.2281807661056519,0.12213438004255295,32.432432432432435,5,5,82.47646541265262,1.2358856167505488,11.548422089955151,-0.0309346806242882,"{""2020"": 4.774515326559259, ""2021"": 28.919034735031303, ""2022"": 18.89654879252589, ""2023"": 8.332936679613102, ""2024"": 13.155380277502914}"
200.0,50.0,False,long,400.0,1.25,20.0,3.0,be_1r,960,350,-0.0473199188709259,274,1.1345731019973755,0.062488049268722534,37.95620437956204,83,1.29604971408844,0.15007741749286652,38.55421686746988,4,5,30.767410559261577,1.1747028772952464,12.75317212125737,-0.03282626311344064,"{""2020"": 12.125959399123708, ""2021"": 2.855119516482052, ""2022"": 5.249588425811047, ""2023"": -3.858171045960157, ""2024"": 12.353952629600862}"
200.0,0.0,True,long,200.0,1.25,40.0,4.0,be_1r,960,440,-0.061513401567935944,475,1.181584119796753,0.07855319231748581,41.68421052631579,109,1.217876672744751,0.11162909120321274,38.53211009174312,5,5,57.33430697452631,1.1893397144463753,11.322285468411991,-0.03415797250475992,"{""2020"": 12.128888394387772, ""2021"": 12.854094210250189, ""2022"": 11.483702602448176, ""2023"": 7.929261197119786, ""2024"": 11.739164195808582}"
200.0,0.0,True,long,100.0,0.75,40.0,4.0,none,960,137,-0.045876920223236084,412,1.1620597839355469,0.10028637945652008,35.92233009708738,94,1.307902216911316,0.20640835165977478,30.851063829787233,4,5,70.90180056951398,1.1909625213327786,14.579794349393385,-0.035036508922022855,"{""2020"": -0.5706668112594016, ""2021"": 36.453100349249844, ""2022"": 8.580557301788193, ""2023"": 6.650045745825506, ""2024"": 19.38638394417027}"
200.0,50.0,False,long,200.0,1.25,40.0,3.0,be_1r,960,425,-0.04994328320026398,272,1.1242717504501343,0.05758695676922798,37.86764705882353,82,1.2926126718521118,0.14978131651878357,39.02439024390244,4,5,28.685268266870413,1.1663263204360106,12.97323447940047,-0.03588975215906491,"{""2020"": 9.900252137614029, ""2021"": 2.855119516482052, ""2022"": 4.501234725318715, ""2023"": -3.858171045960157, ""2024"": 12.159250814649102}"
200.0,50.0,False,long,400.0,1.0,40.0,4.0,none,960,287,-0.05085667595267296,274,1.1036241054534912,0.060913752764463425,38.32116788321168,83,1.3757144212722778,0.22684800624847412,36.144578313253014,4,5,36.980995076928494,1.1681919758718327,13.017871222140517,-0.036892418396953994,"{""2020"": 11.691352569869329, ""2021"": 4.267078358917775, ""2022"": 7.676052004109746, ""2023"": -9.206241000780524, ""2024"": 19.236930566426878}"
200.0,50.0,False,long,100.0,1.0,20.0,3.0,be_1r,960,200,-0.05139736086130142,224,1.126125693321228,0.06485096365213394,30.357142857142854,68,1.494842290878296,0.25953465700149536,30.88235294117647,4,5,33.95413669847467,1.2133047785191295,12.768420229276344,-0.036934201319854115,"{""2020"": 4.4628056072380184, ""2021"": 7.519418588178151, ""2022"": 4.903062548975634, ""2023"": -3.697993844586267, ""2024"": 18.22854331593988}"
200.0,0.0,True,long,100.0,1.0,20.0,4.0,be_1r,960,215,-0.0599651038646698,412,1.1407849788665771,0.06906607002019882,31.79611650485437,94,1.2817367315292358,0.1564038097858429,28.723404255319153,5,5,46.56353725303046,1.169709136124754,13.512349579153998,-0.036989803022977795,"{""2020"": 4.291370055414356, ""2021"": 22.69405202794388, ""2022"": 6.821770001072847, ""2023"": 6.884539845571136, ""2024"": 14.412717288649702}"
200.0,50.0,False,long,400.0,1.0,20.0,4.0,none,960,212,-0.051836609840393066,274,1.1048660278320312,0.06328215450048447,37.22627737226277,83,1.3565542697906494,0.21861308813095093,36.144578313253014,4,5,36.69569988185961,1.1640987642634513,13.017871222140542,-0.03787235228467415,"{""2020"": 13.971085504786295, ""2021"": 3.114384868772957, ""2022"": 8.360871615039155, ""2023"": -9.185675160979113, ""2024"": 18.41890993924773}"
200.0,50.0,False,long,200.0,1.25,20.0,3.0,be_1r,960,350,-0.05237622559070587,272,1.1189453601837158,0.05563758313655853,37.5,82,1.2872909307479858,0.14741338789463043,37.80487804878049,4,5,27.738436371712673,1.1607823203590908,12.753172121257329,-0.037882569833220525,"{""2020"": 10.440402899446743, ""2021"": 2.855119516482052, ""2022"": 4.765484327207847, ""2023"": -3.858171045960157, ""2024"": 11.941416522784687}"
200.0,50.0,True,long,400.0,1.0,40.0,4.0,be_1r,960,290,-0.05899113416671753,241,1.097996473312378,0.04776272177696228,32.365145228215766,75,1.4605549573898315,0.23898711800575256,33.33333333333333,4,5,30.231872501377023,1.188226692057535,9.472959222734785,-0.0379370526121871,"{""2020"": 0.33339592601615564, ""2021"": 8.87509265556048, ""2022"": 6.773482205574588, ""2023"": -3.1333264465608246, ""2024"": 18.40224492751823}"
200.0,50.0,True,long,200.0,1.0,40.0,4.0,be_1r,960,290,-0.05923749879002571,240,1.097996473312378,0.047961730509996414,32.5,74,1.4487184286117554,0.23599150776863098,32.432432432432435,4,5,29.634696368157275,1.1852809100382178,9.472959222734785,-0.03818341723549528,"{""2020"": 0.33339592601615564, ""2021"": 8.87509265556048, ""2022"": 6.773482205574588, ""2023"": -3.1333264465608246, ""2024"": 17.859313359137374}"
200.0,0.0,True,long,200.0,1.0,20.0,4.0,be_1r,960,215,-0.06377269327640533,475,1.1929690837860107,0.09174606204032898,33.68421052631579,109,1.237034559249878,0.1319875568151474,30.275229357798167,5,5,69.0431412442884,1.2023033802634056,13.195890024561557,-0.040164473325528444,"{""2020"": 6.130878609935508, ""2021"": 27.73082305976924, ""2022"": 18.396872364729198, ""2023"": 5.450674302504432, ""2024"": 13.910930401658629}"
200.0,50.0,False,long,400.0,1.0,40.0,3.0,none,960,272,-0.0541444756090641,274,1.09176504611969,0.053607676178216934,38.68613138686132,83,1.3997045755386353,0.23651698231697083,37.34939759036144,4,5,35.734069473893705,1.1640665644103851,13.017871222140501,-0.0401802180533451,"{""2020"": 9.423125438949898, ""2021"": 3.873618118738764, ""2022"": 7.550705861309415, ""2023"": -8.23656056015758, ""2024"": 20.307017441242348}"
200.0,0.0,True,long,400.0,1.25,40.0,4.0,be_1r,960,440,-0.06659141927957535,476,1.1838327646255493,0.07935894280672073,41.806722689075634,111,1.2029355764389038,0.1039288267493248,38.73873873873874,5,5,57.05738586938411,1.1879722528002643,11.810541952116074,-0.040212503183807494,"{""2020"": 12.128888394387772, ""2021"": 12.854094210250189, ""2022"": 11.998850484442801, ""2023"": 7.929261197119786, ""2024"": 11.029445395556703}"
200.0,0.0,True,long,100.0,1.25,40.0,4.0,be_1r,960,440,-0.0655999481678009,412,1.1509720087051392,0.06705718487501144,40.53398058252427,94,1.2428144216537476,0.12708504498004913,37.234042553191486,5,5,43.049213313943845,1.170431597334756,12.312819471697841,-0.04022558711119659,"{""2020"": 11.238562453470324, ""2021"": 9.933273998007607, ""2022"": 3.0751293534583057, ""2023"": 9.977194494281672, ""2024"": 11.586544781113428}"
200.0,0.0,True,long,100.0,0.75,40.0,4.0,be_1r,960,140,-0.05294176936149597,412,1.1453169584274292,0.07309821248054504,28.883495145631066,94,1.3195995092391968,0.1792435497045517,25.53191489361702,4,5,50.921697303988076,1.1806600627496306,13.740830857271218,-0.04042343107603841,"{""2020"": -5.390839852666874, ""2021"": 31.77839924720127, ""2022"": 4.749049003959138, ""2023"": 6.8571613165608, ""2024"": 16.678641216288483}"
200.0,50.0,False,both,400.0,1.0,40.0,4.0,be_1r,960,290,-0.051944196224212646,503,1.1167432069778442,0.0549740269780159,31.01391650099404,136,1.221716046333313,0.12238958477973938,30.88235294117647,4,5,46.760821580186175,1.1420068425773573,14.357865199987652,-0.04065992662418795,"{""2020"": 0.38613502056328297, ""2021"": 8.529893331905104, ""2022"": 19.95172142706838, ""2023"": -6.863990362534644, ""2024"": 16.13950526000267}"
200.0,50.0,False,long,100.0,1.25,20.0,3.0,be_1r,960,350,-0.050873056054115295,224,1.134242296218872,0.06362278759479523,37.05357142857143,68,1.3402131795883179,0.17344187200069427,36.76470588235294,4,5,26.70139208187312,1.1849441642506713,14.933757391893469,-0.04074057083790224,"{""2020"": 9.515438300778346, ""2021"": 3.6805182034212347, ""2022"": 2.3718517446206677, ""2023"": -2.1856377777734637, ""2024"": 11.732469572770231}"
200.0,0.0,True,long,200.0,1.25,20.0,4.0,be_1r,960,365,-0.06831414997577667,475,1.1510965824127197,0.0674339160323143,40.421052631578945,109,1.2031447887420654,0.10521240532398224,37.61467889908257,5,5,48.09411765201925,1.1620421021695395,11.412646639264338,-0.041139443254305345,"{""2020"": 12.1354695892421, ""2021"": 10.843051165278217, ""2022"": 11.495884026411773, ""2023"": 7.063719561845461, ""2024"": 10.955878534380737}"
200.0,0.0,True,long,400.0,1.0,20.0,4.0,be_1r,960,215,-0.06794990599155426,476,1.1929690837860107,0.09155332297086716,33.61344537815126,111,1.2244503498077393,0.12475049495697021,30.630630630630627,5,5,68.12363803965636,1.199724024137491,13.195890024561557,-0.04434168604067737,"{""2020"": 6.130878609935508, ""2021"": 27.73082305976924, ""2022"": 18.396872364729198, ""2023"": 5.450674302504432, ""2024"": 13.29131658724445}"
200.0,50.0,False,long,200.0,1.0,40.0,4.0,none,960,287,-0.06000293418765068,272,1.0881932973861694,0.05222423002123833,37.86764705882353,82,1.366522192955017,0.2239966094493866,35.36585365853659,4,5,33.031875506556574,1.154241625035241,13.017871222140556,-0.04603867663193179,"{""2020"": 9.60043176845582, ""2021"": 4.267078358917775, ""2022"": 7.057682044320046, ""2023"": -9.206241000780524, ""2024"": 18.69017156062447}"
200.0,0.0,True,long,400.0,1.25,20.0,4.0,be_1r,960,365,-0.07326427847146988,476,1.1532762050628662,0.06826303154230118,40.54621848739496,111,1.1886179447174072,0.09762775152921677,37.83783783783784,5,5,47.833460027411626,1.160812051764721,11.810541952116074,-0.046885362375702025,"{""2020"": 12.1354695892421, ""2021"": 10.843051165278217, ""2022"": 12.011088196766128, ""2023"": 7.063719561845461, ""2024"": 10.251134825574093}"
200.0,50.0,False,long,200.0,1.0,20.0,4.0,none,960,212,-0.061002131551504135,272,1.0898346900939941,0.05461006984114647,36.76470588235294,82,1.3475022315979004,0.21566125750541687,35.36585365853659,4,5,32.75480528340851,1.15047466190879,13.017871222140526,-0.047037873995785184,"{""2020"": 11.837486905086703, ""2021"": 3.114384868772957, ""2022"": 7.738568822763603, ""2023"": -9.185675160979113, ""2024"": 17.875901953726704}"
200.0,50.0,False,both,400.0,1.0,20.0,4.0,be_1r,960,215,-0.0586245059967041,503,1.1136281490325928,0.05434944108128548,30.019880715705767,136,1.2079973220825195,0.11600354313850403,30.14705882352941,4,5,44.79120358891051,1.1362479895858741,14.286547100265356,-0.04719760019723481,"{""2020"": 1.02786579538503, ""2021"": 7.330073566176498, ""2022"": 20.714614286428244, ""2023"": -8.14144424324712, ""2024"": 15.129744376686594}"
200.0,0.0,True,long,100.0,1.25,20.0,4.0,be_1r,960,365,-0.07351534068584442,412,1.117917776107788,0.05423765257000923,39.07766990291262,94,1.2258124351501465,0.1196444183588028,36.17021276595745,5,5,34.647982591450855,1.1403726474086673,12.165315111927297,-0.04784597090969901,"{""2020"": 11.245091392313045, ""2021"": 7.974279531463946, ""2022"": 3.0863920028092684, ""2023"": 9.09522940242744, ""2024"": 10.804328973751854}"
200.0,50.0,False,long,200.0,1.0,40.0,3.0,none,960,272,-0.06329762935638428,272,1.0762379169464111,0.044864434748888016,38.23529411764706,82,1.3903251886367798,0.2337835133075714,36.58536585365854,4,5,31.82089838162252,1.1499828321324166,13.017871222140528,-0.049333371800665334,"{""2020"": 7.374667041126681, ""2021"": 3.873618118738764, ""2022"": 6.933055748578032, ""2023"": -8.23656056015758, ""2024"": 19.75535156947974}"
200.0,0.0,True,long,200.0,1.25,40.0,3.0,be_1r,960,425,-0.07961814850568771,475,1.194813847541809,0.08427637815475464,41.68421052631579,109,1.1664282083511353,0.0852694883942604,38.53211009174312,5,5,57.197566816107724,1.1887478044440363,10.919739345571793,-0.05145762719683129,"{""2020"": 13.107621792885627, ""2021"": 14.606640566809826, ""2022"": 11.236342742808269, ""2023"": 8.469210716202102, ""2024"": 8.682193749436262}"
200.0,50.0,False,long,400.0,1.0,20.0,3.0,none,960,197,-0.06577213853597641,274,1.0717576742172241,0.04304084926843643,37.591240875912405,83,1.3797872066497803,0.22828203439712524,37.34939759036144,4,5,30.889530593808324,1.1434889082050914,13.017871222140492,-0.05180788098025739,"{""2020"": 8.591242297555258, ""2021"": 2.725274410563716, ""2022"": 8.234728270863624, ""2023"": -8.215775076486164, ""2024"": 19.481655521962637}"
200.0,0.0,True,long,200.0,1.25,40.0,4.0,none,960,437,-0.07507812231779099,475,1.1778439283370972,0.08741559833288193,46.10526315789474,109,1.1860096454620361,0.10139616578817368,40.36697247706422,5,5,61.413203918964655,1.1795005688223021,13.888683530735758,-0.0528554893792625,"{""2020"": 13.29357016795447, ""2021"": 12.772909547942035, ""2022"": 11.369064850584243, ""2023"": 12.978035626889062, ""2024"": 10.455212922638403}"
200.0,0.0,True,long,200.0,1.0,20.0,3.0,be_1r,960,200,-0.07645770162343979,475,1.175881266593933,0.08362168818712234,33.89473684210526,109,1.1931401491165161,0.10754593461751938,31.19266055045872,5,5,59.008850054406345,1.1795371662886005,13.787463540132977,-0.054032628703705746,"{""2020"": 0.25861810169567345, ""2021"": 27.454873934316694, ""2022"": 18.877169294590736, ""2023"": 7.464157757866352, ""2024"": 11.090250594211959}"
200.0,50.0,False,long,100.0,1.0,40.0,3.0,be_1r,840,274,-0.06879203021526337,224,1.0808236598968506,0.0392109714448452,32.589285714285715,68,1.4469250440597534,0.22263023257255554,33.82352941176471,4,5,23.79772388636954,1.1678213556070862,12.815336826666702,-0.05442270386859677,"{""2020"": 1.9942235915467954, ""2021"": 9.08351809759258, ""2022"": 0.8895935695691026, ""2023"": -4.5515033432019685, ""2024"": 15.400684641528596}"
200.0,0.0,False,long,100.0,1.0,40.0,4.0,be_1r,960,290,-0.07787144929170609,529,1.1980373859405518,0.09152184426784515,34.593572778827976,122,1.194007158279419,0.1071544960141182,27.049180327868854,5,5,73.9717326478056,1.1971666496970197,13.570027379582195,-0.05501150405087048,"{""2020"": 12.686795303383214, ""2021"": 24.33807444507736, ""2022"": 7.791238961778246, ""2023"": 6.657312806586657, ""2024"": 12.245097953977702}"
200.0,0.0,True,long,100.0,1.25,40.0,4.0,none,960,437,-0.0815095528960228,412,1.1592142581939697,0.08047190308570862,45.38834951456311,94,1.205245018005371,0.11521922796964645,39.361702127659576,5,5,48.735918833360905,1.168520682393775,12.797812434126557,-0.05710517776427591,"{""2020"": 10.804001332011381, ""2021"": 10.253897107082555, ""2022"": 5.059828656875354, ""2023"": 15.572085523799316, ""2024"": 10.304347198273822}"
200.0,0.0,False,long,100.0,1.25,40.0,4.0,none,960,437,-0.08083951473236084,529,1.141995906829834,0.07125581800937653,44.423440453686204,122,1.159654974937439,0.09180718660354614,38.52459016393443,5,5,54.27945537562549,1.145687180610865,13.335601185910864,-0.05751071710418257,"{""2020"": 13.698327443853508, ""2021"": 8.272021495649806, ""2022"": 6.700399377911581, ""2023"": 12.828963694866324, ""2024"": 10.376319797369792}"
200.0,0.0,True,long,400.0,1.25,40.0,4.0,none,960,437,-0.0798952654004097,476,1.1798230409622192,0.08820270746946335,46.21848739495798,111,1.1724790334701538,0.09388027340173721,40.54054054054054,5,5,61.12910362530777,1.1783134443860768,13.888683530735758,-0.057672632461881215,"{""2020"": 13.29357016795447, ""2021"": 12.772909547942035, ""2022"": 11.883683010353208, ""2023"": 12.978035626889062, ""2024"": 9.753649225064587}"
200.0,0.0,True,long,400.0,1.0,20.0,3.0,be_1r,960,200,-0.08042445033788681,476,1.175881266593933,0.08344601094722748,33.82352941176471,111,1.1812673807144165,0.10074926167726517,31.53153153153153,5,5,58.14392796343204,1.1770369886904162,13.787463540132977,-0.05799937741815277,"{""2020"": 0.25861810169567345, ""2021"": 27.454873934316694, ""2022"": 18.877169294590736, ""2023"": 7.464157757866352, ""2024"": 10.485979751438634}"
200.0,0.0,True,long,400.0,1.25,40.0,3.0,be_1r,960,425,-0.0843784436583519,476,1.197062611579895,0.08507009595632553,41.806722689075634,111,1.1523921489715576,0.07804416865110397,38.73873873873874,5,5,56.920886384703785,1.1873825991459532,11.81054195211603,-0.057999527562583954,"{""2020"": 13.107621792885627, ""2021"": 14.606640566809826, ""2022"": 11.75034761551268, ""2023"": 8.469210716202102, ""2024"": 7.991891502129178}"
200.0,0.0,True,long,200.0,1.25,20.0,3.0,be_1r,960,350,-0.08642251044511795,475,1.1623790264129639,0.07246925681829453,40.421052631578945,109,1.1522494554519653,0.07885279506444931,37.61467889908257,5,5,47.497941319014814,1.1602487733800475,10.919739345571776,-0.0582619891362615,"{""2020"": 12.756898731169542, ""2021"": 12.564367408424415, ""2022"": 11.248497138648062, ""2023"": 7.599338941125611, ""2024"": 7.920337289983226}"
