policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
challenge20_current,LTA,US30,M30,2026-06,2026-06-09 01:00:00,2026-06-09 09:00:00,BUY,50837.4,50697.78786,1.304,51019.502791,win,1.2893,93,89.414286,0.015,21.0,0.4271,,"live_adaptive(vol=0.80,volume=0.91)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,289.7,14.49,18.68,308.38
challenge20_current,ORB,XAUUSD,M15,2026-06,2026-06-10 23:15:00,2026-06-11 01:15:00,BUY,4053.897,4023.761,1.304,4093.204826,win,1.3043,95,30.136,0.0001,260.0,0.8646,2.2137,"live_adaptive(vol=1.20,volume=1.14)",challenge20,ORB 15m breakout,308.38,15.42,20.11,328.49
challenge20_current,ORB,XAGUSD,M15,2026-06,2026-06-11 00:15:00,2026-06-11 02:30:00,BUY,62.833,61.354639,1.304,63.076,smart_exit,0.1642,95,1.343,0.0002,30.0,0.9479,3.1264,"live_adaptive(vol=1.44,volume=2.02)",challenge20,ORB 15m breakout,328.49,16.42,2.7,331.18
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-12 23:15:00,2026-06-13 00:30:00,SELL,63403.7,63583.125714,1.304,63583.125714,loss,-1.0001,100,128.753571,0.0001,1000.0,0.5,0.6054,"live_adaptive(vol=0.64,volume=0.48)",challenge20,ORB 15m breakout,331.18,16.56,-16.56,314.62
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-13 23:15:00,2026-06-14 01:15:00,BUY,64451.51,64270.766164,1.304,64687.262829,win,1.3043,95,121.545714,0.0001,1000.0,0.75,0.3575,"live_adaptive(vol=1.01,volume=0.98)",challenge20,ORB 15m breakout,314.62,15.73,20.52,335.14
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-14 23:15:00,2026-06-15 07:45:00,BUY,65596.87,64387.6225,1.304,65634.02,smart_exit,0.0307,100,382.81,0.0,1000.0,1.0,1.2255,"live_adaptive(vol=2.67,volume=2.77)",challenge20,ORB 15m breakout,335.14,16.76,0.51,335.66
challenge20_current,ORB,XAGUSD,M15,2026-06,2026-06-15 23:15:00,2026-06-16 00:45:00,SELL,69.909,70.12275,1.304,69.909,trail_stop,-0.0014,100,0.144429,0.0014,30.0,0.0104,0.5401,"live_adaptive(vol=0.70,volume=0.48)",challenge20,ORB 15m breakout,335.66,16.78,-0.02,335.63
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-16 23:15:00,2026-06-17 01:30:00,SELL,65656.65,65856.597857,1.304,65656.65,trail_stop,-0.0001,100,142.891429,0.0001,1000.0,0.5,0.8359,"live_adaptive(vol=0.68,volume=0.62)",challenge20,ORB 15m breakout,335.63,16.78,-0.0,335.63
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-17 23:15:00,2026-06-18 02:00:00,BUY,64353.81,64008.252857,1.304,64506.79,smart_exit,0.4427,100,262.245,0.0,1000.0,0.6458,0.6405,"live_adaptive(vol=0.75,volume=0.52)",challenge20,ORB 15m breakout,335.63,16.78,7.43,343.06
challenge20_current,LTA,EURUSD,M15,2026-06,2026-06-18 06:00:00,2026-06-18 07:00:00,BUY,1.15222,1.15093,1.304,1.15121,smart_exit,-0.845,90,0.000427,0.062,8.0,0.25,,"live_adaptive(vol=0.99,volume=2.15)",challenge20,Entry Model 3 - Confirmation of Internal Structure,343.06,17.15,-14.49,328.57
challenge20_current,LTA,EURUSD,M30,2026-06,2026-06-19 01:30:00,2026-06-19 04:30:00,SELL,1.1453,1.14661,1.304,1.143591,win,1.2433,96,0.000589,0.0611,8.0,0.2708,,"live_adaptive(vol=0.59,volume=0.50)",challenge20,Entry Model 1 - Double Wick Confirmation,328.57,16.43,20.43,348.99
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-20 23:15:00,2026-06-21 03:30:00,BUY,64223.71,64057.901071,1.304,64223.71,trail_stop,-0.0001,100,114.494286,0.0001,1000.0,0.2083,0.5198,"live_adaptive(vol=0.89,volume=0.82)",challenge20,ORB 15m breakout,348.99,17.45,-0.0,348.99
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-21 23:15:00,2026-06-21 23:45:00,BUY,63713.77,63197.847744,1.304,63197.847744,loss,-1.0,100,197.755,0.0,1000.0,1.0,0.876,"live_adaptive(vol=1.59,volume=1.67)",challenge20,ORB 15m breakout,348.99,17.45,-17.45,331.54
challenge20_current,ORB,XAGUSD,M15,2026-06,2026-06-22 23:15:00,2026-06-23 00:00:00,SELL,65.003,65.215464,1.304,64.725873,win,1.3029,100,0.147643,0.0014,30.0,0.5,0.7992,"live_adaptive(vol=0.60,volume=0.37)",challenge20,ORB 15m breakout,331.54,16.58,21.6,353.14
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-23 23:15:00,2026-06-24 00:00:00,BUY,62534.22,62338.173214,1.304,62789.933199,win,1.3043,100,134.743571,0.0001,1000.0,0.0104,0.928,"live_adaptive(vol=0.66,volume=0.70)",challenge20,ORB 15m breakout,353.14,17.66,23.03,376.17
challenge20_current,LTA,EURUSD,M30,2026-06,2026-06-24 00:00:00,2026-06-24 03:00:00,SELL,1.13742,1.13837,1.304,1.136181,win,1.2201,98,0.000364,0.0842,8.0,0.0312,,"live_adaptive(vol=0.55,volume=0.83)",challenge20,Entry Model 1 - Double Wick Confirmation,376.17,18.81,22.95,399.12
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-25 23:15:00,2026-06-26 00:45:00,BUY,59869.72,59500.383571,1.304,59574.63,smart_exit,-0.799,100,239.658571,0.0,1000.0,0.6146,0.7222,"live_adaptive(vol=0.85,volume=0.56)",challenge20,ORB 15m breakout,399.12,19.96,-15.94,383.17
challenge20_current,LTA,EURUSD,M30,2026-06,2026-06-26 03:00:00,2026-06-26 05:00:00,BUY,1.13635,1.13531,1.304,1.137707,win,1.2274,94,0.000566,0.0769,8.0,0.1979,,"live_adaptive(vol=0.82,volume=0.82)",challenge20,Entry Model 3 - Confirmation of Internal Structure,383.17,19.16,23.52,406.69
