symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
XAUUSD,30,1.1111111111111112,2026-03,2026-03-04,2026-03-04 08:30:00,2026-03-04 08:30:00,BUY,5172.085,5168.485,5176.085,5168.485,loss,-1.0667,0.0667,240.0,-360.0,5172.085,5147.285,1.5378,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-05,2026-03-05 08:30:00,2026-03-05 08:30:00,BUY,5162.368,5158.768,5166.368,5158.768,loss,-1.0667,0.0667,240.0,-360.0,5162.368,5137.536,1.851,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-10,2026-03-10 07:45:00,2026-03-10 07:45:00,BUY,5178.954,5175.354,5182.954,5175.354,loss,-1.1,0.1,360.0,-360.0,5178.954,5158.495,2.9589,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-11,2026-03-11 07:30:00,2026-03-11 07:30:00,SELL,5195.337,5198.937,5191.337,5191.337,win,1.0111,0.1,360.0,400.0,5202.136,5195.337,0.8622,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-12,2026-03-12 07:30:00,2026-03-12 07:30:00,BUY,5170.473,5166.873,5174.473,5174.473,win,1.0111,0.1,360.0,400.0,5170.473,5164.496,0.7982,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-17,2026-03-17 07:30:00,2026-03-17 07:30:00,BUY,5018.663,5015.063,5022.663,5022.663,win,1.0333,0.0778,280.0,400.0,5018.663,5008.82,1.1994,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-18,2026-03-18 07:30:00,2026-03-18 07:30:00,SELL,5005.991,5009.591,5001.991,5009.591,loss,-1.0611,0.0611,220.0,-360.0,5014.88,5005.991,1.2951,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-19,2026-03-19 07:30:00,2026-03-19 07:30:00,SELL,4756.904,4760.504,4752.904,4760.504,loss,-1.0556,0.0556,200.0,-360.0,4784.39,4756.904,2.0163,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-25,2026-03-25 07:30:00,2026-03-25 07:30:00,SELL,4544.624,4548.224,4540.624,4548.224,loss,-1.0778,0.0778,280.0,-360.0,4563.269,4544.624,1.6242,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-26,2026-03-26 07:30:00,2026-03-26 07:30:00,BUY,4460.664,4457.064,4464.664,4457.064,loss,-1.0778,0.0778,280.0,-360.0,4460.664,4438.798,1.3107,360.0,0.01,200.0,0.01
