params,lock_trigger_r,lock_profit_r,full_trades,full_wr,full_pf,full_net_r,full_return,full_dd,train_trades,train_pf,train_net_r,validation_trades,validation_pf,validation_net_r,test_trades,test_wr,test_pf,test_net_r,test_return,test_dd,score
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,66,53.03030303030303,1.1517822859252036,6.6499999999999435,17.53415379766057,21.445815631119686,20,2.285221044565773,8.250000000000092,19,1.1783392293959967,1.9499999999999065,27,40.74074074074074,0.7477704300295774,-3.5500000000000553,-11.46236946855731,21.445815631119718,3.8074387955649156
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,66,53.03030303030303,1.1517822859252036,6.6499999999999435,17.53415379766057,21.445815631119686,20,2.285221044565773,8.250000000000092,19,1.1783392293959967,1.9499999999999065,27,40.74074074074074,0.7477704300295774,-3.5500000000000553,-11.46236946855731,21.445815631119718,3.8074387955649156
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.35, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,66,53.03030303030303,1.1517822859252036,6.6499999999999435,17.53415379766057,21.445815631119686,20,2.285221044565773,8.250000000000092,19,1.1783392293959967,1.9499999999999065,27,40.74074074074074,0.7477704300295774,-3.5500000000000553,-11.46236946855731,21.445815631119718,3.8074387955649156
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.8, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,66,53.03030303030303,1.1517822859252036,6.6499999999999435,17.53415379766057,21.445815631119686,20,2.285221044565773,8.250000000000092,19,1.1783392293959967,1.9499999999999065,27,40.74074074074074,0.7477704300295774,-3.5500000000000553,-11.46236946855731,21.445815631119718,3.8074387955649156
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.12, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,66,78.78787878787878,1.0957289459936403,1.900000000000129,4.519978636281796,12.091737041276795,20,2.115439896437106,3.6000000000000365,19,1.2024290802536972,0.9500000000000708,27,74.07407407407408,0.6158808354673455,-2.649999999999978,-8.046701864848217,12.091737041276765,3.773320764094434
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.12, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.5,0.15,66,71.21212121212122,1.0434593423982155,1.5500000000000267,2.7953987771178745,15.110985495309528,20,1.8926009121935956,3.799999999999992,19,1.1846131246636393,1.3500000000000532,27,66.66666666666666,0.596445736718136,-3.6000000000000183,-10.797454709573529,15.11098549530957,3.7571124652014007
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.05, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.5,0.0,66,24.242424242424242,1.004963043982663,0.9999999999996108,0.37152791226833237,18.64472227838903,20,1.4351876059790374,2.4999999999997335,19,1.2040961467761289,1.5000000000000018,27,22.22222222222222,0.7238966707088523,-3.0000000000001243,-9.6436760345589,18.372226963091435,3.7227366454565782
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.1, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.5,0.0,69,23.18840579710145,1.004913952707292,0.9999999999998519,0.3715279122690207,16.40856487785549,21,1.1519718614846068,0.9999999999999212,20,1.7325056064133382,3.9999999999999005,28,21.428571428571427,0.672794323628613,-3.99999999999997,-12.354365753521757,16.128579668441873,3.6301380234782012
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,66,53.03030303030303,1.0850705500929625,4.0,9.452737208784434,22.047934364071807,20,2.2889935405586668,8.0,19,1.0813930704224652,1.0,27,40.74074074074074,0.6640900430534284,-5.0,-14.972928766071425,22.04793436407179,3.5891630736726863
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.05, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.5,0.15,66,65.15151515151516,0.9551978293518554,-0.3500000000001019,-3.2627923690219385,16.614616799594344,20,1.22190881960531,1.2999999999999376,19,1.1852178174181847,1.3500000000000438,27,55.55555555555556,0.73262684048308,-3.000000000000083,-9.56393147029454,16.614616799594355,3.5754925045678245
