month,day,symbol,side,leg,legs,entry_time,exit_time,entry,sl,initial_sl,tp,exit_price,lot,pnl,balance_after,exit_kind,execution_mode
2025-08,2025-08-26,CL-OIL-VIP,sell,1,1,2025-08-26T14:40:00+00:00,2025-08-26T15:00:00+00:00,63.85,64.20521,64.20521,63.2849,63.52333,0.1,32.67,1031.25,trail,silver_optimized
2025-09,2025-09-03,CL-OIL-VIP,buy,1,1,2025-09-02T15:20:00+00:00,2025-09-03T04:20:00+00:00,65.415,64.8314,64.8314,66.34345,65.395,0.1,-2.0,1029.25,regime,silver_optimized
2025-09,2025-09-04,CL-OIL-VIP,sell,1,1,2025-09-04T12:00:00+00:00,2025-09-04T13:00:00+00:00,63.28,63.69733,63.69733,62.61607,63.04851,0.1,23.15,1052.4,trail,silver_optimized
2025-09,2025-09-04,CL-OIL-VIP,sell,1,1,2025-09-04T13:40:00+00:00,2025-09-04T14:20:00+00:00,63.165,63.63756,63.63756,62.41321,63.325,0.1,-16.0,1036.4,regime,silver_optimized
2025-09,2025-09-17,CL-OIL-VIP,sell,1,1,2025-09-17T12:20:00+00:00,2025-09-17T13:00:00+00:00,63.825,64.09776,64.09776,63.39106,64.0,0.1,-17.5,1018.9,regime,silver_optimized
2025-09,2025-09-19,CL-OIL-VIP,sell,1,1,2025-09-19T11:40:00+00:00,2025-09-19T12:20:00+00:00,62.915,63.29151,63.29151,62.31601,62.885,0.1,3.0,1021.9,regime,silver_optimized
2025-09,2025-09-19,CL-OIL-VIP,sell,1,1,2025-09-19T12:00:00+00:00,2025-09-19T12:40:00+00:00,62.845,63.21897,63.21897,62.25004,62.965,0.1,-12.0,1009.9,regime,silver_optimized
2025-09,2025-09-19,CL-OIL-VIP,sell,1,1,2025-09-19T13:00:00+00:00,2025-09-19T14:00:00+00:00,62.695,63.10523,63.10523,62.04237,62.955,0.1,-26.0,983.9,regime,silver_optimized
2025-09,2025-09-19,CL-OIL-VIP,sell,1,1,2025-09-19T14:20:00+00:00,2025-09-19T15:20:00+00:00,62.72,63.21261,63.21261,61.9363,62.56326,0.1,15.67,999.57,trail,silver_optimized
2025-09,2025-09-30,CL-OIL-VIP,sell,1,1,2025-09-30T11:20:00+00:00,2025-09-30T11:40:00+00:00,62.92,63.33736,63.33736,62.25601,62.53354,0.1,38.65,1038.22,trail,silver_optimized
2025-09,2025-09-30,CL-OIL-VIP,sell,1,1,2025-09-30T11:40:00+00:00,2025-09-30T12:20:00+00:00,62.28,62.77834,62.77834,61.48719,62.37743,0.1,-9.74,1028.48,trail,silver_optimized
2025-11,2025-11-05,CL-OIL-VIP,sell,1,1,2025-11-05T15:20:00+00:00,2025-11-05T15:40:00+00:00,60.147,60.68059,60.68059,59.29811,60.15507,0.1,-0.81,1027.67,trail,silver_optimized
2025-11,2025-11-21,CL-OIL-VIP,sell,1,1,2025-11-21T13:00:00+00:00,2025-11-21T13:40:00+00:00,57.917,58.44825,58.44825,57.07182,57.75337,0.1,16.36,1044.03,trail,silver_optimized
2025-11,2025-11-24,CL-OIL-VIP,sell,1,1,2025-11-24T13:20:00+00:00,2025-11-24T13:40:00+00:00,57.907,58.29542,58.29542,57.28906,58.10949,0.1,-20.25,1023.78,trail,silver_optimized
2025-11,2025-11-25,CL-OIL-VIP,sell,1,1,2025-11-25T11:40:00+00:00,2025-11-25T12:00:00+00:00,57.677,58.17231,58.17231,56.889,57.93723,0.1,-26.02,997.76,trail,silver_optimized
2025-12,2025-12-01,CL-OIL-VIP,sell,1,1,2025-12-01T15:00:00+00:00,2025-12-01T16:00:00+00:00,59.267,59.68398,59.68398,58.60362,59.337,0.1,-7.0,990.76,regime,silver_optimized
2025-12,2025-12-03,CL-OIL-VIP,sell,1,1,2025-12-02T15:00:00+00:00,2025-12-03T05:00:00+00:00,59.037,59.57426,59.57426,58.18227,58.74773,0.1,28.93,1019.69,trail,silver_optimized
2025-12,2025-12-09,CL-OIL-VIP,sell,1,1,2025-12-09T12:00:00+00:00,2025-12-09T12:20:00+00:00,58.877,59.12393,59.12393,58.48416,58.87659,0.1,0.04,1019.73,trail,silver_optimized
2025-12,2025-12-18,CL-OIL-VIP,sell,1,1,2025-12-18T12:40:00+00:00,2025-12-18T13:00:00+00:00,56.027,56.34369,56.34369,55.52318,56.12732,0.1,-10.03,1009.7,trail,silver_optimized
2026-01,2026-01-07,CL-OIL-VIP,sell,1,1,2026-01-07T13:00:00+00:00,2026-01-07T13:40:00+00:00,56.727,57.19625,57.19625,55.98046,56.487,0.1,24.0,1033.7,regime,silver_optimized
2026-01,2026-01-07,CL-OIL-VIP,sell,1,1,2026-01-07T13:20:00+00:00,2026-01-07T14:40:00+00:00,56.447,56.92831,56.92831,55.68129,56.59704,0.1,-15.0,1018.7,trail,silver_optimized
2026-01,2026-01-12,CL-OIL-VIP,sell,1,1,2026-01-12T12:20:00+00:00,2026-01-12T13:00:00+00:00,58.817,59.27685,59.27685,58.08541,58.882,0.1,-6.5,1012.2,regime,silver_optimized
2026-01,2026-01-27,CL-OIL-VIP,sell,1,1,2026-01-27T11:20:00+00:00,2026-01-27T12:00:00+00:00,60.466,60.85427,60.85427,59.8483,60.986,0.1,-52.0,960.2,regime,silver_optimized
2026-02,2026-02-09,CL-OIL-VIP,buy,1,1,2026-02-09T13:20:00+00:00,2026-02-09T13:40:00+00:00,63.866,63.30108,63.30108,64.76473,63.89015,0.1,2.42,962.62,trail,silver_optimized
2026-02,2026-02-11,CL-OIL-VIP,buy,1,1,2026-02-11T15:20:00+00:00,2026-02-11T16:20:00+00:00,65.191,64.64354,64.64354,66.06196,64.846,0.1,-34.5,928.12,regime,silver_optimized
2026-02,2026-02-27,CL-OIL-VIP,buy,1,1,2026-02-27T16:00:00+00:00,2026-02-27T16:20:00+00:00,66.621,65.98802,65.98802,67.62801,66.31565,0.1,-30.53,897.59,trail,silver_optimized
2026-03,2026-03-01,CL-OIL-VIP,buy,1,1,2026-02-27T16:40:00+00:00,2026-03-01T22:00:00+00:00,66.736,66.03818,66.03818,67.84616,74.4505,0.1,771.45,1669.04,trail,silver_optimized
2026-03,2026-03-26,CL-OIL-VIP,buy,1,1,2026-03-26T14:40:00+00:00,2026-03-26T18:20:00+00:00,93.641,92.0936,92.0936,96.10277,94.26062,0.1,61.96,1731.0,trail,silver_optimized
2026-03,2026-03-30,CL-OIL-VIP,buy,1,1,2026-03-30T13:00:00+00:00,2026-03-30T14:20:00+00:00,101.576,99.62226,99.62226,104.68423,102.156,0.1,58.0,1789.0,regime,silver_optimized
2026-04,2026-04-06,CL-OIL-VIP,buy,1,1,2026-04-06T13:00:00+00:00,2026-04-06T13:40:00+00:00,111.819,109.67863,109.67863,115.22413,111.939,0.1,12.0,1801.0,regime,silver_optimized
2026-04,2026-04-16,CL-OIL-VIP,buy,1,1,2026-04-16T12:20:00+00:00,2026-04-16T13:00:00+00:00,88.859,88.05291,88.05291,90.14142,89.109,0.1,25.0,1826.0,regime,silver_optimized
2026-04,2026-04-20,CL-OIL-VIP,buy,1,1,2026-04-20T14:40:00+00:00,2026-04-20T15:20:00+00:00,87.234,85.59506,85.59506,89.84141,87.339,0.1,10.5,1836.5,regime,silver_optimized
2026-04,2026-04-23,CL-OIL-VIP,buy,1,1,2026-04-23T13:20:00+00:00,2026-04-23T14:00:00+00:00,94.004,92.33154,92.33154,96.66473,93.624,0.1,-38.0,1798.5,regime,silver_optimized
2026-04,2026-04-27,CL-OIL-VIP,buy,1,1,2026-04-27T12:20:00+00:00,2026-04-27T13:00:00+00:00,95.914,94.87025,94.87025,97.57451,95.744,0.1,-17.0,1781.5,regime,silver_optimized
2026-04,2026-04-27,CL-OIL-VIP,buy,1,1,2026-04-27T13:20:00+00:00,2026-04-27T13:40:00+00:00,96.089,94.96203,94.96203,97.8819,95.66439,0.1,-42.46,1739.04,trail,silver_optimized
2026-05,2026-05-04,CL-OIL-VIP,buy,1,1,2026-05-04T14:40:00+00:00,2026-05-04T16:00:00+00:00,103.419,100.91645,100.91645,107.40033,104.74897,0.1,133.0,1872.04,trail,silver_optimized
2026-05,2026-05-11,CL-OIL-VIP,buy,1,1,2026-05-11T11:40:00+00:00,2026-05-11T12:20:00+00:00,98.259,97.10182,97.10182,100.09996,97.474,0.1,-78.5,1793.54,regime,silver_optimized
2026-05,2026-05-15,CL-OIL-VIP,buy,1,1,2026-05-15T11:20:00+00:00,2026-05-15T12:00:00+00:00,99.744,98.44978,98.44978,101.80298,99.674,0.1,-7.0,1786.54,regime,silver_optimized
2026-05,2026-05-15,CL-OIL-VIP,buy,1,1,2026-05-15T11:00:00+00:00,2026-05-15T13:00:00+00:00,99.279,97.97577,97.97577,101.35233,99.414,0.1,13.5,1800.04,regime,silver_optimized
2026-05,2026-05-15,CL-OIL-VIP,buy,1,1,2026-05-15T13:40:00+00:00,2026-05-15T15:40:00+00:00,99.844,98.63068,98.63068,101.77428,100.24659,0.1,40.26,1840.3,trail,silver_optimized
2026-05,2026-05-17,CL-OIL-VIP,buy,1,1,2026-05-15T14:20:00+00:00,2026-05-17T22:00:00+00:00,99.854,98.58715,98.58715,101.86944,101.93765,0.1,208.37,2048.67,trail,silver_optimized
2026-05,2026-05-19,CL-OIL-VIP,buy,1,1,2026-05-19T14:40:00+00:00,2026-05-19T18:00:00+00:00,103.449,102.02459,102.02459,105.71511,103.06307,0.1,-38.59,2010.08,trail,silver_optimized
2026-05,2026-05-26,CL-OIL-VIP,buy,1,1,2026-05-26T11:00:00+00:00,2026-05-26T12:20:00+00:00,92.269,91.15052,91.15052,94.04839,92.43056,0.1,16.16,2026.24,trail,silver_optimized
