time,open,high,low,close,tick_volume,spread,real_volume
2025.09.16 08:00:00,24378.84,24423.59,24373.06,24380.52,19161,0,0
2025.09.16 12:00:00,24380.69,24384.99,24281.17,24287.42,106575,0,0
2025.09.16 16:00:00,24287.33,24341.05,24277.92,24303.01,58642,0,0
2025.09.16 20:00:00,24302.82,24330.33,24300.1,24321.92,6572,0,0
2025.09.17 00:00:00,24321.84,24328.67,24292.34,24297.41,8312,0,0
2025.09.17 04:00:00,24297.58,24331.67,24280.85,24329.08,11737,0,0
2025.09.17 08:00:00,24328.91,24329.09,24235.44,24281.83,31422,0,0
2025.09.17 12:00:00,24282.09,24321.52,24178.04,24187.58,97404,0,0
2025.09.17 16:00:00,24187.41,24326.23,24017.17,24252.23,486416,0,0
2025.09.17 20:00:00,24251.99,24365.03,24246.72,24361.48,16761,0,0
2025.09.18 00:00:00,24361.57,24422.98,24338.52,24414.54,13294,0,0
2025.09.18 04:00:00,24414.59,24448.48,24364.67,24441.46,20801,0,0
2025.09.18 08:00:00,24441.47,24532.02,24434.39,24519.5,32444,0,0
2025.09.18 12:00:00,24519.7,24593.0,24375.8,24515.66,167854,0,0
2025.09.18 16:00:00,24515.34,24575.47,24474.81,24475.74,93878,0,0
2025.09.18 20:00:00,24475.81,24528.98,24463.81,24520.9,10810,0,0
2025.09.19 00:00:00,24520.67,24529.71,24476.02,24493.65,17931,0,0
2025.09.19 04:00:00,24493.83,24504.35,24436.12,24466.62,27885,0,0
2025.09.19 08:00:00,24466.6,24518.67,24461.65,24518.67,21103,0,0
2025.09.19 12:00:00,24518.72,24595.86,24490.02,24553.09,132249,0,0
2025.09.19 16:00:00,24552.95,24667.92,24551.91,24640.41,61980,0,0
2025.09.19 20:00:00,24640.17,24660.1,24633.43,24636.34,5106,0,0
2025.09.21 20:00:00,24636.94,24651.09,24611.61,24635.63,6222,0,0
2025.09.22 00:00:00,24635.38,24660.0,24612.84,24643.42,12860,0,0
2025.09.22 04:00:00,24643.33,24646.33,24535.04,24571.54,18784,0,0
2025.09.22 08:00:00,24571.74,24610.49,24545.98,24574.53,26134,0,0
2025.09.22 12:00:00,24574.29,24723.17,24551.52,24695.96,86845,0,0
2025.09.22 16:00:00,24695.73,24811.34,24694.92,24783.35,77132,0,0
2025.09.22 20:00:00,24783.15,24791.27,24761.93,24784.77,8270,0,0
2025.09.23 00:00:00,24784.92,24794.63,24772.97,24790.2,7972,0,0
2025.09.23 04:00:00,24790.0,24802.19,24765.24,24787.46,12050,0,0
2025.09.23 08:00:00,24787.15,24813.44,24760.64,24787.71,14679,0,0
2025.09.23 12:00:00,24787.76,24797.94,24717.16,24733.16,107059,0,0
2025.09.23 16:00:00,24732.97,24741.44,24567.17,24616.91,150355,0,0
2025.09.23 20:00:00,24616.84,24652.45,24610.93,24632.47,9368,0,0
2025.09.24 00:00:00,24632.32,24636.84,24603.17,24627.61,12052,0,0
2025.09.24 04:00:00,24627.63,24689.52,24626.38,24689.25,13484,0,0
2025.09.24 08:00:00,24689.5,24703.61,24667.63,24680.62,17220,0,0
2025.09.24 12:00:00,24680.37,24690.08,24469.13,24469.83,124820,0,0
2025.09.24 16:00:00,24470.04,24546.58,24420.2,24529.4,112826,0,0
2025.09.24 20:00:00,24529.31,24551.45,24529.31,24550.32,7313,0,0
2025.09.25 00:00:00,24550.25,24587.59,24547.26,24580.14,8754,0,0
2025.09.25 04:00:00,24580.43,24582.86,24488.94,24531.51,16553,0,0
2025.09.25 08:00:00,24531.56,24555.91,24381.75,24388.69,35618,0,0
2025.09.25 12:00:00,24388.51,24490.48,24217.3,24471.76,221940,0,0
2025.09.25 16:00:00,24471.69,24485.46,24248.22,24424.42,177832,0,0
2025.09.25 20:00:00,24424.64,24461.91,24405.47,24413.7,14313,0,0
2025.09.26 00:00:00,24413.95,24429.5,24376.09,24391.76,18458,0,0
2025.09.26 04:00:00,24391.52,24469.38,24372.79,24442.93,27318,0,0
2025.09.26 08:00:00,24443.19,24455.98,24366.79,24436.83,35589,0,0
2025.09.26 12:00:00,24436.74,24543.18,24316.53,24376.77,253231,0,0
2025.09.26 16:00:00,24376.96,24532.48,24364.44,24521.0,114210,0,0
2025.09.26 20:00:00,24521.2,24541.49,24517.03,24522.81,3851,0,0
2025.09.28 20:00:00,24534.24,24583.06,24529.93,24577.35,9046,0,0
2025.09.29 00:00:00,24577.55,24623.32,24570.46,24620.11,13252,0,0
2025.09.29 04:00:00,24620.3,24669.69,24618.87,24658.91,15736,0,0
2025.09.29 08:00:00,24658.7,24707.09,24657.43,24682.28,21835,0,0
2025.09.29 12:00:00,24682.38,24779.44,24637.61,24655.65,137572,0,0
2025.09.29 16:00:00,24655.42,24675.76,24586.12,24642.48,95571,0,0
2025.09.29 20:00:00,24642.37,24651.52,24610.95,24631.49,8888,0,0
2025.09.30 00:00:00,24631.26,24664.08,24613.82,24649.25,15385,0,0
2025.09.30 04:00:00,24649.44,24664.47,24563.67,24599.32,26525,0,0
2025.09.30 08:00:00,24598.49,24628.68,24572.46,24612.94,33473,0,0
2025.09.30 12:00:00,24613.17,24671.72,24532.43,24620.52,174019,0,0
2025.09.30 16:00:00,24620.71,24722.53,24541.53,24705.95,110850,0,0
2025.09.30 20:00:00,24706.04,24710.06,24631.71,24641.4,17400,0,0
2025.10.01 00:00:00,24641.49,24647.63,24573.47,24582.44,19932,0,0
2025.10.01 04:00:00,24582.3,24592.55,24445.06,24483.04,36118,0,0
2025.10.01 08:00:00,24482.95,24612.4,24465.05,24608.3,38474,0,0
2025.10.01 12:00:00,24608.07,24745.49,24535.81,24738.49,156098,0,0
2025.10.01 16:00:00,24738.56,24843.62,24737.51,24822.69,68667,0,0
2025.10.01 20:00:00,24822.53,24841.4,24803.48,24835.65,9505,0,0
2025.10.02 00:00:00,24835.58,24889.62,24832.71,24877.26,14087,0,0
2025.10.02 04:00:00,24877.41,24900.91,24864.97,24890.4,19311,0,0
