id,core,offset,stop,trail_start,trail_distance,use_session,session_start,session_end,long,short,max_spread,volume_ratio,range_atr,stage,from,to,report,initial,final,net,return_pct,pf,win_rate,dd_amount,dd_pct,trades,wins,commission,swap,quality,min_balance,survived
balanced-ny-full,balanced,0.4,0.6,0.9,0.45,True,13,21,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-full.htm,50.0,8610.1,8560.1,17120.2,3.49,61.04,16.58,0.5,11124,6790,-667.4399999998765,-0.52,100.0,49.27,True
balanced-overlap,balanced,0.4,0.6,0.9,0.45,True,13,16,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-overlap.htm,50.0,6158.73,6108.73,12217.46,4.98,67.68,9.16,0.78,5835,3949,-350.10000000001173,0.0,100.0,49.27,True
protected-all,protected,0.5,0.8,1.2,0.6,False,0,0,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\protected-all.htm,50.0,13198.85,13148.85,26297.700000000004,2.33,54.68,43.94,0.42,22312,12201,-1338.719999999266,-5.700000000000001,100.0,49.94,True
protected-asia,protected,0.5,0.8,1.2,0.6,True,0,8,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\protected-asia.htm,50.0,4178.21,4128.21,8256.42,2.18,54.52,22.62,0.58,7986,4354,-479.1600000000166,0.0,100.0,49.94,True
protected-london,protected,0.5,0.8,1.2,0.6,True,7,12,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\protected-london.htm,50.0,1562.24,1512.24,3024.48,1.73,49.43,30.23,2.13,4291,2121,-257.4600000000082,0.0,100.0,49.94,True
protected-ny-open,protected,0.5,0.8,1.2,0.6,True,13,18,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\protected-ny-open.htm,50.0,5152.55,5102.55,10205.1,3.01,59.11,19.81,0.46,6329,3741,-379.74000000001286,0.0,100.0,49.06,True
protected-ny-full,protected,0.5,0.8,1.2,0.6,True,13,21,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\protected-ny-full.htm,50.0,6048.92,5998.92,11997.84,2.68,56.77,34.47,0.77,8378,4756,-502.6800000000175,-0.52,100.0,49.06,True
protected-overlap,protected,0.5,0.8,1.2,0.6,True,13,16,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\protected-overlap.htm,50.0,4480.15,4430.15,8860.3,3.54,61.75,17.81,1.86,4630,2859,-277.800000000009,0.0,100.0,49.06,True
wide-all,wide,0.6,1.0,1.5,0.75,False,0,0,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\wide-all.htm,50.0,9321.45,9271.45,18542.9,1.97,51.64,65.55,0.87,16953,8754,-1017.1799999995584,-4.67,100.0,49.65,True
wide-asia,wide,0.6,1.0,1.5,0.75,True,0,8,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\wide-asia.htm,50.0,2823.03,2773.03,5546.06,1.82,51.4,30.09,1.15,6014,3091,-360.84000000001214,0.0,100.0,49.65,True
wide-london,wide,0.6,1.0,1.5,0.75,True,7,12,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\wide-london.htm,50.0,1010.42,960.42,1920.8399999999997,1.49,46.73,44.05,17.79,3212,1501,-192.72000000000577,0.0,100.0,48.82,True
wide-ny-open,wide,0.6,1.0,1.5,0.75,True,13,18,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\wide-ny-open.htm,50.0,3739.91,3689.91,7379.82,2.44,55.31,25.15,0.81,4900,2710,-294.0000000000096,0.0,100.0,48.87,True
wide-ny-full,wide,0.6,1.0,1.5,0.75,True,13,21,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\wide-ny-full.htm,50.0,4468.92,4418.92,8837.84,2.25,53.87,60.51,1.82,6421,3459,-385.26000000001306,-0.52,100.0,48.87,True
wide-overlap,wide,0.6,1.0,1.5,0.75,True,13,16,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\wide-overlap.htm,50.0,3421.75,3371.75,6743.5,2.88,58.38,13.39,0.91,3669,2142,-220.1400000000068,0.0,100.0,48.87,True
literal-all-long,literal,0.4,0.5,0.8,0.45,False,0,0,True,False,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-all-long.htm,50.0,8227.35,8177.35,16354.699999999999,2.54,53.82,23.43,0.66,17127,9217,-1027.619999999549,-6.229999999999999,100.0,49.94,True
literal-all-short,literal,0.4,0.5,0.8,0.45,False,0,0,False,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-all-short.htm,50.0,8397.55,8347.55,16695.1,2.61,55.54,19.91,0.32,17368,9647,-1042.0799999995359,0.0,100.0,49.94,True
balanced-ny-long,balanced,0.4,0.6,0.9,0.45,True,13,18,True,False,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-long.htm,50.0,2792.24,2742.24,5484.48,2.99,57.26,14.26,0.64,4190,2399,-251.400000000008,0.0,100.0,49.27,True
balanced-ny-short,balanced,0.4,0.6,0.9,0.45,True,13,18,False,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-short.htm,50.0,2870.27,2820.27,5640.54,3.12,59.61,10.24,0.41,4241,2528,-254.4600000000081,0.0,100.0,49.94,True
balanced-ny-volume08,balanced,0.4,0.6,0.9,0.45,True,13,18,True,True,0.5,0.8,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-volume08.htm,50.0,5389.88,5339.88,10679.76,3.94,63.57,10.68,0.55,6272,3987,-376.3200000000127,0.0,100.0,49.27,True
balanced-ny-spread035,balanced,0.4,0.6,0.9,0.45,True,13,18,True,True,0.35,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-spread035.htm,50.0,7132.45,7082.45,14164.9,3.98,63.99,12.85,0.83,8258,5284,-495.48000000001724,0.0,100.0,49.27,True
balanced-ny-range05,balanced,0.4,0.6,0.9,0.45,True,13,18,True,True,0.5,0.0,0.5,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-range05.htm,50.0,6921.38,6871.38,13742.760000000002,3.94,63.7,13.23,0.87,8083,5149,-484.98000000001684,0.0,100.0,49.27,True
