bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
NewsPulse,BTCUSD,M1,2026-06,2026-06-03 18:00:00,2026-06-03 18:11:00,BUY,65921.41,65808.75,66146.73,65808.75,loss,-1.1243,80,0.1243,1400.0,73.231429,News straddle buy pulse around 14:00 NY.,126.25,6.31,-7.1,119.15
NewsPulse,US30,M1,2026-06,2026-06-03 18:00:00,2026-06-03 18:30:00,SELL,50934.7,50960.2,50883.7,50960.2,loss,-1.0824,84,0.0824,21.0,10.55,News straddle sell pulse around 14:00 NY.,119.15,5.96,-6.45,112.7
Trend,BTCUSD,H1,2026-06,2026-06-03 20:00:00,2026-06-03 21:00:00,SELL,64910.91,65757.215357,62371.993929,65757.215357,loss,-1.0165,89,0.0165,1400.0,564.203571,EMA trend aligned with ADX breakdown.,112.7,5.64,-5.73,106.97
Trend,US30,H1,2026-06,2026-06-04 12:00:00,2026-06-04 16:00:00,BUY,51273.1,51139.567857,51673.696429,51673.696429,win,1.9843,89,0.0157,21.0,89.021429,EMA trend aligned with ADX breakout.,106.97,5.35,10.61,117.59
NewsPulse,US30,M1,2026-06,2026-06-04 12:30:00,2026-06-04 12:30:00,BUY,51257.5,51241.2,51290.1,51241.2,loss,-1.1411,78,0.1411,23.0,18.292857,News straddle buy pulse around 08:30 NY.,117.59,5.88,-6.71,110.88
NewsPulse,BTCUSD,M1,2026-06,2026-06-04 14:00:00,2026-06-04 14:30:00,BUY,64113.41,63779.51,64781.21,63961.13,timeout,-0.4863,89,0.0302,1008.0,146.255,News straddle buy pulse around 10:00 NY.,110.88,5.54,-2.7,108.18
NewsPulse,US30,M1,2026-06,2026-06-04 14:00:00,2026-06-04 14:12:00,BUY,51543.7,51504.2,51622.7,51504.2,loss,-1.0532,87,0.0532,21.0,34.171429,News straddle buy pulse around 10:00 NY.,108.18,5.41,-5.7,102.48
NewsPulse,XAGUSD,M1,2026-06,2026-06-04 14:00:00,2026-06-04 14:30:00,SELL,74.334,74.606,73.79,73.927,timeout,1.1379,81,0.1103,30.0,0.118143,News straddle sell pulse around 10:00 NY.,102.48,5.12,5.83,108.31
Trend,US30,H1,2026-06,2026-06-04 16:00:00,2026-06-05 13:00:00,BUY,51674.2,51489.453571,52228.439286,51489.453571,loss,-1.0114,90,0.0114,21.0,123.164286,EMA trend aligned with ADX breakout.,108.31,5.42,-5.48,102.84
NewsPulse,US30,M1,2026-06,2026-06-04 18:00:00,2026-06-04 18:19:00,SELL,51590.6,51611.1,51549.6,51590.6,trail_stop,0.3976,82,0.1024,21.0,11.414286,News straddle sell pulse around 14:00 NY.,102.84,5.14,2.04,104.88
Trend,XAUUSD,H1,2026-06,2026-06-05 12:00:00,2026-06-05 12:00:00,SELL,4406.296,4434.133429,4322.783714,4434.133429,loss,-1.1006,81,0.1006,280.0,18.558286,EMA trend aligned with ADX breakdown.,104.88,5.24,-5.77,99.11
Trend,BTCUSD,H1,2026-06,2026-06-05 13:00:00,2026-06-05 13:00:00,SELL,60677.36,62158.603571,56233.629286,62158.603571,loss,-1.0068,90,0.0068,1008.0,987.495714,EMA trend aligned with ADX breakdown.,99.11,4.96,-4.99,94.12
Trend,XAUUSD,H1,2026-06,2026-06-05 13:00:00,2026-06-05 13:00:00,SELL,4365.771,4398.140786,4268.661643,4398.140786,loss,-1.0865,82,0.0865,280.0,21.579857,EMA trend aligned with ADX breakdown.,94.12,4.71,-5.11,89.01
NewsPulse,US30,M1,2026-06,2026-06-05 14:00:00,2026-06-05 14:02:00,SELL,51446.4,51487.0,51365.2,51487.0,loss,-1.0517,87,0.0517,21.0,40.342857,News straddle sell pulse around 10:00 NY.,89.01,4.45,-4.68,84.33
NewsPulse,XAGUSD,M1,2026-06,2026-06-05 14:00:00,2026-06-05 14:30:00,SELL,69.657,70.189,68.593,69.339,timeout,0.7425,86,0.0564,30.0,0.2015,News straddle sell pulse around 10:00 NY.,84.33,4.22,3.13,87.46
Trend,XAUUSD,H1,2026-06,2026-06-05 15:00:00,2026-06-05 15:00:00,SELL,4335.571,4371.294036,4228.401893,4371.294036,loss,-1.0728,84,0.0728,260.0,23.815357,EMA trend aligned with ADX breakdown.,87.46,4.37,-4.69,82.77
NewsPulse,BTCUSD,M1,2026-06,2026-06-05 18:00:00,2026-06-05 18:00:00,BUY,60866.2,60788.506286,61021.587429,60788.506286,loss,-1.1297,79,0.1297,1008.0,97.117143,News straddle buy pulse around 14:00 NY.,82.77,4.14,-4.68,78.09
NewsPulse,US30,M1,2026-06,2026-06-05 18:00:00,2026-06-05 18:02:00,BUY,51249.7,51224.2,51300.7,51224.2,loss,-1.0824,84,0.0824,21.0,16.592857,News straddle buy pulse around 14:00 NY.,78.09,3.9,-4.23,73.87
Trend,BTCUSD,H1,2026-06,2026-06-05 18:00:00,2026-06-05 20:00:00,SELL,59359.96,61138.168214,54025.335357,61138.168214,loss,-1.0057,90,0.0057,1008.0,1185.472143,EMA trend aligned with ADX breakdown.,73.87,3.69,-3.71,70.15
NewsPulse,BTCUSD,M1,2026-06,2026-06-06 12:30:00,2026-06-06 12:34:00,SELL,60617.83,60797.28,60258.93,60797.28,loss,-1.0562,86,0.0562,1008.0,65.149286,News straddle sell pulse around 08:30 NY.,70.15,3.51,-3.7,66.45
NewsPulse,BTCUSD,M1,2026-06,2026-06-06 18:00:00,2026-06-06 18:08:00,BUY,60567.84,60444.78,60813.96,60444.78,loss,-1.0819,84,0.0819,1008.0,56.424286,News straddle buy pulse around 14:00 NY.,66.45,3.32,-3.59,62.85
NewsPulse,BTCUSD,M1,2026-06,2026-06-07 12:30:00,2026-06-07 12:34:00,SELL,61872.52,61980.48,61656.6,61656.6,win,1.9066,83,0.0934,1008.0,110.978571,News straddle sell pulse around 08:30 NY.,62.85,3.14,5.99,68.84
NewsPulse,BTCUSD,M1,2026-06,2026-06-07 14:00:00,2026-06-07 14:17:00,SELL,61714.14,61799.57,61543.28,61799.57,loss,-1.118,80,0.118,1008.0,51.470714,News straddle sell pulse around 10:00 NY.,68.84,3.44,-3.85,65.0
Grid,AUDUSD,M15,2026-06,2026-06-08 05:45:00,2026-06-08 07:00:00,BUY,0.70369,0.702901,0.704794,0.704794,win,1.0859,77,0.1141,9.0,0.000584,Range grid buy at lower Bollinger band.,65.0,3.25,3.53,68.52
Grid,GBPUSD,M15,2026-06,2026-06-08 05:45:00,2026-06-08 06:00:00,BUY,1.33279,1.331976,1.333929,1.33279,trail_stop,0.3771,76,0.1229,10.0,0.000603,Range grid buy at lower Bollinger band.,68.52,3.43,1.29,69.82
Grid,GBPUSD,M15,2026-06,2026-06-08 06:00:00,2026-06-08 07:00:00,BUY,1.33233,1.331483,1.333515,1.333515,win,1.2819,76,0.1181,10.0,0.000627,Range grid buy at lower Bollinger band.,69.82,3.49,4.47,74.29
NewsPulse,BTCUSD,M1,2026-06,2026-06-08 12:30:00,2026-06-08 12:30:00,BUY,63194.02,63079.26,63423.54,63079.26,loss,-1.0878,83,0.0878,1008.0,83.843571,News straddle buy pulse around 08:30 NY.,74.29,3.71,-4.04,70.25
NewsPulse,US30,M1,2026-06,2026-06-08 12:30:00,2026-06-08 12:47:00,BUY,51119.3,51087.6,51182.7,51087.6,loss,-1.0662,85,0.0662,21.0,14.757143,News straddle buy pulse around 08:30 NY.,70.25,3.51,-3.75,66.51
NewsPulse,XAGUSD,M1,2026-06,2026-06-08 12:30:00,2026-06-08 12:49:00,BUY,68.637,68.427,69.057,68.637,trail_stop,0.3571,78,0.1429,30.0,0.109286,News straddle buy pulse around 08:30 NY.,66.51,3.33,1.19,67.69
NewsPulse,US30,M1,2026-06,2026-06-08 14:00:00,2026-06-08 14:01:00,SELL,51083.1,51133.7,50981.9,51133.7,loss,-1.0415,88,0.0415,21.0,39.821429,News straddle sell pulse around 10:00 NY.,67.69,3.38,-3.53,64.17
NewsPulse,BTCUSD,M1,2026-06,2026-06-08 18:00:00,2026-06-08 18:08:00,BUY,63552.08,63486.03,63684.18,63486.03,loss,-1.1514,77,0.1514,1000.0,44.07,News straddle buy pulse around 14:00 NY.,64.17,3.21,-3.69,60.47
NewsPulse,US30,M1,2026-06,2026-06-08 18:00:00,2026-06-08 18:05:00,BUY,50914.8,50897.3,50949.8,50949.8,win,1.38,80,0.12,21.0,17.628571,News straddle buy pulse around 14:00 NY.,60.47,3.02,4.17,64.65
Grid,AUDUSD,M15,2026-06,2026-06-09 06:00:00,2026-06-09 06:00:00,SELL,0.70662,0.707342,0.705609,0.705609,win,1.2754,76,0.1246,9.0,0.000535,Range grid sell at upper Bollinger band.,64.65,3.23,4.12,68.77
NewsPulse,BTCUSD,M1,2026-06,2026-06-09 12:30:00,2026-06-09 12:59:00,SELL,62586.9,62691.18,62378.34,62586.9,trail_stop,0.4041,82,0.0959,1000.0,45.873571,News straddle sell pulse around 08:30 NY.,68.77,3.44,1.39,70.16
NewsPulse,US30,M1,2026-06,2026-06-09 12:30:00,2026-06-09 12:35:00,BUY,51023.5,50998.0,51074.5,51074.5,win,1.4176,84,0.0824,21.0,11.507143,News straddle buy pulse around 08:30 NY.,70.16,3.51,4.97,75.13
Trend,BTCUSD,H1,2026-06,2026-06-09 13:00:00,2026-06-09 17:00:00,SELL,62225.13,62875.923214,60272.750357,61574.336786,trail_stop,0.9846,89,0.0154,1000.0,433.862143,EMA trend aligned with ADX breakdown.,75.13,3.76,3.7,78.83
NewsPulse,US30,M1,2026-06,2026-06-09 14:00:00,2026-06-09 14:01:00,SELL,51251.1,51300.4,51152.5,51300.4,loss,-1.0467,87,0.0467,23.0,33.721429,News straddle sell pulse around 10:00 NY.,78.83,3.94,-4.13,74.7
NewsPulse,BTCUSD,M1,2026-06,2026-06-09 18:00:00,2026-06-09 18:03:00,BUY,61669.51,61603.16,61802.21,61603.16,loss,-1.1507,77,0.1507,1000.0,70.016429,News straddle buy pulse around 14:00 NY.,74.7,3.74,-4.3,70.41
NewsPulse,US30,M1,2026-06,2026-06-09 18:00:00,2026-06-09 18:10:00,SELL,50797.2,50830.6,50730.4,50830.6,loss,-1.0629,86,0.0629,21.0,28.985714,News straddle sell pulse around 14:00 NY.,70.41,3.52,-3.74,66.66
Grid,GBPUSD,M15,2026-06,2026-06-10 03:00:00,2026-06-10 05:30:00,SELL,1.33849,1.339342,1.337297,1.339342,loss,-1.1173,76,0.1173,10.0,0.000631,Range grid sell at upper Bollinger band.,66.66,3.33,-3.72,62.94
Grid,AUDUSD,M15,2026-06,2026-06-10 04:30:00,2026-06-10 07:00:00,BUY,0.70157,0.700861,0.702562,0.70157,trail_stop,0.373,75,0.127,9.0,0.000525,Range grid buy at lower Bollinger band.,62.94,3.15,1.17,64.11
NewsPulse,BTCUSD,M1,2026-06,2026-06-10 12:30:00,2026-06-10 12:30:00,BUY,61463.34,61375.2,61639.62,61375.2,loss,-1.1135,81,0.1135,1000.0,92.192143,News straddle buy pulse around 08:30 NY.,64.11,3.21,-3.57,60.54
NewsPulse,XAGUSD,M1,2026-06,2026-06-10 12:30:00,2026-06-10 12:30:00,BUY,64.931,64.502,65.789,64.502,loss,-1.0466,87,0.0466,20.0,0.211357,News straddle buy pulse around 08:30 NY.,60.54,3.03,-3.17,57.38
