asset,symbol,phase,label,return_pct,profit_factor,win_rate_pct,position_profit_factor,position_win_rate_pct,position_trades,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality,path
XAU,XAUUSD,risk-final,overall-risk-1.0,23.1952,1.91,45.35,1.9094516283337124,45.348837209302324,86,5.69,86,6.47,3.27,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\risk-final\xau--risk-final--overall-risk-1.0--m1e0--3d9bdaef9965.htm
XAU,XAUUSD,risk-final,overall-risk-1.25,31.1628,1.87,44.83,1.8753546328391415,44.827586206896555,87,7.05,87,6.38,3.33,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\risk-final\xau--risk-final--overall-risk-1.25--m1e0--02729f89f7d7.htm
XAU,XAUUSD,recommended-locked,overall-1.25pct-real,2.7851999999999997,1.37,42.86,1.3672177834032118,42.857142857142854,21,5.31,21,4.43,0.49,67% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-locked\xau--recommended-locked--overall-1.25pct-real--m4e0--02729f89f7d7.htm
XAU,XAUUSD,recommended-3y,overall-1.25pct,30.272199999999998,1.83,44.83,1.828322351859554,44.827586206896555,87,7.05,87,6.16,3.24,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-3y\xau--recommended-3y--overall-1.25pct--m0e0--02729f89f7d7.htm
XAU,XAUUSD,recommended-5y,overall-1.25pct,41.988400000000006,1.79,45.31,1.7933086709920232,45.3125,128,7.27,128,5.24,3.94,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-5y\xau--recommended-5y--overall-1.25pct--m0e0--02729f89f7d7.htm
XAU,XAUUSD,recommended-stress,overall-random-delay,30.274600000000003,1.82,44.83,1.826772771712118,44.827586206896555,87,7.07,87,6.13,3.22,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-stress\xau--recommended-stress--overall-random-delay--m0er1--02729f89f7d7.htm
XAU,XAUUSD,recommended-stress,overall-500ms,30.237199999999998,1.82,44.83,1.8265482129433472,44.827586206896555,87,7.07,87,6.14,3.22,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-stress\xau--recommended-stress--overall-500ms--m0e500--02729f89f7d7.htm
XAU,XAUUSD,recommended-safe,overall-markov-3y,31.0488,3.91,65.79,3.929878365243977,65.78947368421053,38,4.58,38,13.77,5.43,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-safe\xau--recommended-safe--overall-markov-3y--m0e0--c188d81edc15.htm
XAU,XAUUSD,recommended-safe,overall-markov-locked-real,4.618399999999999,2.1,53.33,2.1045897012747843,53.333333333333336,15,2.59,15,6.69,1.67,67% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\recommended-safe\xau--recommended-safe--overall-markov-locked-real--m4e0--c188d81edc15.htm
XAG,XAGUSD,cross-market-final,xau-overall-frozen-3y,18.798099999999998,1.94,50.82,1.9681059256131097,50.81967213114754,61,3.18,61,5.3,5.02,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAG\cross-market-final\xag--cross-market-final--xau-overall-frozen-3y--m0e0--02729f89f7d7.htm
XAG,XAGUSD,cross-market-final,xau-overall-frozen-locked-real,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,67%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAG\cross-market-final\xag--cross-market-final--xau-overall-frozen-locked-real--m4e0--02729f89f7d7.htm
XAU,XAUUSD,highwr-development,partial-2r,19.6813,2.28,68.55,2.3858801659003053,65.33333333333333,75,2.57,124,7.51,6.36,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-development\xau--highwr-development--partial-2r--m0e0--58e6c51d8df9.htm
XAU,XAUUSD,highwr-validation,partial-2r,2.2111,1.28,61.22,1.2862265372168284,51.515151515151516,33,4.15,49,2.33,0.5,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-validation\xau--highwr-validation--partial-2r--m0e0--58e6c51d8df9.htm
XAU,XAUUSD,highwr-locked,partial-2r,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,67%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-locked\xau--highwr-locked--partial-2r--m4e0--58e6c51d8df9.htm
XAU,XAUUSD,highwr-3y,partial-2r,15.8909,1.75,64.89,1.7748936958726693,56.97674418604651,86,4.45,131,6.08,3.04,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-3y\xau--highwr-3y--partial-2r--m0e0--58e6c51d8df9.htm
XAU,XAUUSD,highwr-development,target-0p5r,9.7706,1.57,67.9,1.5818915973343022,67.90123456790124,81,3.04,81,5.81,2.86,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-development\xau--highwr-development--target-0p5r--m0e0--aed6bffa4275.htm
XAU,XAUUSD,highwr-validation,target-0p5r,-0.2672,0.97,58.82,0.9703496565575863,58.82352941176471,34,4.64,34,-0.38,-0.06,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-validation\xau--highwr-validation--target-0p5r--m0e0--aed6bffa4275.htm
XAU,XAUUSD,highwr-locked,target-0p5r,-0.08880000000000002,0.98,57.89,0.9812681938995061,57.89473684210527,19,3.26,19,-0.35,-0.03,67% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-locked\xau--highwr-locked--target-0p5r--m4e0--aed6bffa4275.htm
XAU,XAUUSD,highwr-3y,target-0p5r,4.8479,1.22,63.33,1.224307930059641,63.33333333333333,90,4.97,90,2.82,0.89,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-3y\xau--highwr-3y--target-0p5r--m0e0--aed6bffa4275.htm
XAU,XAUUSD,highwr-development,markov-safe,15.6218,4.01,61.9,4.038137653396604,61.904761904761905,21,3.06,21,10.95,5.06,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-development\xau--highwr-development--markov-safe--m0e0--c188d81edc15.htm
XAU,XAUUSD,highwr-validation,markov-safe,4.128699999999999,1.85,50.0,1.8507696428939397,50.0,14,3.79,14,2.34,1.01,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-validation\xau--highwr-validation--markov-safe--m0e0--c188d81edc15.htm
XAU,XAUUSD,highwr-final,markov-safe-5y,32.0843,3.26,60.42,3.269414402625604,60.416666666666664,48,4.55,48,10.84,5.61,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-final\xau--highwr-final--markov-safe-5y--m0e0--c188d81edc15.htm
XAU,XAUUSD,highwr-stress,markov-safe-random,31.101499999999998,3.92,65.79,3.9430996631212385,65.78947368421053,38,4.57,38,13.76,5.46,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-stress\xau--highwr-stress--markov-safe-random--m0er1--c188d81edc15.htm
XAU,XAUUSD,highwr-stress,markov-safe-500ms,31.0504,3.91,65.79,3.9306377476380594,65.78947368421053,38,4.58,38,13.75,5.43,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\highwr-stress\xau--highwr-stress--markov-safe-500ms--m0e500--c188d81edc15.htm
