instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
GBPJPY,GBPJPYb,2025-10-31,buy,confirmed_close,opposite,fixed,0.5,2025-10-31 09:45:00+00:00,2025-10-31 14:09:00+00:00,202.794,202.18,203.101,202.18,-1.0,loss,30.394949900099974,-30.394949900099974,952.3750968697992,202.757,202.18,0.5769999999999982,1.4056428571428552,0.4104883378220431,-1.0,False
GBPJPY,GBPJPYb,2025-11-03,buy,confirmed_close,opposite,fixed,0.5,2025-11-03 08:15:00+00:00,2025-11-03 10:40:00+00:00,202.64,202.228,202.84599999999998,202.228,-1.0,loss,28.642879444340178,-28.642879444340178,897.4768892559921,202.629,202.228,0.40099999999998204,1.3262142857142842,0.30236440997467307,-1.0,False
GBPJPY,GBPJPYb,2025-11-06,buy,confirmed_close,opposite,fixed,0.5,2025-11-06 12:15:00+00:00,2025-11-06 14:00:00+00:00,201.189,200.827,201.37,200.827,-1.0,loss,25.105673859565663,-25.105673859565663,811.7501214592899,201.176,200.827,0.34899999999998954,1.4324999999999943,0.24363001745200064,-1.0,False
GBPJPY,GBPJPYb,2025-11-07,buy,confirmed_close,opposite,fixed,0.5,2025-11-07 08:30:00+00:00,2025-11-07 14:49:00+00:00,201.322,200.706,201.63,200.706,-1.0,loss,25.54422688691254,-25.54422688691254,800.3857757899264,201.249,200.706,0.5430000000000064,1.4167857142857088,0.38326191076380733,-1.0,False
GBPJPY,GBPJPYb,2025-11-11,sell,confirmed_close,opposite,fixed,0.5,2025-11-11 09:00:00+00:00,2025-11-11 09:00:00+00:00,202.836,203.273,202.6175,202.6175,0.5,win,23.134919444435383,11.567459722217691,782.731441203397,203.273,202.884,0.38900000000001,1.4056428571428512,0.27674170435490436,-0.08009153318077326,False
GBPJPY,GBPJPYb,2025-11-17,buy,confirmed_close,opposite,fixed,0.5,2025-11-17 09:15:00+00:00,2025-11-17 09:22:00+00:00,203.565,203.133,203.781,203.781,0.5,win,23.157575565845356,11.578787782922678,783.4979733111011,203.54,203.133,0.40699999999998226,1.5347857142857098,0.26518359938566427,-0.025462962962953674,False
GBPJPY,GBPJPYb,2025-11-19,buy,confirmed_close,opposite,fixed,0.5,2025-11-19 12:00:00+00:00,2025-11-19 16:04:00+00:00,204.728,203.981,205.10150000000002,205.10150000000002,0.5,win,22.747493715975523,11.373746857987761,769.6235373905051,204.553,203.981,0.5720000000000027,1.452857142857139,0.3937069813176037,-0.30522088353414234,False
GBPJPY,GBPJPYb,2025-11-21,sell,confirmed_close,opposite,fixed,0.5,2025-11-21 09:30:00+00:00,2025-11-21 09:37:00+00:00,205.542,206.052,205.287,205.287,0.5,win,23.3779004975519,11.68895024877595,790.9523001671727,206.052,205.588,0.46399999999999864,1.4595714285714283,0.3179015366545944,-0.056862745098033095,False
GBPJPY,GBPJPYb,2025-11-24,buy,confirmed_close,opposite,fixed,0.5,2025-11-24 08:15:00+00:00,2025-11-24 10:19:00+00:00,205.258,204.892,205.44100000000003,205.44100000000003,0.5,win,23.016711934864723,11.508355967432362,778.7320871295899,205.243,204.892,0.3509999999999991,1.5219285714285726,0.23062843197071306,-0.19945355191258124,False
GBPJPY,GBPJPYb,2025-11-25,sell,confirmed_close,opposite,fixed,0.5,2025-11-25 11:00:00+00:00,2025-11-25 16:32:00+00:00,205.157,205.709,204.88100000000003,205.709,-1.0,loss,23.517348103981718,-23.517348103981718,736.8769072580939,205.709,205.24,0.4689999999999941,1.3938571428571456,0.3364763759352211,-1.0,False
GBPJPY,GBPJPYb,2025-11-26,buy,confirmed_close,opposite,fixed,0.5,2025-11-26 08:15:00+00:00,2025-11-26 13:42:00+00:00,206.022,205.337,206.3645,206.3645,0.5,win,22.264688625504732,11.132344312752366,753.2886318295767,205.981,205.337,0.6440000000000055,1.3092142857142883,0.49189808500191273,-0.32554744525545115,False
GBPJPY,GBPJPYb,2025-11-28,sell,confirmed_close,opposite,fixed,0.5,2025-11-28 10:00:00+00:00,2025-11-28 13:58:00+00:00,206.527,207.208,206.18649999999997,206.18649999999997,0.5,win,22.715046898002594,11.357523449001297,745.8107064844185,207.208,206.616,0.5919999999999845,1.3167857142857184,0.4495796040140905,-0.2848751835536175,False
GBPJPY,GBPJPYb,2025-12-02,buy,confirmed_close,opposite,fixed,0.5,2025-12-02 08:30:00+00:00,2025-12-02 10:26:00+00:00,205.792,205.323,206.0265,206.0265,0.5,win,22.626397112973194,11.313198556486597,765.5264356555931,205.779,205.323,0.45599999999998886,1.3332142857142912,0.34203053844092246,-0.1492537313432709,False
GBPJPY,GBPJPYb,2025-12-03,buy,confirmed_close,opposite,fixed,0.5,2025-12-03 09:30:00+00:00,2025-12-03 10:53:00+00:00,206.16899999999998,205.706,206.40049999999997,206.40049999999997,0.5,win,22.312545167756102,11.156272583878051,754.9077781757481,206.108,205.706,0.40200000000001523,1.3270714285714331,0.302922654610054,-0.24190064794815605,False
GBPJPY,GBPJPYb,2025-12-04,sell,confirmed_close,opposite,fixed,0.5,2025-12-04 10:15:00+00:00,2025-12-04 13:08:00+00:00,206.72,207.36,206.39999999999998,206.39999999999998,0.5,win,20.629063634848908,10.314531817424454,697.9499863123881,207.36,206.877,0.4830000000000041,1.365000000000005,0.35384615384615553,-0.29531249999998216,False
GBPJPY,GBPJPYb,2025-12-08,buy,confirmed_close,opposite,fixed,0.5,2025-12-08 10:45:00+00:00,2025-12-08 16:04:00+00:00,207.12,206.59,207.385,207.385,0.5,win,20.68760700256446,10.34380350128223,699.9307035867641,207.105,206.59,0.5149999999999864,1.300285714285723,0.3960667985058098,-0.22452830188679154,False
GBPJPY,GBPJPYb,2025-12-09,buy,confirmed_close,opposite,fixed,0.5,2025-12-09 09:45:00+00:00,2025-12-09 10:04:00+00:00,208.105,207.592,208.36149999999998,208.36149999999998,0.5,win,20.997921107602924,10.498960553801462,710.4296641405656,208.072,207.592,0.47999999999998977,1.3122857142857214,0.3657740039189974,-0.06042884990249297,False
GBPJPY,GBPJPYb,2025-12-10,buy,confirmed_close,opposite,fixed,0.5,2025-12-10 09:45:00+00:00,2025-12-10 17:00:00+00:00,208.765,208.233,209.03099999999998,208.585,-0.3383458646616248,loss,20.68295229098888,-6.997991376649766,661.750799365324,208.726,208.233,0.492999999999995,1.3098571428571486,0.3763769222379703,-0.5432330827067611,False
GBPJPY,GBPJPYb,2025-12-12,buy,confirmed_close,opposite,fixed,0.5,2025-12-12 08:30:00+00:00,2025-12-12 17:00:00+00:00,208.718,208.175,208.98949999999996,208.471,-0.4548802946592923,loss,20.136361357620668,-9.159633987720477,669.4529614905061,208.626,208.175,0.4509999999999934,1.14814285714286,0.3928082617892181,-0.9116022099447444,False
GBPJPY,GBPJPYb,2025-12-17,buy,confirmed_close,opposite,fixed,0.5,2025-12-17 08:30:00+00:00,2025-12-17 09:00:00+00:00,207.908,207.412,208.15599999999998,207.412,-1.0,loss,19.6342515868398,-19.6342515868398,634.8408013078201,207.884,207.412,0.47199999999998,1.124214285714286,0.41984878327719155,-1.0,False
GBPJPY,GBPJPYb,2025-12-18,buy,confirmed_close,opposite,fixed,0.5,2025-12-18 09:15:00+00:00,2025-12-18 14:53:00+00:00,208.432,207.866,208.71499999999997,208.71499999999997,0.5,win,18.473867318057565,9.236933659028782,626.7268777281184,208.414,207.866,0.5479999999999734,1.1664285714285703,0.46981016533984293,-0.9275618374558326,False
GBPJPY,GBPJPYb,2025-12-22,buy,confirmed_close,opposite,fixed,0.5,2025-12-22 09:45:00+00:00,2025-12-22 10:53:00+00:00,211.137,210.624,211.39350000000002,211.39350000000002,0.5,win,19.270904037029787,9.635452018514894,651.9989199195078,211.085,210.624,0.46100000000001273,1.2779285714285689,0.3607400368900671,-0.0740740740740946,False
GBPJPY,GBPJPYb,2025-12-30,sell,confirmed_close,opposite,fixed,0.5,2025-12-30 10:30:00+00:00,2025-12-30 17:00:00+00:00,210.617,211.099,210.37599999999998,210.667,-0.10373443983404863,loss,17.58266716740851,-1.8239281293996403,570.3960141035425,211.099,210.613,0.48599999999999,1.2289999999999972,0.3954434499593093,-0.37759336099588514,False
GBPJPY,GBPJPYb,2025-12-31,sell,confirmed_close,opposite,fixed,0.5,2025-12-31 10:45:00+00:00,2025-12-31 14:35:00+00:00,210.441,210.833,210.245,210.833,-1.0,loss,16.598524010413083,-16.598524010413083,536.6856096700232,210.833,210.489,0.3439999999999941,1.1801428571428545,0.2914901343662951,-1.0,False
GBPJPY,GBPJPYb,2026-01-02,sell,confirmed_close,opposite,fixed,0.5,2026-01-02 12:30:00+00:00,2026-01-02 17:00:00+00:00,210.915,211.436,210.65449999999998,211.25,-0.6429942418426071,loss,16.583585338803715,-10.66314988195627,542.1230280781675,211.436,210.969,0.46700000000001296,1.1309285714285693,0.4129350091580998,-0.6794625719769736,False
GBPJPY,GBPJPYb,2026-01-05,sell,confirmed_close,opposite,fixed,0.5,2026-01-05 10:00:00+00:00,2026-01-05 17:00:00+00:00,210.726,211.338,210.42000000000002,211.102,-0.6143790849673333,loss,16.751601567615374,-10.29183364284888,584.0487565350182,211.338,210.791,0.546999999999997,1.118714285714282,0.48895415655727137,-0.8267973856209224,False
