rr,symbol,timeframe,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
1,USDCAD,M30,45,29,16,0,64.44,13.0,0.2889,1.81,12,8,1,1.08,1.0,-1.0,66.67,55.05
6,USDCAD,M30,40,8,29,3,20.0,23.73,0.5931,1.82,12,6,6,1.98,1.0,-4.0,50.0,54.83
6,GBPJPY,M15,130,14,96,20,10.77,19.23,0.1479,1.2,13,9,4,1.48,1.97,-13.0,69.23,52.17
2,US30,H4,4,3,1,0,75.0,5.0,1.25,6.0,4,3,1,1.25,2.0,-1.0,75.0,50.0
1,EURUSD,H4,6,5,1,0,83.33,4.0,0.6667,5.0,6,5,1,0.67,1.0,-1.0,83.33,50.0
3,EURJPY,H4,3,2,1,0,66.67,5.0,1.6667,6.0,3,2,1,1.67,3.0,-1.0,66.67,48.0
5,USDCAD,M30,40,9,29,2,22.5,18.08,0.452,1.62,12,6,6,1.51,0.5,-4.0,50.0,47.18
2,NZDUSD,M30,42,17,25,0,40.48,9.0,0.2143,1.36,13,8,5,0.69,1.0,-3.0,61.54,46.8
5,NZDUSD,M30,40,6,30,4,15.0,11.94,0.2984,1.4,13,7,5,0.92,1.24,-3.0,53.85,46.42
4,GBPUSD,H1,29,6,19,4,20.69,13.87,0.4783,1.7,12,6,6,1.16,0.9,-3.0,50.0,45.17
2,EURUSD,H4,6,4,2,0,66.67,6.0,1.0,4.0,6,4,2,1.0,2.0,-1.0,66.67,45.0
1,EURUSD,M15,100,55,43,2,55.0,12.13,0.1213,1.28,13,8,5,0.93,1.0,-8.0,61.54,44.53
1,BTCUSD,H1,28,17,10,1,60.71,7.19,0.2567,1.72,11,7,4,0.65,1.0,-2.0,63.64,43.79
4,USDCAD,M30,42,11,30,1,26.19,14.74,0.3511,1.49,12,6,6,1.23,0.0,-4.0,50.0,42.19
3,USDCAD,M30,43,14,29,0,32.56,13.0,0.3023,1.45,12,6,5,1.08,0.5,-4.0,50.0,41.25
5,BTCUSD,M15,116,18,90,8,15.52,14.11,0.1216,1.16,13,7,5,1.09,0.6,-8.5,53.85,40.61
3,EURUSD,M15,92,22,60,10,23.91,15.34,0.1668,1.26,13,7,6,1.18,0.45,-11.51,53.85,39.03
2,BTCUSD,H1,28,12,15,1,42.86,9.19,0.3281,1.61,11,6,4,0.84,0.19,-3.0,54.55,38.62
3,BTCUSD,H1,28,9,18,1,32.14,9.19,0.3281,1.51,11,6,4,0.84,0.19,-3.0,54.55,38.12
3,US30,M15,68,14,43,11,20.59,8.47,0.1246,1.19,13,7,5,0.65,0.85,-6.0,53.85,38.12
1,AUDUSD,M30,36,21,15,0,58.33,6.0,0.1667,1.4,11,6,3,0.55,1.0,-1.0,54.55,38.0
6,BTCUSD,M15,114,11,89,14,9.65,11.82,0.1037,1.13,13,7,5,0.91,0.51,-8.5,53.85,37.99
3,NZDUSD,M30,42,13,29,0,30.95,10.0,0.2381,1.34,13,6,6,0.77,0.0,-3.0,46.15,37.7
6,EURUSD,M15,90,10,64,16,11.11,23.39,0.2599,1.37,13,5,8,1.8,-0.87,-11.51,38.46,36.99
6,AUDUSD,M15,85,10,66,9,11.76,13.06,0.1536,1.2,13,7,6,1.0,0.08,-10.57,53.85,36.65
5,EURUSD,M15,90,14,63,13,15.56,22.86,0.254,1.36,13,5,8,1.76,-1.0,-11.51,38.46,36.15
3,NZDUSD,H4,9,4,5,0,44.44,7.0,0.7778,2.4,7,4,3,1.0,1.0,-1.0,57.14,36.0
6,EURUSD,M30,37,5,26,6,13.51,14.88,0.4022,1.57,12,5,7,1.24,-1.0,-5.0,41.67,35.73
6,EURJPY,M30,40,6,29,5,15.0,13.1,0.3274,1.44,12,5,7,1.09,-0.7,-4.0,41.67,34.9
2,EURJPY,H4,3,2,1,0,66.67,3.0,1.0,4.0,3,2,1,1.0,2.0,-1.0,66.67,34.0
3,GBPUSD,H1,30,9,20,1,30.0,6.3,0.2101,1.3,12,6,6,0.53,0.0,-3.0,50.0,33.8
6,NZDUSD,H1,38,4,28,6,10.53,6.32,0.1662,1.22,11,6,5,0.57,1.07,-4.77,54.55,33.79
1,USDCAD,M15,122,64,57,1,52.46,7.4,0.0607,1.13,13,6,6,0.57,0.0,-4.0,46.15,33.05
1,EURJPY,H4,3,3,0,0,100.0,3.0,1.0,3.0,3,3,0,1.0,1.0,1.0,100.0,33.0
