trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,symbol,run,setting,reward_risk,level_pct
109,46,53,10,42.2,4.62,20.0,1.86,1,52399.91,False,,99.17,1.85,USDCHF,20260619-211459,09:30-16:00 range15,1.3043,3.33
38,14,22,2,36.84,-5.02,20.0,1.82,1,52399.91,False,,91.88,1.62,EURUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
173,73,82,18,42.2,13.14,20.0,1.77,1,52399.91,False,,99.58,0.74,BTCUSD,20260619-211459,09:30-16:00 range15,1.3043,3.33
124,44,56,24,35.48,3.93,20.0,1.43,1,52399.91,False,,97.56,0.69,USDCAD,20260619-213804,19:00-02:00 range60,1.3043,3.33
115,50,62,3,43.48,4.02,20.0,1.06,1,52399.91,False,,97.6,0.81,GBPJPY,20260619-213713,19:00-02:00 range15,1.3043,3.33
114,49,59,6,42.98,3.04,20.0,0.97,1,52399.91,False,,97.73,0.91,EURUSD,20260619-211459,09:30-16:00 range15,1.3043,3.33
38,13,24,1,34.21,-7.71,20.0,0.97,1,52399.91,False,,98.32,0.74,USDCHF,20260619-021156,09:30-16:00 range15,1.3043,3.33
123,48,61,14,39.02,2.38,20.0,0.78,1,52399.91,False,,99.0,0.2,XAUUSD,20260619-211459,09:30-16:00 range15,1.3043,3.33
128,52,66,10,40.62,3.33,20.0,0.69,1,52399.91,False,,99.45,0.19,USDJPY,20260619-213734,19:00-02:00 range30,1.3043,3.33
36,10,24,2,27.78,-10.67,20.0,0.55,1,52399.91,False,,97.26,0.55,GBPUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
119,46,61,12,38.66,0.45,20.0,0.53,1,52399.91,False,,99.17,0.53,AUDUSD,20260619-211459,09:30-16:00 range15,1.3043,3.33
115,46,61,8,40.0,-0.66,20.0,0.43,1,52399.91,False,,99.63,0.43,GBPUSD,20260619-211459,09:30-16:00 range15,1.3043,3.33
121,42,62,17,34.71,-3.17,20.0,0.26,1,52399.91,False,,98.71,0.26,EURUSD,20260619-213804,19:00-02:00 range60,1.3043,3.33
113,43,61,9,38.05,-3.68,20.0,0.24,1,52399.91,False,,99.53,0.24,GBPJPY,20260619-211459,09:30-16:00 range15,1.3043,3.33
121,50,69,2,41.32,-2.6,20.0,0.19,1,52399.91,False,,99.06,0.19,EURGBP,20260619-213734,19:00-02:00 range30,1.3043,3.33
40,9,27,4,22.5,-15.39,20.0,0.17,1,52399.91,False,,99.17,0.17,AUDUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
167,69,93,5,41.32,-2.11,20.0,0.05,1,52399.91,False,,99.9,0.02,BTCUSD,20260619-213713,19:00-02:00 range15,1.3043,3.33
125,46,72,7,36.8,-8.45,20.0,0.05,1,52399.91,False,,99.97,0.01,GBPJPY,20260619-213734,19:00-02:00 range30,1.3043,3.33
120,39,65,16,32.5,-11.67,20.0,0.04,1,52399.91,False,,99.87,0.04,GBPUSD,20260619-213804,19:00-02:00 range60,1.3043,3.33
125,41,68,16,32.8,-12.17,20.0,0.03,1,52399.91,False,,99.95,0.02,USDCHF,20260619-213804,19:00-02:00 range60,1.3043,3.33
176,64,93,19,36.36,-6.45,20.0,0.02,1,52399.91,False,,99.9,0.02,BTCUSD,20260619-213734,19:00-02:00 range30,1.3043,3.33
179,54,84,41,30.17,-9.65,20.0,0.02,1,52399.91,False,,99.96,0.02,BTCUSD,20260619-213804,19:00-02:00 range60,1.3043,3.33
126,39,68,19,30.95,-15.92,20.0,0.01,1,52399.91,False,,99.94,0.01,EURGBP,20260619-213804,19:00-02:00 range60,1.3043,3.33
